location	parent	name	type	text	translation
UI/Interface	Equipment/Hints	Knife	Label	Knife	칼
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	수류탄1
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	수류탄2
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	소지 한도
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	모든 장비 아이템의 소지 용량(kg) 한계입니다.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	인벤토리 통계
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	인벤토리 무게
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	인벤토리 내 모든 아이템의 무게(kg) 입니다.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	인벤토리 통계
UI/Interface	Inventory/Header/Value	Info		Inventory Value	인벤토리 가치
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	인벤토리 내 모든 아이템의 가치(€) 합계입니다.
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	인벤토리 통계
UI/Interface	Container/Header/Weight	Info		Container Weight	보관함 무게
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	보관함 내 모든 아이템의 무게(kg) 합계입니다.
UI/Interface	Container/Header/Weight	Info		Container Stat	보관함 통계
UI/Interface	Container/Header/Value	Info		Container Value	보관함 가치
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	보관함 내 모든 아이템의 가치(€) 합계입니다.
UI/Interface	Container/Header/Value	Info		Container Stat	보관함 통계
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	소지 한도
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"소지품 최대 무게(kg)를 나타내는 값입니다.

배낭, 장비, 의류 등 소지량 증가 효과가 있는 아이템을 장착하면 소지품 최대 무게가 증가합니다.

기본 소지품 최대 무게는 10kg입니다."
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	장비 통계
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	장비 가치
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	장착중인 모든 장비 아이템의 가치((€)) 합계입니다.
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	장비 통계
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	보온성
UI/Interface	Equipment/Stats/Elements/Insulation	Info		"A clothing-based thermal protection value against cold.

Insulation is linked to Body Temp vital, where Insulation reduces Body Temp decrease speed in Winter.

Insulation increases when you equip clothing items with a positive insulation stat.

Insulation examples:
[100] = B. Temp decrease fully stopped
[50] = B. Temp decrease slowed by 50%
[0] = B. Temp decreases at default rate"	"옷을 통해 얻을 수 있는 추위에 대한 보온성 수치입니다.

보온성은 체온과 밀접한 관련이 있으며, 겨울철 체온 감소 속도를 늦춰줍니다.

보온성이 높은 옷을 착용하면 보온성이 증가합니다.

보온성 예시:
[100] = 체온 감소 완전 정지
[50] = 체온 감소 50% 감소
[0] = 체온 정상 속도 유지"
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Equipment Stat	장비 통계
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Dexterity	민첩성
