location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	新遊戲
Scenes/Menu	Main/Buttons	Load	Button	Load game	載入遊戲
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	教學指南
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	"設定
"
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	"路線圖
"
Scenes/Menu	Main/Buttons	About	Button	"About
"	"關於
"
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	"退出
"
Scenes/Menu	Log	Header	Label	Changelog	更新日誌
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	"關閉
"
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	"於
"
Scenes/Menu	Hardware	Header	Label	Hardware Check	硬體檢查
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	"關閉
"
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	"於
"
Scenes/Menu	Intro	Header	Label	Watch Intro	觀看介紹
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	"關閉
"
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	"於
"
Scenes/Menu	Music	Header	Label	Menu Music	選單 音樂
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	"關閉
"
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	"於
"
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	Road to Vostok ® 是 Road to Vostok Ltd. 的註冊商標。版權所有 © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	版本：0.1.1.3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	更新日誌
Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	"以下變更來自：
搶先體驗版 [0.1.0.0] -> 搶先體驗版 [0.1.1.3]
----------------------------------------
版本名稱：Road - Build 1
版本號：0.1.1.3
版本類型：正式版
----------------------------------------
緊急修補程式 [0.1.1.3]
[已修正] 當在同一幀關閉介面時，情境動作可能會導致角色死亡 （上下文使用）
[已修正] 若在同一幀關閉介面，上下文動作可能導致物品損毀（上下文卸載）
[已修正] 若在同一幀關閉介面，上下文動作可能導致家具損毀（上下文放置）
----------------------------------------
[新增] 針對硬體問題的相容性啟動選項
[新增] 增加緩衝記憶體以因應 GPU 停滯/超時
[新增] 載入地圖時的 CPU 負載分配
[新增] 為提升穩定性，引擎版本切換至 Godot 4.6.2
[新增] 新增 SMAA 抗鋸齒選項（設定）
[新增] 為提升穩定性，重新設計影像銳化著色器 (設定)
[新增] 家具破壞功能新增防誤觸機制（按住左鍵）
[新增] 空投物資改用綠色化學燈以提升夜間能見度
[新增] 空投物資現支援可變戰利品表 [x3]
[新增] 懲罰者現支援可變戰利品表 [x3]
[新增] 懲罰者戰利品表已優化並增加更多物品
[新增] 擊殺 AI 後其屍體掉落物品的機率提高 [25%->75%]
[新增] 增加工業類戰利品生成 [機油濾清器]
[新增] 終端機新增更多特殊箱子與戰利品生成點
[新增] 特殊箱子亦可生成傳奇物品
[新增] 新物品：口香糖
----------------------------------------
[已修正] 避難所與商人區域的燈光/陰影閃爍問題
[已修正] 關閉介面時，若當前有選取的選單可能會導致遊戲凍結
[已修正] 選單凍結可能導致物品損毀或懸浮
[已修正] 使用物品時，避難所內的物品會自動歸還，可能導致死亡
[已修正] 低光環境下檢查彈藥時，彈匣會發光
[已修正] AI 能穿過空投物體的碰撞體進行移動/攻擊
[已修正] AI 能穿過直升機墜毀物的碰撞體進行移動/攻擊
[已修正] AI 可能卡在直升機墜毀物的碰撞體上
[已修正] 無需鑰匙即可利用高速公路隧道被封鎖的漏洞
[已修正] 黑暗模式／鐵人模式的隨機重生點會傳送至過渡區域（學校／高速公路）
[已修正] AI 射擊準確度不一致及計算錯誤
[已修正] 控制器角色可能卡在村莊建築物上（廁所門）
[已修正] 控制器角色可能卡在村莊拖拉機上 (穀倉)
[已修正] 控制器可能卡在村莊車庫（紙箱）上
[已修正] 控制器可能卡在學校建築（交易檯）上
[已修正] 控制器可能卡在學校建築（多張椅子）上
[已修正] 控制器可能卡在高速公路市場（貨架縫隙）上
[已修正] 控制器可能卡在高速公路市場（購物車）上
[已修正] 控制器可能卡在公寓樓梯間（屍體頭部）
[已修正] 控制器可能卡在終點站坡道（火車場區域）
[已修正] 軍用 BTR 可能以高速繞圈行駛
[已修正] 簡易夾板無法治療「骨折」狀態
[已修正] 醫生出售自身任務物品 [消毒劑]
[已修正] 槍匠販售自身任務物品 [Skrama 200]
[已修正] MSAA 8x 選項無法儲存至偏好設定
[已修正] 教學箱內未包含 M78 彈匣
----------------------------------------
[變更] 致命醫療狀況 [破裂] 的發生機率降低 [5%→3%]
[變更] 致命醫療狀況 [頭部中彈] 的發生機率降低 [5%→3%]
[變更] 角色脫水速度減緩 [10%]
[變更] 角色精神值下降速度減緩 [10%]
[變更] 貓咪生命值下降速度減緩 [20%]
[變更] 貓咪喵叫與發出聲響的頻率降低
[變更] 商人（開始/結束/閒置）語音觸發頻率降低
[變更] 渲染解析度選項改為「低/原生」（減少混淆）
[變更] 掉落物品會出現在玩家前方而非背包內（避難所）
----------------------------------------
[移除] 為提升穩定性，移除所有第三方/過時的 AMD FSR 相關內容
----------------------------------------"
