location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	相容性
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	介面縮放 [即將推出]
UI/Interface	Equipment/Hints	Knife	Label	Knife	刀
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	手榴彈
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	手榴彈
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	熱
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	附近的一種製作材料，某些以烹飪為基礎的食譜可能會需要它。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	距離要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	工作檯
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	附近的一種工藝材料，某些以建造為基礎的配方可能需要此材料。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	距離要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	測試平台
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	附近的一種工藝材料，某些以電子元件為基礎的配方可能需要此材料。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	距離要求
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	庇護所
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	附近的一種工藝材料，某些以家具為基礎的配方可能需要此材料。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	距離要求
UI/Interface	Trader/Panel	Info		Trader	交易員
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	承載能力
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	所有設備項目的容量值（公斤）。
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	物品欄狀態
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	庫存重量
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	所有庫存項目的重量值（公斤）。
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	物品欄狀態
UI/Interface	Inventory/Header/Value	Info		Inventory Value	存貨價值
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	所有庫存項目的價格（歐元）。
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	物品欄狀態
UI/Interface	Container/Header/Weight	Info		Container Weight	貨櫃重量
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	所有貨櫃內物品的總重量（公斤）。
UI/Interface	Container/Header/Weight	Info		Container Stat	容器狀態
UI/Interface	Container/Header/Value	Info		Container Value	容器值
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	所有貨櫃項目的價格（歐元）。
UI/Interface	Container/Header/Value	Info		Container Stat	容器狀態
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	承載能力
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"負重上限（公斤）指您能攜帶的物品總重量。

當您裝備背包、裝備組或具備正負重屬性的服裝等物品時，負重上限將會提升。

預設的負重上限為 10 公斤"
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	裝備屬性
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	設備價值
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	所有設備項目的價格（歐元）。
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	裝備屬性
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	隔熱
UI/Interface	Equipment/Stats/Elements/Insulation	Info		"A clothing-based thermal protection value against cold.

Insulation is linked to Body Temp vital, where Insulation reduces Body Temp decrease speed in Winter.

Insulation increases when you equip clothing items with a positive insulation stat.

Insulation examples:
[100] = B. Temp decrease fully stopped
[50] = B. Temp decrease slowed by 50%
[0] = B. Temp decreases at default rate"	"以服裝為基礎的抗寒熱防護數值。

隔熱效果與體溫密切相關，在冬季，隔熱效果能減緩體溫下降的速度。

當你裝備具有正數隔熱數值的服裝時，隔熱效果會提升。

隔熱效果範例：
[100] = 體溫下降完全停止
[50] = 體溫下降速度減緩 50%
[0] = 體溫以預設速度下降"
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Equipment Stat	裝備屬性
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Dexterity	敏捷
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		"An inertia-based value of how quickly you can move and do certain actions.

Dexterity is linked to movement speed and weapon handling such as aiming and reloading.

Dexterity decreases when you equip heavy or unergonomic items with a negative dexterity stat."	"這是一項基於慣性的數值，代表你移動及執行特定動作的速度。

敏捷度與移動速度以及武器操作（例如瞄準和重新裝填）息息相關。

當你裝備具有負敏捷度屬性的笨重或不符合人體工學的物品時，敏捷度會降低。"
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Equipment Stat	裝備屬性
UI/Interface	Equipment/Stats/Elements/Menace	Info		Menace	威脅
UI/Interface	Equipment/Stats/Elements/Menace	Info		"An intimidation value of how threatening AI sees your character and equipment.

When you have a high Menace value, AI is less likely to use aggressive or attack-based behaviors against you.

Menace increases when you equip items such as special clothing with a positive Menace stat.

Menace only affects low-tier AI (Bandits)."	"「威懾值」代表 AI 認為你的角色與裝備有多具威脅性。

當你的威懾值較高時，AI 較少會對你採取攻擊性或以攻擊為主的行為。

當你裝備具有正向威懾屬性的特殊服裝等物品時，威懾值會提升。

威懾值僅對低階 AI（強盜）產生影響。"
UI/Interface	Equipment/Stats/Elements/Menace	Info		Equipment Stat	裝備屬性
UI/Interface	Equipment/Stats/Elements/CBRN	Info		CBRN	CBRN
UI/Interface	Equipment/Stats/Elements/CBRN	Info		"A protection value against chemical, biological, radiological and nuclear threats.

CBRN is linked to Health vital, where CBRN reduces the Health decrease speed when you are exposed to hazardous areas or materials.

CBRN increases when you equip items such as special clothing or protective masks with a positive CBRN stat."	"針對化學、生物、輻射及核子威脅的防護數值。

CBRN 與「生命值」相關聯，當你暴露於危險區域或接觸危險物質時，CBRN 會降低生命值的下降速度。

當你裝備具有正向 CBRN 數值的物品（例如特殊服裝或防護面具）時，CBRN 數值會提升。"
UI/Interface	Equipment/Stats/Elements/CBRN	Info		Equipment Stat	裝備屬性
UI/Interface	Character/Vitals/Elements/Health	Info		Health	健康
UI/Interface	Character/Vitals/Elements/Health	Info		"Your main vital for staying alive.

Health decreases with damages and active medical conditions.

Health increases with certain medical items such as Bandages and Medkits.

Health [0] -> Character dies"	"這是你存活的關鍵。

生命值會因受到傷害及現有病症而減少。

生命值可透過某些醫療物品（如繃帶和急救包）來增加。

生命值 [0] -> 角色死亡"
UI/Interface	Character/Vitals/Elements/Health	Info		Vital	至關重要
UI/Interface	Character/Vitals/Elements/Energy	Info		Energy	能源
UI/Interface	Character/Vitals/Elements/Energy	Info		"Your hunger and energy level.

Energy decreases over time and using map transitions with Energy Cost.

Energy increases with certain consumables such as food.

Energy [0] -> Starvation (Condition)"	"你的飢餓度與能量值。

能量值會隨時間流逝而減少，且使用需消耗能量的地圖轉換時也會減少。

使用特定消耗品（例如食物）可增加能量值。

能量值 [0] -> 飢餓（狀態）"
UI/Interface	Character/Vitals/Elements/Energy	Info		Vital	至關重要
UI/Interface	Character/Vitals/Elements/Hydration	Info		Hydration	水分補充
