location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	Nouveau jeu
Scenes/Menu	Main/Buttons	Load	Button	Load game	Charger la partie
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	Tutoriel
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	"Paramètres
"
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	"Feuille de route
"
Scenes/Menu	Main/Buttons	About	Button	"About
"	"À propos
"
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	"Quitter
"
Scenes/Menu	Log	Header	Label	Changelog	Journal des modifications
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	"Désactivé
"
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	"Le
"
Scenes/Menu	Hardware	Header	Label	Hardware Check	Vérification du matériel
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	"Désactivé
"
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	"Le
"
Scenes/Menu	Intro	Header	Label	Watch Intro	Regarder l'intro
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	"Désactivé
"
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	"Le
"
Scenes/Menu	Music	Header	Label	Menu Music	Menu Musique
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	"Désactivé
"
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	"Le
"
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	Road to Vostok ® est une marque déposée de Road to Vostok Ltd. Tous droits réservés © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	Version : 0.1.1.3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	Journal des modifications
Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	"Les modifications suivantes ont été apportées entre :
Accès anticipé [0.1.0.0] -> Accès anticipé [0.1.1.3]
----------------------------------------
Nom de la version : Road - Build 1
Version : 0.1.1.3
Type de version : Release
----------------------------------------
Correctif [0.1.1.3]
[CORRIGÉ] Les actions contextuelles pouvaient entraîner la mort lors de la fermeture de l'interface au cours de la même image (Utilisation du contexte)
[CORRIGÉ] Les actions contextuelles pouvaient corrompre des objets lors de la fermeture de l'interface au même cadre (Déchargement du contexte)
[CORRIGÉ] Les actions contextuelles pouvaient corrompre le mobilier lors de la fermeture de l'interface au même cadre (Placement du contexte)
----------------------------------------
[AJOUTÉ] Option de lancement de compatibilité pour les problèmes matériels
[AJOUTÉ] Augmentation de la mémoire tampon pour les blocages/délais d'attente du GPU
[AJOUTÉ] Répartition de la charge CPU lors du chargement d'une carte
[AJOUTÉ] Passage à la version 4.6.2 du moteur Godot pour plus de stabilité
[AJOUTÉ] Ajout de l'option d'anti-aliasing SMAA (Paramètres)
[AJOUTÉ] Refonte du shader de netteté d'image pour plus de stabilité (Paramètres)
[AJOUTÉ] La destruction de meubles utilise une protection (maintenir le bouton gauche enfoncé) contre les clics accidentels
[AJOUTÉ] Les largages aériens utilisent des balises chimiques vertes pour une meilleure visibilité de nuit
[AJOUTÉ] Les largages aériens prennent désormais en charge les tables de butin variables [x3]
[AJOUTÉ] Le Punisher prend désormais en charge les tables de butin variables [x3]
[AJOUTÉ] Amélioration des tables de butin du Punisher avec davantage d'objets
[AJOUTÉ] Augmentation de la probabilité de butin sur les cadavres d'IA tués [25 % -> 75 %]
[AJOUTÉ] Apparition de butin industriel supplémentaire [Filtre à huile]
[AJOUTÉ] Le terminal dispose de plus de caisses spéciales et d'apparitions de butin
[AJOUTÉ] Les caisses spéciales peuvent également contenir des objets légendaires
[AJOUTÉ] Nouvel objet : Chewing-gum
----------------------------------------
[CORRIGÉ] Scintillement des lumières/ombres dans les abris et les zones de commerce
[CORRIGÉ] Le menu contextuel actif pouvait se figer lors de la fermeture de l'interface
[CORRIGÉ] Un menu contextuel figé pouvait entraîner la corruption ou la flottation d'objets
[CORRIGÉ] Le retour d'un objet dans l'abri lors de l'utilisation d'objets pouvait entraîner la mort
[CORRIGÉ] Les cartouches brillaient dans la pénombre lors de la vérification des munitions
[CORRIGÉ] L'IA pouvait se déplacer/attaquer à travers les colliders des largages aériens
[CORRIGÉ] L'IA pouvait se déplacer/attaquer à travers les colliders des crashs d'hélicoptères
[CORRIGÉ] L'IA pouvait rester coincée sur les colliders des crashs d'hélicoptères
[CORRIGÉ] Le tunnel bloqué de l'autoroute pouvait être exploité sans clé
[CORRIGÉ] Les apparitions aléatoires de Darkness/Ironman étaient téléportées vers la zone de transition (École/Autoroute)
[CORRIGÉ] Incohérences et erreurs de calcul dans la précision de tir de l'IA
[CORRIGÉ] Le contrôleur pouvait rester coincé sur un bâtiment du Village (porte des toilettes)
[CORRIGÉ] Le contrôleur pouvait rester coincé sur le tracteur du Village (grange)
[CORRIGÉ] La manette pouvait rester coincée sur le garage du village (boîtes en carton)
[CORRIGÉ] La manette pouvait rester coincée sur le bâtiment de l'école (table du marchand)
[CORRIGÉ] La manette pouvait rester coincée sur le bâtiment de l'école (plusieurs chaises)
[CORRIGÉ] La manette pouvait rester coincée sur le marché de l'autoroute (espaces entre les étagères)
[CORRIGÉ] La manette pouvait rester coincée sur le marché de l'autoroute (chariots de supermarché)
[CORRIGÉ] La manette pouvait rester bloquée sur les escaliers des appartements (tête de cadavre)
[CORRIGÉ] La manette pouvait rester bloquée sur les rampes du terminal (zone de la gare de triage)
[CORRIGÉ] Le BTR militaire pouvait rester bloqué en tournant en rond à grande vitesse
[CORRIGÉ] L'attelle de fortune ne soignait pas l'état « Fracture »
[CORRIGÉ] Le médecin vendait ses propres objets de quête [Antiseptique]
[CORRIGÉ] L'armurier vendait ses propres objets de quête [Skrama 200]
[CORRIGÉ] L'option MSAA 8x ne s'enregistrait pas dans les préférences
[CORRIGÉ] Les caisses du didacticiel ne contenaient pas de chargeurs M78
----------------------------------------
[MODIFIÉ] Probabilité de l'état médical critique [Rupture] réduite [5 % -> 3 %]
[MODIFIÉ] Probabilité de l'état médical critique [Tir à la tête] réduite [5 % -> 3 %]
[MODIFIÉ] Vitesse de diminution de l'hydratation du personnage ralentie de [10 %]
[MODIFIÉ] Vitesse de diminution de la santé mentale du personnage ralentie de [10 %]
[MODIFIÉ] La vitesse de diminution des points de vie du chat a été ralentie de [20 %]
[MODIFIÉ] Le chat miaule et fait moins souvent du bruit
[MODIFIÉ] Les voix du marchand (Début/Fin/Inactivité) s'activent moins souvent
[MODIFIÉ] Les options de résolution de rendu ont été modifiées en Faible/Native (moins de confusion)
[MODIFIÉ] Les objets tombés apparaissent devant le joueur plutôt que dans l'inventaire (Abri)
----------------------------------------
[SUPPRIMÉ] Toutes les références tierces/obsolètes à AMD FSR pour plus de stabilité
----------------------------------------"
