text	translation
Compatibility	Compatibilité
Selected	Sélectionné
Press key to bind...	Appuyez sur la touche pour l'attribuer...
Forward	Suivant
Backward	Précédent
Left	À gauche
Right	À droite
Crouch	Accroupi
Jump	Aller directement à
Sprint	Sprint
Lean Left	Pencher vers la gauche
Lean Right	Se pencher vers la droite
Draw Primary	Tirage au sort
Draw Secondary	Dessin secondaire
Draw Knife	Couteau à dégauchir
Draw Grenade 1	Lancer la grenade 1
Draw Grenade 2	Tirer une grenade 2
Raise Weapon	Basser l'arme
Lower Weapon	Arme inférieure
Aim	Objectif
Canted Aim	Visée inclinée
Fire	Incendie
Reload	Actualiser
Ammo Check	Vérification des munitions
Firemode	Mode incendie
Inspect Weapon	Inspecter l'arme
Prepare Insert	Préparer l'insert
Insert Cartridge	Insérer la cartouche
Interact	Interagir
Place	Lieu
Decor Mode	Mode Décoration
Flashlight	Lampe de poche
NVG	Vision Nocturne (NVG)
Laser	Laser
Rail Movement	Mouvement ferroviaire
Secondary Optic	Optique secondaire
Interface	Interface
Rotate Item	Faire pivoter l'élément
Fast Transfer	Transfert rapide
Fast Equip	Équipement rapide
Fast Drop	Chute rapide
Left Mouse Button	Clic gauche
Right Mouse Button	Clic droit
Middle Mouse Button	Clic molette
Mouse Wheel Up	Molette vers le haut
Mouse Wheel Down	Molette vers le bas
Mouse Thumb Button 1	Clic gauche 1
Mouse Thumb Button 2	Clic droit 2
UI Scaling	Mise à l'échelle de l'interface utilisateur
Loading...	Chargement en cours...
Skip Intro [SPACE]	Passer l'introduction [ESPACE]
All save files deleted	Tous les fichiers enregistrés ont été supprimés
Character died	Le personnage est mort
Intro	Introduction
Cabin	Cabine
Shelter	Refuge
Tutorial	Tutoriel
Menu	Menu
Attic	grenier
Death	Mort
Classroom	Salle de classe
Tent	Tente
Bunker	Bunker
Village	Village
Area 05	Zone 05
Highway	Autoroute
School	École
Outpost	Avant-poste
Border Zone	Zone frontalière
Minefield	Champ de mines
Apartments	Appartements
Terminal	Terminal
Tutorial Exit	Sortie du tutoriel
Template	Modèle
shaders	shaders
Neutral	Neutre
Overcast	Ciel couvert
Rain	Pluie
Storm	Tempête
Generic	Générique
Wood	Bois
Metal	Métal
Concrete	Béton
Rock	Rock
Vostok	Vostok
Trader	Trader
Generalist	Généraliste
Doctor	Médecin
Gunsmith	Armurier
Driver	Conducteur
Grandma	Grand-mère
Shaman	Chaman
Fisherman	Pêcheur
Scientist	Chercheur
Bandit	Bandit
Guards	Gardes
Military	Militaire
Punisher	Le Punisher
Inventory	Stock
Primary	Primaire
Secondary	Secondaire
Vital	Essentiel
Task Notes empty	Notes sur la tâche : vide
Task Notes not available (Tutorial)	Notes sur la tâche non disponibles (Tutoriel)
Map not equipped	Carte non fournie
Map not usable (Vostok)	Carte inutilisable (Vostok)
Casette Player not equipped	Lecteur de cassettes non disponible
Casette Player power 0%, recharge player	Lecteur de cassettes : batterie à 0 %, recharger le lecteur
Casette Player empty, insert casette	Le lecteur de cassettes est vide, insérez une cassette
Override Ambient Music [ON]	Remplacer la musique d'ambiance [Activé]
Override Ambient Music [OFF]	Ignorer la musique d'ambiance [DÉSACTIVÉ]
Sleep	Sommeil
Level 2	Niveau 2
Level 3	Niveau 3
Level 4	Niveau 4
Level 5	Niveau 5
Heat required	Chaleur nécessaire
Workbench required	Établi requis
