location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	Kompatibilität
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	Skalierung der Benutzeroberfläche [In Kürze verfügbar]
UI/Interface	Equipment/Hints	Knife	Label	Knife	Messer
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	Granate
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	Granate
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	Hitze
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	Ein in der Nähe befindliches Handwerkselement, das für bestimmte Kochrezepte benötigt werden kann.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	Mindestabstand
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	Werkbank
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	Ein in der Nähe befindliches Handwerkselement, das für bestimmte Bau-Rezepte benötigt werden kann.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	Mindestabstand
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	Testumgebung
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	Ein in der Nähe befindliches Handwerkselement, das für bestimmte Rezepte im Bereich Elektronik benötigt werden kann.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	Mindestabstand
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	Unterkunft
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	Ein in der Nähe befindliches Handwerkselement, das für bestimmte Möbel-Rezepte benötigt werden kann.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	Mindestabstand
UI/Interface	Trader/Panel	Info		Trader	Händler
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	Tragfähigkeit
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	Die Kapazität (in kg) aller Ausrüstungsgegenstände.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	Bestandsstatistik
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	Bestandsgewicht
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	Das Gesamtgewicht (in kg) aller Lagerartikel.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	Bestandsstatistik
UI/Interface	Inventory/Header/Value	Info		Inventory Value	Lagerwert
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	Der Gesamtwert (in €) aller Lagerartikel.
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	Bestandsstatistik
UI/Interface	Container/Header/Weight	Info		Container Weight	Containergewicht
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	Das Gesamtgewicht (in kg) aller Containerartikel.
UI/Interface	Container/Header/Weight	Info		Container Stat	Container-Statistik
UI/Interface	Container/Header/Value	Info		Container Value	Containerwert
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	Der Gesamtpreis (in €) aller Containerpositionen.
UI/Interface	Container/Header/Value	Info		Container Stat	Container-Statistik
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	Tragfähigkeit
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"Ein Tragkraftwert (kg), der angibt, wie viel Gewicht du an Ausrüstung tragen kannst.

Die Tragkraft erhöht sich, wenn du Gegenstände wie Rucksäcke, Ausrüstungssets oder Kleidung mit einem positiven Tragkraftwert ausrüstest.

Die Standard-Tragkraft beträgt 10 kg."
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	Ausrüstungsstatistik
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	Wert der Ausrüstung
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	Der Gesamtwert (in €) aller Ausrüstungsgegenstände.
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	Ausrüstungsstatistik
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	Isolierung
