location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	Új játék
Scenes/Menu	Main/Buttons	Load	Button	Load game	Játék betöltése
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	Kiképzés
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	"Beállítások
"
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	"Ütemterv
"
Scenes/Menu	Main/Buttons	About	Button	"About
"	"Névjegy
"
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	"Kilépés
"
Scenes/Menu	Log	Header	Label	Changelog	Változások
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	"Ki
"
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	"Be
"
Scenes/Menu	Hardware	Header	Label	Hardware Check	Hardver ellenőrzése
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	"Ki
"
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	"Be
"
Scenes/Menu	Intro	Header	Label	Watch Intro	Bevezető megtekintése
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	"Ki
"
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	"Be
"
Scenes/Menu	Music	Header	Label	Menu Music	Menüzene
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	"Ki
"
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	"Be
"
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	A Road to Vostok ® a Road to Vostok Ltd. bejegyzett védjegye. Minden jog fenntartva © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	Verzió: 0,1,1,3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	Változások
Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	"A következő változások történtek:
Korai hozzáférés [0.1.0.0] -> Korai hozzáférés [0.1.1.3]
----------------------------------------
Build név: Road - Build 1
Build verzió: 0.1.1.3"
