location	parent	name	type	text	translation
UI/Elements/Event	Margin/Elements/Header	Title	Label	Generalist returns to Village	ジェネラリストがヴィレッジに復帰
UI/Elements/Event	Margin/Elements/Content	Description	Label	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."	"ドクターは医療を専門とするトレーダーで、エリア05の廃校舎内に即席の診療所を開いている。

「安否確認」のために老婆を訪ねた後、ドクターはこの診療所に戻り、負傷者への医療サービスを提供する準備を整えている。"
UI/Elements/Event	Margin/Elements/Header	Show	Button	Show	表示
UI/Elements/Event	Margin/Elements/Header	Day	Label	Day 1	1日目
UI/Elements/Event	Margin/Elements/Header	Status	Label	In 10 days	10日後
UI/Elements/Event	Margin/Elements/Content	Type	Label	Trader event	トレーダーイベント
UI/Elements/Event	Margin/Elements/Content	Location	Label	Event location:	イベントの場所:
UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	Village	村
UI/Elements/Event	Margin/Elements/Content	Possibility	Label	Event possibility:	イベントの可能性：
UI/Elements/Event	Margin/Elements/Content/Possibility	Value	Label	~5% / map instance	マップインスタンスあたり約5%
UI/HUD	Stats/Vitals/Elements/Health	Header	Label	Health	ヘルス
UI/HUD	Stats/Vitals/Elements/Energy	Header	Label	Energy	エネルギー
UI/HUD	Stats/Vitals/Elements/Hydration	Header	Label	Hydration	水分補給
UI/HUD	Stats/Vitals/Elements/Mental	Header	Label	Mental	メンタル
UI/HUD	Stats/Vitals/Elements/Temperature	Header	Label	Body Temp	体温
UI/HUD	Stats/Oxygen	Header	Label	Oxygen	酸素
UI/HUD	Info	Map	Label	Shelter (Area 05)	シェルター（エリア05）
UI/Interface	Container/Header	Label	Label	Container	コンテナ
UI/Interface	Equipment/Header	Label	Label	Equipment	装備
UI/Interface	Equipment/Hints	Backpack	Label	Backpack	バックパック
UI/Interface	Equipment/Hints	Rig	Label	Rig	リグ
