location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	互換性
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	UIの拡大縮小 [近日公開予定]
UI/Interface	Equipment/Hints	Knife	Label	Knife	ナイフ
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	手榴弾
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	手榴弾
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	熱
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	特定の料理レシピに必要な、近くにあるクラフト素材。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	近接要件
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	作業台
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	特定の建築系レシピで必要となる、近くにあるクラフト素材。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	近接要件
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	テストベンチ
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	特定の電子機器関連のレシピで必要となる、近くにあるクラフト素材。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	近接要件
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	シェルター
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	特定の家具のレシピに必要な、近くにあるクラフト素材。
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	近接要件
UI/Interface	Trader/Panel	Info		Trader	トレーダー
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	環境収容力
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	全機器の容量値（kg）。
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	ステータス
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	在庫重量
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	全在庫品目の重量（kg）。
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	ステータス
UI/Interface	Inventory/Header/Value	Info		Inventory Value	在庫評価額
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	全在庫品目の価格（ユーロ）
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	ステータス
UI/Interface	Container/Header/Weight	Info		Container Weight	コンテナ重量
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	すべてのコンテナ内物品の重量（kg）。
UI/Interface	Container/Header/Weight	Info		Container Stat	コンテナの状態
UI/Interface	Container/Header/Value	Info		Container Value	コンテナの値
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	すべてのコンテナ項目の価格（ユーロ）
UI/Interface	Container/Header/Value	Info		Container Stat	コンテナの状態
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	環境収容力
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"持ち運び可能な荷物の重量上限（kg）です。

バックパック、リグ、または「容量」ステータスがプラスの装備品を装備すると、持ち運び可能重量が増加します。

デフォルトの持ち運び可能重量は10kgです。"
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	装備ステータス
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	設備の価値
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	すべての機器の価格（ユーロ）
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	装備ステータス
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	断熱
UI/Interface	Equipment/Stats/Elements/Insulation	Info		"A clothing-based thermal protection value against cold.

Insulation is linked to Body Temp vital, where Insulation reduces Body Temp decrease speed in Winter.

Insulation increases when you equip clothing items with a positive insulation stat.

Insulation examples:
[100] = B. Temp decrease fully stopped
[50] = B. Temp decrease slowed by 50%
[0] = B. Temp decreases at default rate"	"寒さに対する衣類による防寒効果。

防寒効果は「体温」と密接に関連しており、防寒効果が高いほど、冬場の体温低下速度が緩やかになります。

防寒効果は、防寒ステータスがプラスの衣類を装備することで上昇します。

防寒効果の例：
[100] = 体温の低下が完全に停止
[50] = 体温の低下が50%遅くなる
[0] = 体温がデフォルトの速度で低下する"
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Equipment Stat	装備ステータス
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Dexterity	器用さ
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		"An inertia-based value of how quickly you can move and do certain actions.

Dexterity is linked to movement speed and weapon handling such as aiming and reloading.

Dexterity decreases when you equip heavy or unergonomic items with a negative dexterity stat."	"慣性に基づく、移動や特定の行動をどれだけ素早く行えるかを示す数値です。

器用さは、移動速度や、照準やリロードといった武器の操作能力に関連しています。

器用さのステータスがマイナスとなる、重たいアイテムや持ちにくいアイテムを装備すると、器用さは低下します。"
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Equipment Stat	装備ステータス
UI/Interface	Equipment/Stats/Elements/Menace	Info		Menace	脅威
UI/Interface	Equipment/Stats/Elements/Menace	Info		"An intimidation value of how threatening AI sees your character and equipment.

When you have a high Menace value, AI is less likely to use aggressive or attack-based behaviors against you.

Menace increases when you equip items such as special clothing with a positive Menace stat.

Menace only affects low-tier AI (Bandits)."	"AIがあなたのキャラクターや装備をどれほど脅威と見なすかを示す「威嚇値」です。

威嚇値が高い場合、AIがあなたに対して攻撃的な行動や攻撃行動をとる可能性は低くなります。

威嚇値は、威嚇ステータスがプラスになる特殊な防具などのアイテムを装備すると上昇します。

威嚇値の影響を受けるのは、低レベルのAI（山賊）のみです。"
UI/Interface	Equipment/Stats/Elements/Menace	Info		Equipment Stat	装備ステータス
UI/Interface	Equipment/Stats/Elements/CBRN	Info		CBRN	CBRN
UI/Interface	Equipment/Stats/Elements/CBRN	Info		"A protection value against chemical, biological, radiological and nuclear threats.

CBRN is linked to Health vital, where CBRN reduces the Health decrease speed when you are exposed to hazardous areas or materials.

CBRN increases when you equip items such as special clothing or protective masks with a positive CBRN stat."	"化学、生物、放射線、核の脅威に対する防御値。

CBRNは「体力」と関連しており、危険な地域や物質にさらされた際、CBRNが高いほど体力の減少速度が緩やかになります。

CBRNステータスを持つ特殊な防護服や防護マスクなどの装備を身につけると、CBRN値が上昇します。"
UI/Interface	Equipment/Stats/Elements/CBRN	Info		Equipment Stat	装備ステータス
UI/Interface	Character/Vitals/Elements/Health	Info		Health	健康
UI/Interface	Character/Vitals/Elements/Health	Info		"Your main vital for staying alive.

Health decreases with damages and active medical conditions.

Health increases with certain medical items such as Bandages and Medkits.

Health [0] -> Character dies"	"生存するために最も重要なステータスです。

ダメージを受けたり、病気にかかったりすると、体力は減少します。

包帯や救急キットなどの特定の医療アイテムを使用すると、体力は回復します。

体力 [0] → キャラクターが死亡します"
UI/Interface	Character/Vitals/Elements/Health	Info		Vital	不可欠
UI/Interface	Character/Vitals/Elements/Energy	Info		Energy	エネルギー
UI/Interface	Character/Vitals/Elements/Energy	Info		"Your hunger and energy level.

Energy decreases over time and using map transitions with Energy Cost.

Energy increases with certain consumables such as food.

Energy [0] -> Starvation (Condition)"	"空腹度とエネルギー量。

エネルギーは時間の経過とともに減少します。また、エネルギー消費を伴うマップ移動を行うと減少します。

エネルギーは、食料などの特定の消費アイテムを使用することで増加します。

エネルギー [0] → 飢餓（状態異常）"
UI/Interface	Character/Vitals/Elements/Energy	Info		Vital	不可欠
UI/Interface	Character/Vitals/Elements/Hydration	Info		Hydration	水分補給
