# === SHORT ENTRIES (direct mapping candidates) ===
en	ko	freq	ko_consistency	variants	sheets
Off	끄기	12	12/12		Main
Medical Condition	질병	11	11/11		Interface
On	켜기	10	10/10		Main
Vital	바이탈	7	7/7		Interface
Equipment Stat	장비 통계	6	6/6		Interface
Progression Stat	진행도	5	5/5		Interface
TBA	발표 예정	5	5/5		Main
← Return	← 돌아가기	5	5/5		Main
Proximity Requirement	요구 시설 (근접)	4	4/4		Interface
Select	선택	4	4/4		Main
Tasks	의뢰 수	4	2/4	의뢰 (2)	Interface
Trader	상인	4	3/4	상인 통계 (1)	Interface, Events
Area 05	05 구역	3	3/3		Main, Interface
Body Temp	체온	3	3/3		Interface
Cat	고양이	3	3/3		Interface, Items
Day	생존일	3	2/3	일 (1)	Interface
Dynamic	동적	3	3/3		Main, Events
Energy	기력	3	3/3		Interface
Grenade	수류탄1	3	1/3	수류탄2 (1); 수류탄 (1)	Interface, Items
Health	체력	3	3/3		Interface
Hold	유지	3	3/3		Main
Hydration	수분	3	3/3		Interface
Inventory Stat	인벤토리 통계	3	3/3		Interface
Map	지도	3	3/3		Main, Interface, Items
Mental	정신력	3	3/3		Interface
Shelter	은신처	3	2/3	피신처 (1)	Main, Interface
Show	보기	3	3/3		Interface, Events, Scripts (etc)
Toggle	토글	3	3/3		Main
Village	마을	3	3/3		Main, Interface, Events
[RMB] = Rotation Mode	[RMB] = 회전 모드	2	2/2		Interface
[SCROLL] = Adjust / Rotate	[SCROLL] = 조정 / 회전	2	2/2		Interface
Add to Notes	노트에 추가	2	2/2		Interface, Scripts (etc)
Aim	조준	2	2/2		Main
Backpack	배낭	2	1/2	가방 (1)	Interface, Items
Body Temp:	체온:	2	2/2		Interface, ToolTips
Caliber:	구경:	2	2/2		Interface, ToolTips
Capacity:	용량:	2	2/2		Interface, ToolTips
Carry Capacity	소지 한도	2	2/2		Interface
Casette Player	카세트 플레이어	2	2/2		Interface, Items
Casette Player not equipped	카세트 플레이어가 장착되지 않았습니다	2	2/2		Interface
CBRN	화생방 수치	2	1/2	화생방 (1)	Interface
Changelog	변경사항	2	2/2		Main
Character died	캐릭터가 사망했습니다	2	2/2		Main
Coffeemaster	커피머신	2	2/2		Interface, Items
Compatibility	호환 모드	2	1/2	호환성 (1)	Main
Completed	완료됨	2	2/2		Main, Scripts (etc)
Condition:	상태:	2	2/2		Interface, ToolTips
Consumable	소모품	2	2/2		Interface, Items
Container Stat	보관함 통계	2	2/2		Interface
Craft	제작	2	2/2		Interface, Scripts (etc)
Cures:	치료:	2	2/2		Interface, ToolTips
Damage:	데미지:	2	2/2		Interface, ToolTips
Deal	거래	2	2/2		Interface
Decor Mode	장식 모드	2	2/2		Main, Interface
Delivered	배달됨	2	2/2		Interface
Easy	쉬움	2	2/2		Interface, Tasks
Energy:	기력:	2	2/2		Interface, ToolTips
Equip	장비	2	2/2		Interface, Scripts (etc)
Generalist returns to Village	잡화상이 마을에 복귀	2	2/2		Events
Health:	체력:	2	2/2		Interface, ToolTips
Helmet	헬멧	2	2/2		Interface, Items
High	높음	2	2/2		Main
Hydration:	수분:	2	2/2		Interface, ToolTips
Item	아이템	2	2/2		Interface, ToolTips
Knife	칼	2	2/2		Interface, Items
Legendary	전설	2	2/2		Interface, Items
Level 1	레벨 1	2	2/2		Interface
Level 2	레벨 2	2	2/2		Interface
Level 3	레벨 3	2	2/2		Interface
Level 4	레벨 4	2	2/2		Interface
Level 5	레벨 5	2	2/2		Interface
Load game	불러오기	2	2/2		Main
