text	translation
Day {str}	Day {str}
In {str} Days	In {str} Days
{type} Event	{type} Event
~{str}% / map instance	~{str}% / map instance
Remove {name}	Remove {name}
Level {no}	Level {no}
Monitor: {idx}	Monitor: {idx}
Window: {percent}%	Window: {percent}%
Loading {scene}...	Loading {scene}...
You slept {str} hours	You slept {str} hours
Cat Fed ({name})	Cat Fed ({name})
Task Completed: {name}	Task Completed: {name}
Item Returned: {name}	Item Returned: {name}
Take ({str})	Take ({str})
Level {str}	Level {str}
Remove ({display})	Remove ({display})
Unlock with {name}	Unlock with {name}
Open with {name}	Open with {name}
{containerName} [Locked]	{containerName} [Bloqueado]
{containerName} [Open]	{containerName} [Open]
Fuel Tank [{percent}%]	Fuel Tank [{percent}%]
Items: {str}	Itens: {str}
