location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	Compatibilidade
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	Escalonamento da interface do usuário [Em breve]
UI/Interface	Equipment/Hints	Knife	Label	Knife	Faca
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	Granada
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	Granada
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	Calor
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	Um item de artesanato disponível nas proximidades que pode ser necessário para determinadas receitas culinárias.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	Requisito de proximidade
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	Bancada
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	Um item de artesanato disponível nas proximidades que pode ser necessário para determinadas receitas de construção.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	Requisito de proximidade
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	Bancada de testes
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	Um item de criação disponível nas proximidades que pode ser necessário para determinadas receitas de equipamentos eletrônicos.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	Requisito de proximidade
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	Abrigo
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	Um item de artesanato disponível nas proximidades que pode ser necessário para determinadas receitas de móveis.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	Requisito de proximidade
UI/Interface	Trader/Panel	Info		Trader	Operador
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	Capacidade de carga
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	O valor da capacidade (kg) de todos os itens de equipamento.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	Estatísticas de estoque
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	Peso de estoque
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	O peso (em kg) de todos os itens em estoque.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	Estatísticas de estoque
UI/Interface	Inventory/Header/Value	Info		Inventory Value	Valor do estoque
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	O valor (em euros) de todos os itens em estoque.
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	Estatísticas de estoque
UI/Interface	Container/Header/Weight	Info		Container Weight	Peso do contêiner
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	O peso total (em kg) de todos os itens do contêiner.
UI/Interface	Container/Header/Weight	Info		Container Stat	Estatísticas do contêiner
UI/Interface	Container/Header/Value	Info		Container Value	Valor do contêiner
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	O valor total (em euros) de todos os itens do contêiner.
UI/Interface	Container/Header/Value	Info		Container Stat	Estatísticas do contêiner
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	Capacidade de carga
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"Um valor de capacidade de carga (kg) que indica quanto peso de inventário você pode carregar.

A capacidade de carga aumenta quando você equipa itens como mochilas, arneses ou roupas com uma estatística de capacidade positiva.

Por padrão, a capacidade de carga é de 10 kg"
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	Valor do equipamento
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	O valor (em euros) de todos os itens de equipamento.
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	Isolamento
UI/Interface	Equipment/Stats/Elements/Insulation	Info		"A clothing-based thermal protection value against cold.

Insulation is linked to Body Temp vital, where Insulation reduces Body Temp decrease speed in Winter.

Insulation increases when you equip clothing items with a positive insulation stat.

Insulation examples:
[100] = B. Temp decrease fully stopped
[50] = B. Temp decrease slowed by 50%
[0] = B. Temp decreases at default rate"	"Um valor de proteção térmica contra o frio baseado nas roupas.

O isolamento está ligado à temperatura corporal, sendo vital, pois reduz a velocidade de queda da temperatura corporal no inverno.

O isolamento aumenta quando você equipa itens de vestuário com um valor positivo de isolamento.

Exemplos de isolamento:
[100] = Queda da temperatura corporal totalmente interrompida
[50] = Queda da temperatura corporal reduzida em 50%
[0] = A temperatura corporal diminui na velocidade padrão"
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Dexterity	Destreza
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		"An inertia-based value of how quickly you can move and do certain actions.

Dexterity is linked to movement speed and weapon handling such as aiming and reloading.

Dexterity decreases when you equip heavy or unergonomic items with a negative dexterity stat."	"Um valor baseado na inércia que indica a rapidez com que você pode se mover e realizar determinadas ações.

A destreza está relacionada à velocidade de movimento e ao manuseio de armas, como mirar e recarregar.

A destreza diminui quando você equipa itens pesados ou pouco ergonômicos com um valor negativo de destreza."
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Equipment/Stats/Elements/Menace	Info		Menace	Ameaça
UI/Interface	Equipment/Stats/Elements/Menace	Info		"An intimidation value of how threatening AI sees your character and equipment.

When you have a high Menace value, AI is less likely to use aggressive or attack-based behaviors against you.

Menace increases when you equip items such as special clothing with a positive Menace stat.

Menace only affects low-tier AI (Bandits)."	"Um valor de intimidação que indica o quanto a IA considera seu personagem e seu equipamento ameaçadores.

Quando você tem um valor de Ameaça alto, é menos provável que a IA adote comportamentos agressivos ou de ataque contra você.

A Ameaça aumenta quando você equipa itens como roupas especiais com uma estatística de Ameaça positiva.

A Ameaça afeta apenas a IA de nível inferior (bandidos)."
UI/Interface	Equipment/Stats/Elements/Menace	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Equipment/Stats/Elements/CBRN	Info		CBRN	CBRN
UI/Interface	Equipment/Stats/Elements/CBRN	Info		"A protection value against chemical, biological, radiological and nuclear threats.

CBRN is linked to Health vital, where CBRN reduces the Health decrease speed when you are exposed to hazardous areas or materials.

CBRN increases when you equip items such as special clothing or protective masks with a positive CBRN stat."	"Um valor de proteção contra ameaças químicas, biológicas, radiológicas e nucleares.

O CBRN está ligado à Saúde vital, sendo que o CBRN reduz a velocidade de diminuição da Saúde quando você está exposto a áreas ou materiais perigosos.

O CBRN aumenta quando você equipa itens como roupas especiais ou máscaras de proteção com um valor positivo de CBRN."
UI/Interface	Equipment/Stats/Elements/CBRN	Info		Equipment Stat	Estatísticas do equipamento
UI/Interface	Character/Vitals/Elements/Health	Info		Health	Saúde
UI/Interface	Character/Vitals/Elements/Health	Info		"Your main vital for staying alive.

Health decreases with damages and active medical conditions.

Health increases with certain medical items such as Bandages and Medkits.

Health [0] -> Character dies"	"A saúde é essencial para você permanecer vivo.

A saúde diminui com os danos sofridos e com as condições médicas ativas.

A saúde aumenta com certos itens médicos, como curativos e kits de primeiros socorros.

Saúde [0] -> O personagem morre"
