text	translation
Compatibility	Compatibilidade
Selected	Selecionado
Press key to bind...	Pressione a tecla para atribuir...
Forward	Avançar
Backward	Para trás
Left	Esquerda
Right	Certo
Crouch	Agachar-se
Jump	Ir para
Sprint	Sprint
Lean Left	Inclinar para a esquerda
Lean Right	Inclinar para a direita
Draw Primary	Empate na primeira fase
Draw Secondary	Empate na repescagem
Draw Knife	Faca de desbaste
Draw Grenade 1	Pegar a granada 1
Draw Grenade 2	Sacar Granada 2
Raise Weapon	Levantar a arma
Lower Weapon	Baixar a arma
Aim	Objetivo
Canted Aim	Mira inclinada
Fire	Incêndio
Reload	Atualizar
Ammo Check	Verificação de munição
Firemode	Modo de Fogo
Inspect Weapon	Inspecionar arma
Prepare Insert	Preparar inserção
Insert Cartridge	Insira o cartucho
Interact	Interagir
Place	Local
Decor Mode	Modo Decoração
Flashlight	Lanterna
NVG	NVG
Laser	Laser
Rail Movement	Movimentação ferroviária
Secondary Optic	Ótica secundária
Interface	Interface
Rotate Item	Girar item
Fast Transfer	Transferência rápida
Fast Equip	Equipamento Rápido
Fast Drop	Queda rápida
Left Mouse Button	Botão esquerdo do mouse
Right Mouse Button	Botão direito do mouse
Middle Mouse Button	Botão do meio do mouse
Mouse Wheel Up	Roda do mouse para cima
Mouse Wheel Down	Roda do mouse para baixo
Mouse Thumb Button 1	Botão 1 do polegar do mouse
Mouse Thumb Button 2	Botão 2 do polegar do mouse
UI Scaling	Escalonamento da interface do usuário
Loading...	Carregando...
Skip Intro [SPACE]	Pular introdução [BARRA DE ESPAÇO]
All save files deleted	Todos os arquivos salvos foram excluídos
Character died	O personagem morreu
Intro	Introdução
Cabin	Cabine
Shelter	Abrigo
Tutorial	Tutorial
Menu	Menu
Attic	Sótão
Death	Morte
Classroom	Sala de aula
Tent	Tenda
Bunker	Bunker
Village	Aldeia
Area 05	Área 05
Highway	Rodovia
School	Escola
Outpost	Posto avançado
Border Zone	Zona de Fronteira
Minefield	Campo minado
Apartments	Apartamentos
Terminal	Terminal
Tutorial Exit	Sair do tutorial
Template	Modelo
shaders	shaders
Trader	Operador
Generalist	Generalista
Doctor	Médico
Gunsmith	Armeiro
Driver	Motorista
Grandma	Vovó
Shaman	Xamã
Fisherman	Pescador
Scientist	Cientista
Bandit	Bandido
Guards	Guarda
Military	Militar
Punisher	O Castigador
Neutral	Neutro
Overcast	Céu nublado
Rain	Chuva
Storm	Tempestade
Generic	Genérico
Wood	Madeira
Metal	Metal
Concrete	Concreto
Rock	Rock
Vostok	Vostok
Inventory	Estoque
Primary	Primário
Secondary	Secundário
Vital	Essencial
Task Notes empty	Notas da tarefa: vazio
Task Notes not available (Tutorial)	Notas da tarefa indisponíveis (Tutorial)
Map not equipped	Mapa não disponível
Map not usable (Vostok)	Mapa indisponível (Vostok)
Casette Player not equipped	Não possui leitor de cassetes
Casette Player power 0%, recharge player	Bateria do reprodutor de cassetes em 0%, recarregar o reprodutor
Casette Player empty, insert casette	O leitor de fitas está vazio, insira uma fita
Override Ambient Music [ON]	Substituir música ambiente [LIGADO]
Override Ambient Music [OFF]	Substituir música ambiente [DESLIGADO]
Sleep	Sono
Level 2	Nível 2
Level 3	Nível 3
Level 4	Nível 4
Level 5	Nível 5
Heat required	É necessário aquecimento
Workbench required	É necessário uma bancada
Shelter required	É necessário um abrigo
Start Input	Iniciar entrada
Stop Input	Interromper a entrada
Reset Input	Redefinir entrada
Start Delivery	Iniciar entrega
Stop Delivery	Suspender a entrega
Delivered	Entregue
CBRN	CBRN
Overweight	Excesso de peso
Explosion	Explosão
Fall	Outono
Day	Dia
Easy	Fácil
Intermediate	Intermediário
Hard	Difícil
Trader Event	Evento para traders
Dynamic Event	Evento dinâmico
Special Event	Evento especial
Dynamic	Dinâmico
Special	Especial
Guaranteed	Garantido
Common	Comum
Rare	Raro
Legendary	Lendário
Armor Plate	Placa de blindagem
Armor	Armadura
Armor Plate {class}	Placa de blindagem {class}
Armor Plate (II)	Placa de blindagem (II)
Armor Plate (III+)	Placa de blindagem (III+)
Armor Plate (III)	Placa de blindagem (III)
Armor Plate (IIIA)	Placa de blindagem (IIIA)
Armor Plate (IV)	Placa de blindagem (IV)
Backpack	Mochila
Jääkäri Backpack (Black)	Mochila Jääkäri (Preta)
Jääkäri BP.	Jääkäri BP.
Jääkäri Backpack (Brown)	Mochila Jääkäri (Castanha)
Jääkäri Backpack (Green)	Mochila Jääkäri (verde)
Jääkäri Backpack (M05)	Mochila Jääkäri (M05)
Nomad Backpack	Mochila Nomad
Nomad BP.	Nomad BP.
Patrol Backpack	Mochila de patrulha
Patrol BP.	Patrulha BP.
Duffel (Retro)	Mochila (Retro)
R. Duffel	R. Duffel
Belt Pouch	Bolsa de cinto
Kukkaro (Black)	Kukkaro (Preto)
Kukkaro	Kukkaro
Kukkaro (Brown)	Kukkaro (Marrom)
Kukkaro (Green)	Kukkaro (Verde)
Kukkaro (M05)	Kukkaro (M05)
Literature	Literatura
Book (Children)	Livro (infantil)
Children	Crianças
Book (Cooking)	Livro (Culinária)
Cooking	Culinária
Book (Fishing)	Livro (Pesca)
Book (Religion)	Livro (Religião)
