location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	Совместимость
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	Масштабирование интерфейса [Скоро будет доступно]
UI/Interface	Equipment/Hints	Knife	Label	Knife	Нож
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	Граната
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	Граната
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	Тепло
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	Расположенный рядом элемент крафта, необходимый для некоторых рецептов приготовления пищи.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	Требование близости
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	Верстак
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	Расположенный рядом элемент крафта, необходимый для некоторых строительных рецептов.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	Требование близости
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	Испытательный стенд
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	Расположенный рядом элемент крафта, необходимый для некоторых электронных рецептов.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	Требование близости
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	Укрытие
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	Расположенный рядом элемент крафта, необходимый для некоторых рецептов изготовления мебели.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	Требование близости
UI/Interface	Trader/Panel	Info		Trader	Торговец
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	Грузоподъёмность
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	Значение грузоподъёмности (кг) всех предметов снаряжения.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	Характеристика инвентаря
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	Вес инвентаря
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	Значение веса (кг) всех предметов в инвентаре.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	Характеристика инвентаря
UI/Interface	Inventory/Header/Value	Info		Inventory Value	Стоимость инвентаря
