location	parent	name	type	text	translation
Scenes/Menu	Main/Buttons	New	Button	New game	Nuevo juego
Scenes/Menu	Main/Buttons	Load	Button	Load game	Cargar partida
Scenes/Menu	Main/Buttons	Tutorial	Button	Tutorial	Tutorial
Scenes/Menu	Main/Buttons	Settings	Button	"Settings
"	Configuración
Scenes/Menu	Main/Buttons	Roadmap	Button	"Roadmap
"	Hoja de ruta
Scenes/Menu	Main/Buttons	About	Button	"About
"	Acerca de
Scenes/Menu	Main/Buttons	Quit	Button	"Quit
"	Salir
Scenes/Menu	Log	Header	Label	Changelog	Registro de cambios
Scenes/Menu	Log/Buttons	Log_Off	Button	"Off
"	Desactivado
Scenes/Menu	Log/Buttons	Log_On	Button	"On
"	El
Scenes/Menu	Hardware	Header	Label	Hardware Check	Comprobación del hardware
Scenes/Menu	Hardware/Buttons	HW_Off	Button	"Off
"	Desactivado
Scenes/Menu	Hardware/Buttons	HW_On	Button	"On
"	El
Scenes/Menu	Intro	Header	Label	Watch Intro	Ver introducción
Scenes/Menu	Intro/Buttons	Intro_Off	Button	"Off
"	Desactivado
Scenes/Menu	Intro/Buttons	Intro_On	Button	"On
"	El
Scenes/Menu	Music	Header	Label	Menu Music	Menú Música
Scenes/Menu	Music/Buttons	Music_Off	Button	"Off
"	Desactivado
Scenes/Menu	Music/Buttons	Music_On	Button	"On
"	El
Scenes/Menu	.	Copyright	Label	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	Road to Vostok ® es una marca registrada de Road to Vostok Ltd. Todos los derechos reservados © 2026
Scenes/Menu	.	Version	Label	Version: 0.1.1.3	Versión: 0.1.1.3
Scenes/Menu	Changelog/Header	Label	Label	Changelog	Registro de cambios
