location	parent	name	type	text	translation
UI/Interface	Equipment/Hints	Knife	Label	Knife	Cuchillo
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	Granada
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	Granada
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Heat	Calor
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		A nearby crafting element which can be required for certain cooking-based recipes.	Un material de artesanía cercano que puede ser necesario para ciertas recetas de cocina.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Heat	Info		Proximity Requirement	Requisito de proximidad
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Workbench	Banco de trabajo
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		A nearby crafting element which can be required for certain construction-based recipes.	Un elemento de artesanía cercano que puede ser necesario para ciertas recetas relacionadas con la construcción.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Workbech	Info		Proximity Requirement	Requisito de proximidad
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Testbench	Banco de pruebas
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		A nearby crafting element which can be required for certain electronic-based recipes.	Un material de fabricación cercano que puede ser necesario para ciertas recetas de objetos electrónicos.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Testbench	Info		Proximity Requirement	Requisito de proximidad
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Shelter	Refugio
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		A nearby crafting element which can be required for certain furniture-based recipes.	Un elemento de artesanía cercano que puede ser necesario para ciertas recetas relacionadas con muebles.
UI/Interface	Tools/Crafting/Types/Margin/Buttons/Proximity/Margin/Icons/Shelter	Info		Proximity Requirement	Requisito de proximidad
UI/Interface	Trader/Panel	Info		Trader	Operador
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	Capacidad de carga
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	El valor de la capacidad (kg) de todos los equipos.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	Estadísticas de inventario
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	Peso de inventario
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	El peso (en kg) de todos los artículos en inventario.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	Estadísticas de inventario
UI/Interface	Inventory/Header/Value	Info		Inventory Value	Valor de inventario
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	El valor total (en euros) de todos los artículos en inventario.
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	Estadísticas de inventario
UI/Interface	Container/Header/Weight	Info		Container Weight	Peso del contenedor
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	El peso total (en kg) de todos los artículos del contenedor.
UI/Interface	Container/Header/Weight	Info		Container Stat	Estado del contenedor
UI/Interface	Container/Header/Value	Info		Container Value	Valor del contenedor
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	El valor total (en euros) de todos los artículos en contenedores.
UI/Interface	Container/Header/Value	Info		Container Stat	Estado del contenedor
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	Capacidad de carga
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"Un valor de capacidad de carga (kg) que indica cuánto peso de inventario puedes transportar.

La capacidad de carga aumenta cuando equipas objetos como mochilas, arneses o ropa con una estadística de capacidad positiva.

La capacidad de carga predeterminada es de 10 kg"
