Transliteration	Transcreation	Machine translated	Confused	untranslatable	Category	Sub-Category	Class	text	translation	DESCRIPTION
0	0	0	0	1	PROPER	Game	Title	Road to Vostok	Road to Vostok	NEVER translate — official game title; preserve original Latin script (brand identity)
0	0	0	0	1	Proper	Game	Development	TBA	TBA	#N/A
1	0	1	0	0	Proper	Game	System	Player	Joueur	the player character
0	0	1	0	0	Place	Area	Intro	Intro	Introduction	
1	0	1	0	0	Place	Area	Tutorial	Tutorial	Tutoriel	
0	0	1	0	0	Place	Area	Area 05	Area 05	Zone 05	event area label
0	0	1	0	0	Place	Map	Area 05	Village	Village	starting area; trader Generalist resides here
0	0	1	0	0	Place	Map	Area 05	Highway	Autoroute	mid-zone; connects Village/School
0	0	1	0	0	Place	Map	Area 05	School	École	mid-zone; trader Doctor returns here
0	0	1	0	0	Place	Area	Border Zone	Border Zone	Zone frontalière	same as above
0	0	1	0	0	Place	Map	Border Zone	Outpost	Avant-poste	east-side zone; trader Gunsmith returns here
0	0	1	0	0	Place	Map	Border Zone	Minefield	Champ de mines	dangerous zone east of Outpost
1	0	1	0	0	Place	Area	Vostok	Vostok	Vostok	end-game permadeath zone (proper noun)
0	0	1	0	0	Place	Map	Vostok	Apartments	Appartements	late-game residential zone
0	0	1	0	0	Place	Map	Vostok	Terminal	Terminal	end-of-route zone
0	0	1	0	0	Place	Shelter	Shelter	Shelter	Refuge	player home/safe area (preferred over 피신처)
0	0	1	0	0	Place	Shelter	Area 05	Cabin	Cabine	primary shelter (player base)
0	0	1	0	0	Place	Shelter	Area 05	Attic	grenier	sub-area
0	0	1	0	0	Place	Shelter	Area 05	Classroom	Salle de classe	sub-area within School
1	0	1	0	0	Place	Shelter	Border Zone	Tent	Tente	secondary/portable shelter
1	0	1	0	0	Place	Shelter	Border Zone	Bunker	Bunker	sub-area within Outpost
0	0	1	0	0	Place	Shelter	Border Zone	Border	Frontière	Label for BGM preset of Border Zone
0	0	1	0	0	Place	Shelter	Border Zone	Border	Frontière	
0	0	1	0	0	Place	Shelter	#Not Updated Yet	CDS	CDS	"Will be updated at ""Build 4 | Gunslinger"""
0	0	1	0	0	NPC	Pet	Pet	Cat	Chat	rescuable companion
0	0	1	0	0	NPC	Trader	ALL	Trader	Trader	generic trader noun (NOT 상인 통계)
0	0	1	0	0	NPC	Trader	Area 05	Generalist	Généraliste	Village trader; handles general items
0	0	1	0	0	NPC	Trader	Area 05	Doctor	Médecin	School trader; handles medical
1	0	1	0	0	NPC	Trader	Border Zone	Gunsmith	Armurier	alternate (used in some event lines — prefer 총잡이 for consistency, see Events)
0	0	1	0	0	NPC	Trader	#Not Updated Yet	Driver	Conducteur	"Will be updated at ""Build 2 | Nomads"""
0	0	1	0	0	NPC	Trader	#Not Updated Yet	Grandma	Grand-mère	"Will be updated at ""Build 3 | Signal"""
1	0	1	0	0	NPC	Trader	#Not Updated Yet	Shaman	Chaman	"Will be updated at ""Build 5 | North"""
0	0	1	0	0	NPC	Trader	#Not Updated Yet	Fisherman	Pêcheur	"Will be updated at ""Build 6 | Abyss"""
0	0	1	0	0	NPC	Trader	#Not Updated Yet	Scientist	Chercheur	"Will be updated at ""Build 7 | Enigma"""
1	0	1	0	0	Faction	Hostile	Area 05	Bandit	Bandit	Hostile NPC faction spawned in Area 05;
0	0	1	0	0	Faction	Hostile	Border Zone	Guards	Gardes	Hostile NPC faction spawned in Border Zone;
0	0	1	0	0	Faction	Hostile	Vostok	Military	Militaire	Hostile NPC faction spawned in Vostok;
0	0	1	0	0				Military	Militaire	
1	0	1	0	0	Faction	Hostile	Elite	Punisher	Le Punisher	Hostile Elite(Boss) NPC spawned in Area 05;
1	0	1	0	0	Status	All	Header	Character	Personnage	character in general
1	0	1	0	0	Status	Vital	Type	Vital	Essentiel	vitals system / status
0	0	1	0	0	Status	Vital	HUD Setting	Vitals	Signes vitaux	HUD Setting
0	0	1	0	0	Status	Vital	Vital	Health	Santé	Vital of Health (HP)
0	0	1	0	0	Status	Vital	Vital	Energy	Énergie	Vital of stamina (Hunger)
0	0	0	0	0	Status	Vital	Vital	Hydration	Eau	Vital of Thirst
0	0	0	0	0	Status	Vital	Vital	Mental	Mental	Vital of Mental health
0	0	0	0	0	Status	Vital	Vital	Body Temp	Temp.	Vital of Body Temperature
0	0	1	0	0	Status	Vital	Vital	Cat	Chat	Vital of Cat (HP)
0	0	1	0	0	Status	Medical	Type	Medical Condition	Problème de santé	
0	0	1	0	0	Status	Medical	Medical	Overweight	Surpoids	
0	0	1	0	0	Status	Medical	Medical	Starvation	La famine	
0	0	1	0	0	Status	Medical	Medical	Dehydration	Déshydratation	
0	0	1	0	0	Status	Medical	Medical	Bleeding	Saignement	
0	0	1	0	0	Status	Medical	Medical	Fracture	Fracture	
0	0	1	0	0	Status	Medical	Medical	Burn	Brûler	
0	0	1	0	0	Status	Medical	Medical	Frostbite	Gelures	
0	0	1	0	0	Status	Medical	Medical	Insanity	Folie	
0	0	1	0	0	Status	Medical	Medical	Poisoning	Empoisonnement	
0	0	1	0	0	Status	Medical	Medical	Rupture	Rupture	
0	0	1	0	0	Status	Medical	Medical	Headshot	Portrait	
0	0	1	0	0	Status	Progression	Type	Progression Stat	Statistiques de progression	
0	0	1	0	0	Status	Progression	Progression	Shelters	Refuges	"This is the number of unlocked ""Shelters"". Since this is the plural form of ""Shelter"", please be careful not to confuse it with other words. "
0	0	1	0	0	Status	Progression	Progression	Tasks	Tâches	
0	0	1	0	0	Status	Progression	Progression	Quests	Quêtes	
0	0	1	0	0	Status	Progression	Progression	Civil Defence Shelters	Abris de la protection civile	"This is the Full Name of CDS, so please be careful not to confuse with other words. Will be updated at ""Build 4 | Gunslinger"""
0	0	1	0	0	Status	Progression	Progression	Silent Night	Douce nuit	"Not updated yet. It appears as ""?"" at Status"
0	0	1	0	0	Status	Inventory	Type	Inventory Stat	Statistiques d'inventaire	
0	0	1	0	0	Status	Inventory	Inventory	Carry Capacity	Capacité de charge	
0	0	1	0	0	Status	Inventory	Inventory	Inventory Weight	Poids de l'inventaire	
0	0	1	0	0	Status	Inventory	Inventory	Inventory Value	Valeur des stocks	
0	0	1	0	0	Status	Container	Type	Container Stat	Statistiques sur les conteneurs	
0	0	1	0	0	Status	Container	Container	Container Weight	Poids du conteneur	
0	0	1	0	0	Status	Container	Container	Container Value	Valeur du conteneur	
0	0	1	0	0	Status	Equiptments	Type	Equipment Stat	Statistiques d'équipement	
0	0	1	0	0	Status	Equiptments	Equipments	Equipment Value	Valeur des équipements	
0	0	1	0	0	Status	Equiptments	Equipments	Insulation	Isolation	tooltip variant of 보온성 — labelled 방한 in tooltip context
0	0	1	0	0	Status	Equiptments	Equipments	Dexterity	Dextérité	
0	0	1	0	0	Status	Equiptments	Equipments	Menace	Menace	
0	0	1	0	0	Status	Equiptments	Equipments	CBRN	CBRN	CBRN (Chemical / Biological / Radiological / Nuclear) hazard meter
0	0	1	0	0	Inventory	Equipments	Slot Label	Primary	Primaire	Label of the Primary Weapon
0	0	1	0	0	Inventory	Equipments	Slot Label	Secondary	Secondaire	Label of the Secondary Weapon
0	0	1	0	0	Inventory	Equipments	Slot Label	Knife	Couteau	Label of the Melee Weapon (Knife)
0	0	1	0	0	Inventory	Equipments	Slot Label	Grenade	Grenade	Grenade
0	0	1	0	0	Inventory	Equipments	Slot Label	Grenade	Grenade	Label of the first grenade slot in the Inventory. Check Equipment/Hints/Grenade_A
0	0	1	0	0	Inventory	Equipments	Slot Label	Grenade	Grenade	Label of the second grenade slot in the Inventory. Check Equipment/Hints/Grenade_B
0	0	1	0	0	Inventory	Equipments	Slot Label	Backpack	Sac à dos	Label of the Backpack in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Rig	Plateforme	Label of the Rig/Vest in the Inventory (ex: bullet proof vest)
0	0	1	0	0	Inventory	Equipments	Slot Label	Helmet	Casque	Label of the Helmet in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Head	Tête	Label of the Hat/Cap in the Inventory (Not for a helmet)
0	0	1	0	0	Inventory	Equipments	Slot Label	Torso	Torse	Label of the jacket in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Legs	Jambes	Label of the Pants in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Belt	Ceinture	Label of the Belt Pouch in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Feet	Pieds	Label of the Shoes in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Hands	Les mains	Label of the Gloves in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Matches	Rencontres	Label of the Matcehs/Lighter in the Inventory
0	0	1	0	0	Inventory	Equipments	Slot Label	Light	Lumière	Label of the Flash Light in the Inventory. (Not for a Matches/Lighter)
0	0	1	0	0	Inventory	Equipments	Slot Label	NVG	NVG	Label of the NVG(Night Vision Goggle) in the Inventory. Please use the short form only. Check Equipment/Hints/NVG.
0	0	1	0	0	Inventory	Equipments	Slot Label	NVG	Vision Nocturne	Label of the NVG in the Settings/Input. You can choos Full/Short form.
0	0	1	0	0	Inventory	Equipments	Slot Label	Night Vision Goggle	Lunettes de vision nocturne	Full Name of the NVG
0	0	1	0	0	Inventory	Equipments	Slot Label	Time	Heure	Label of the Clock(Time) slot in the Inventory.
0	0	1	0	0	Container	Body	Asset (Dynamic)	Corpse	Cadavre	Lootable Container
0	0	1	0	0	Container	Body	Asset (Static)	Bandit Corpse	Cadavre de bandit	Lootable corpse; Statically spawned;
0	0	1	0	0	Action	Door	ToolTip	[Jammed]	[Bloqué]	
0	0	1	0	0	Action	Door	ToolTip	[Occupied]	[Pris]	
0	0	1	0	0	Action	Door	ToolTip	[Close]	[Fermer]	
0	0	1	0	0	Action	Door	ToolTip	[Open]	[Ouvrir]	
0	0	1	0	0	Action	Electronics	ToolTip	[Turn Off]	[Désactiver]	
0	0	1	0	0	Action	Electronics	ToolTip	[Turn On]	[Activer]	
0	0	1	0	0	Action	Container	ToolTip	[Locked]	[Verrouillé]	
0	0	1	0	0	UI	All	Button	Off	Désactivé	
0	0	1	0	0	UI	All	Button	On	Le	
