WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION
Items	/	Rarity	0	0	1	0	0	substr									Common	Courant	"Defined as enum at ItemData.gd.
Dynamically changed on Tooltip.gd"
Items	/	Rarity	0	0	1	0	0	substr									Rare	Rare	"Defined as enum at ItemData.gd.
Dynamically changed on Tooltip.gd"
Items	/	Rarity	0	0	1	0	0	substr									Legendary	Légendaire	"Defined as enum at ItemData.gd.
Dynamically changed on Tooltip.gd"
Items	Armor	name	0	0	1	0	0	substr									Armor Plate	Plaque de blindage	
Items	Armor	type	0	0	1	0	0	substr									Armor	Armure	
Items	Armor	name	0	0	1	0	0	substr									Armor Plate {class}	Plaque de blindage {class}	
Items	Armor/Armor_Plate_II	name	0	0	1	0	0	substr	Items/Armor/Armor_Plate_II	tres					name		Armor Plate (II)	Plaque de blindage (II)	
Items	Armor/Armor_Plate_II	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_II	tres					inventory		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_II	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_II	tres					rotated		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_II	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_II	tres					equipment		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_II	type	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_II	tres					display		Armor	Armure	
Items	Armor/Armor_Plate_III+	name	0	0	1	0	0	substr	Items/Armor/Armor_Plate_III+	tres					name		Armor Plate (III+)	Plaque de blindage (III+)	
Items	Armor/Armor_Plate_III+	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III+	tres					inventory		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III+	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III+	tres					rotated		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III+	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III+	tres					equipment		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III+	type	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III+	tres					display		Armor	Armure	
Items	Armor/Armor_Plate_III	name	0	0	1	0	0	substr	Items/Armor/Armor_Plate_III	tres					name		Armor Plate (III)	Plaque de blindage (III)	
Items	Armor/Armor_Plate_III	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III	tres					inventory		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III	tres					rotated		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III	tres					equipment		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_III	type	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_III	tres					display		Armor	Armure	
Items	Armor/Armor_Plate_IIIA	name	0	0	1	0	0	substr	Items/Armor/Armor_Plate_IIIA	tres					name		Armor Plate (IIIA)	Plaque de blindage (IIIA)	
Items	Armor/Armor_Plate_IIIA	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IIIA	tres					inventory		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IIIA	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IIIA	tres					rotated		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IIIA	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IIIA	tres					equipment		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IIIA	type	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IIIA	tres					display		Armor	Armure	
Items	Armor/Armor_Plate_IV	name	0	0	1	0	0	substr	Items/Armor/Armor_Plate_IV	tres					name		Armor Plate (IV)	Plaque de blindage (IV)	
Items	Armor/Armor_Plate_IV	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IV	tres					inventory		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IV	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IV	tres					rotated		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IV	name	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IV	tres					equipment		Armor Plate	Plaque de blindage	
Items	Armor/Armor_Plate_IV	type	0	0	1	0	0	ignore	Items/Armor/Armor_Plate_IV	tres					display		Armor	Armure	
Items	Backpacks	type	0	0	1	0	0	substr									Backpack	Sac à dos	
Items	Backpacks/Backpack_Jaeger_Black	name	0	0	1	0	0	substr	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					name		Jääkäri Backpack (Black)	Sac à dos Jääkäri (noir)	
Items	Backpacks/Backpack_Jaeger_Black	name	0	0	1	0	0	substr	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					inventory		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Black	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					rotated		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Black	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					equipment		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Black	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					display		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Black	type	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Black	tres					type		Backpack	Sac à dos	
Items	Backpacks/Backpack_Jaeger_Brown	name	0	0	1	0	0	substr	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					name		Jääkäri Backpack (Brown)	Sac à dos Jääkäri (marron)	
Items	Backpacks/Backpack_Jaeger_Brown	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					inventory		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Brown	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					rotated		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Brown	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					equipment		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Brown	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					display		Jääkäri BP.	Jääkäri BP.	
Items	Backpacks/Backpack_Jaeger_Brown	type	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Brown	tres					type		Backpack	Sac à dos	
Items	Backpacks/Backpack_Jaeger_Green	name	0	0	1	0	0	substr	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Green	tres					name		Jääkäri Backpack (Green)	Sac à dos Jääkäri (vert)	
Items	Backpacks/Backpack_Jaeger_Green	name	0	0	1	0	0	ignore	Items/Backpacks/Backpack_Jaeger/Backpack_Jaeger_Green	tres					inventory		Jääkäri BP.	Jääkäri BP.	
