WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION
Inventory	Item/Weapon/Button	Button	0	0	1	0	0	substr	Scripts/Actions	gd			unload.text	literal		51	Unload	Décharger	
Inventory	Item/Weapon/Button	Button	0	0	1	0	0	ignore	Scripts/Actions	gd			unload.text	literal		58	Unload	Décharger	
Inventory	Item/Weapon/Button	Button	0	0	1	0	0	ignore	Scripts/Context	gd			unloadButton.text	literal		87	Unload	Décharger	
Inventory	Item/Weapon/Button	Button	0	0	1	0	0	ignore	Scripts/Context	gd			unloadButton.text	literal		94	Unload	Décharger	
Inventory	Item/Weapon/Button	Button	0	0	1	0	0	substr	Scripts/Context	gd			unloadButton.text	literal		101	Clear Chamber	Chambre transparente	
Inventory	Item/Equipments	Button	0	0	1	0	0	substr	Scripts/Actions	gd			equip.text	literal		92	Unequip	Déséquiper	
Inventory	Item/Equipments	Button	0	0	1	0	0	substr	Scripts/Actions	gd			equip.text	literal		94	Equip	Équiper	
Inventory	Item	Button	0	0	0	0	0	pattern	Scripts/Actions	gd			take.text	concat		77	Take ({str})		
Inventory	Item	Button	0	0	0	0	0	ignore	Scripts/Context	gd			takeButton.text	concat		114	Take ({str})	Take ({str})	
Inventory	Event	Button	0	0	1	0	0	substr	Scripts/Event	gd			showButton.text	literal		81	Show	Afficher	
Inventory	Event	Button	0	0	1	0	0	substr	Scripts/Event	gd			showButton.text	literal		86	Hide	Masquer	
Inventory	Event	String	0	0	1	0	0	substr	Scripts/Event	gd			status.text	literal		57	Activated	Activé	
Inventory	Event	String	0	0	1	0	0	substr	Scripts/Event	gd			status.text	literal		93	Not active	Inactif	
Inventory	Event	String	0	0	1	0	0	substr	Scripts/Event	gd			location.get_child(0).text	literal		42	All maps & zones	Toutes les cartes et zones	
Inventory	Event	String	0	0	1	0	0	substr	Scripts/Event	gd			status.text	literal		98	Active	Actif	
Inventory	Recipe	Button	0	0	1	0	0	ignore	Scripts/Recipe	gd			showButton.text	literal		256	Show	Afficher	
Inventory	Recipe	Button	0	0	1	0	0	ignore	Scripts/Recipe	gd			showButton.text	literal		261	Hide	Masquer	
Inventory	Recipe	ToolTip	0	0	1	0	0	substr	Scripts/Recipe	gd			completeButton.text	literal		63	Repair	Réparation	
Inventory	Recipe	ToolTip	0	0	1	0	0	substr	Scripts/Recipe	gd			completeButton.text	literal		65	Craft	Artisanat	
Inventory	Tasks	ToolTip	0	0	1	0	0	substr	Scripts/Task	gd			addButton.text	literal		219	Added	Ajouté	
Inventory	Tasks	ToolTip	0	0	1	0	0	ignore	Scripts/Task	gd			addButton.text	literal		240	Added	Ajouté	
Inventory	Tasks	String	0	0	1	0	0	substr	Scripts/Task	gd			removeButton.text	literal		235	Remove	Supprimer	
Inventory	Tasks	String	0	0	1	0	0	substr	Scripts/Task	gd			addButton.text	literal		247	Completed	Terminé	
Inventory	Tasks	String	0	0	1	0	0	substr	Scripts/Task	gd			addButton.text	literal		254	Add to Notes	Ajouter aux notes	
Inventory	Item/Ammo	ToolTip	0	0	0	0	0	pattern	Scripts/Tooltip	gd			penetration.get_child(0).text	concat		148	Level {str}		
Inventory	Item/Armor	ToolTip	0	0	0	0	0	ignore	Scripts/Tooltip	gd			protection.get_child(0).text	concat		169	Level {str}	Level {str}	
Inventory	Item/Armor	ToolTip	0	0	0	0	0	ignore	Scripts/Tooltip	gd			protection.get_child(0).text	concat		177	Level {str}	Level {str}	
Inventory	Item/Food	Button	0	0	1	0	0	substr	Scripts/Context	gd			useButton.text	literal		41	Frozen	La Reine des neiges	Use button will be replaced for frozen consumable items (instead use button)
Inventory	Weapon	Button	0	0	0	0	0	pattern	Scripts/Context	gd			removeButton.text	concat		125	Remove ({display})		Remove Attachments
HUD	Transition	String	0	0	1	0	0	substr	Scripts/HUD	gd			detailsHint.text	literal		107	Permadeath Zone	Zone de mort permanente	
