WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Weapon	Weapon	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Malfunction	Label	Label	text	1954678705	Weapon Jammed | Press [Reload]	Arme enrayée | Appuyez sur [Recharger]			
Weapon	Weapon	Number	0	0	0	0	1	literal	UI/HUD	tscn	UI/HUD	Magazine/Panel	Count	Label	text	1565790634	0	0			
Weapon	Weapon	Number	0	0	0	0	1	literal	UI/HUD	tscn	UI/HUD	Chamber/Panel	Count	Label	text	343236737	0	0			
Interaction	/	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Tooltip	Label	Label	text	35341605	Interaction	Interaction			
Interaction	Fire	String	0	0	1	0	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		87	Fire [Ignite]	Feu [Allumer]			
Interaction	Fire	String	0	0	1	0	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		89	Fire [Matches not equipped]	Feu [Sans allumettes]			
Interaction	Fire	String	0	0	1	0	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		93	Fire [Extinguish]	Incendie [Éteindre]			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Switch	Label	text	566327047	[RMB] = Rotation Mode	[RMB] = Mode rotation			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Add	Label	text	1516803336	[MMB] = Add to Catalog	[MMB] = Ajouter au catalogue			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Catalog	Label	text	945705906	[TAB] = Furniture Catalog	[TAB] = Catalogue de mobilier			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Close	Label	text	299252101	[F1] = Close Decor Mode	[F1] = Quitter le mode Décoration			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements/Header	Label	Label	text	865843283	Decor Mode	Mode Décoration			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Place	Label	text	1770403458	[G] = Place Furniture	[G] = Placer des meubles			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Scroll	Label	text	431027796	[SCROLL] = Adjust / Rotate	[DÉFILER] = Ajuster / Faire pivoter			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Magnet	Label	text	813263933	[LMB] = Surface Magnet	[LMB] = Aimant de surface			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements/Header	Label	Label	text	1550753811	Item Placement	Emplacement des éléments			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Place	Label	text	652634587	[G] = Grab / Drop Item	[G] = Prendre / Lâcher un objet			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Scroll	Label	text	734941771	[SCROLL] = Adjust / Rotate	[DÉFILER] = Ajuster / Faire pivoter			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Switch	Label	text	1302393483	[RMB] = Rotation Mode	[RMB] = Mode rotation			
Interaction	Placement	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Orientation	Label	text	14073674	[MMB] = Change Orientation	[MMB] = Changer l'orientation			
Transition	Transition	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Header	Destination	Label	text	1760777710	Village	Village			
Transition	Transition	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Header	Zone	Label	text	1044890688	Area 05	Zone 05			
Transition	Transition	Number	0	0	0	0	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Time	Value	Label	text	1758081540	+4h	+4h	Value(Integer) about the cost of Transition. Untranslatable.		
Transition	Transition	Number	0	0	0	0	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Energy	Value	Label	text	1436272038	-8	-8	Value(Integer) about the cost of Transition. Untranslatable.		
Transition	Transition	Number	0	0	0	0	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Hydration	Value	Label	text	1947628226	-16	-16	Value(Integer) about the cost of Transition. Untranslatable.		
Transition	Transition	String	0	0	1	0	0	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Details	Hint	Label	text	958640207	Demo transition: Skips 2-3 maps	Transition de la démo : saute 2 à 3 niveaux	Deprecated String. Maybe only for DEMO Version.		
Item	Item		0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Title	Label	text	988715662	Item	Article			
Item	Item	type	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Type	Label	text	284423885	Type (Common)	Type (courant)			
Item	Item	type	0	0	1	0	0	literal			UI/Elements/Tooltip	Content/Panel/Margin/VBox	Type	Label			Type (Rare)	Type (Rare)			
Item	Item	type	0	0	1	0	0	literal			UI/Elements/Tooltip	Content/Panel/Margin/VBox	Type	Label			Type (Legendary)	Type (Légendaire)			
Item	Item	String	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Info	Label	text	344439182	An item is an object within the game world that can be collected by a player.	Un objet est un élément présent dans l'univers du jeu que le joueur peut ramasser.			
Item	Item	Label	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Condition	Label	text	1418802616	Condition:	État :			
Item	Item	Number	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox/Condition	Value	Label	text	308055388	100%	100 %			
Item	Item	Label	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Weight	Label	text	1575206874	Weight:	Poids :			
Item	Item	Number	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox/Weight	Value	Label	text	2123849713	100kg	100 kg			
Item	Item	Label	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Value	Label	text	913881262	Value:	Valeur :			
Item	Item	Number	0	0	0	0	1	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox/Value	Value	Label	text	1314691776	100€	100€			
Item	Item	Label	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Use	Label	text	1393351409	Use time:	Durée d'utilisation :			
Item	Item	Number	0	0	0	0	1	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox/Use	Value	Label	text	1111351186	10s	10s			
Item	Item	Label	0	0	1	0	0	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox	Damage	Label	text	1563649886	Damage:	Dommages :			
Item	Item	Number	0	0	0	0	1	literal	UI/Elements/Tooltip	tscn	UI/Elements/Tooltip	Content/Panel/Margin/VBox/Damage	Value	Label	text	252494766	100	100			
