Transliteration	Transcreation	Machine translated	Confused	untranslatable	Category	Sub-Category	Class	text	translation	DESCRIPTION	max_length
0	0	0	0	1	PROPER	Game	Title	Road to Vostok	Road to Vostok	NEVER translate — official game title; preserve original Latin script (brand identity)	
0	0	0	0	1	Proper	Game	Development	TBA	발표 예정	#N/A	
1	0	0	0	0	Proper	Game	System	Player	플레이어	the player character	
0	0	0	0	0	Place	Area	Intro	Intro	인트로		
1	0	0	0	0	Place	Area	Tutorial	Tutorial	튜토리얼		
0	0	0	0	0	Place	Area	Area 05	Area 05	05 구역	event area label	
0	0	0	0	0	Place	Map	Area 05	Village	마을	starting area; trader Generalist resides here	
0	0	0	0	0	Place	Map	Area 05	Highway	고속도로	mid-zone; connects Village/School	
0	0	0	0	0	Place	Map	Area 05	School	학교	mid-zone; trader Doctor returns here	
0	0	0	0	0	Place	Area	Border Zone	Border Zone	접경지대	same as above	
0	0	0	0	0	Place	Map	Border Zone	Outpost	전초기지	east-side zone; trader Gunsmith returns here	
0	0	0	0	0	Place	Map	Border Zone	Minefield	지뢰지대	dangerous zone east of Outpost	
1	0	0	0	0	Place	Area	Vostok	Vostok	보스토크	end-game permadeath zone (proper noun)	
0	0	0	0	0	Place	Map	Vostok	Apartments	아파트 단지	late-game residential zone	
0	0	0	0	0	Place	Map	Vostok	Terminal	터미널	end-of-route zone	
0	0	0	0	0	Place	Shelter	Shelter	Shelter	은신처	player home/safe area (preferred over 피신처)	
0	0	0	0	0	Place	Shelter	Area 05	Cabin	오두막	primary shelter (player base)	
0	0	0	0	0	Place	Shelter	Area 05	Attic	다락방	sub-area	
0	0	0	0	0	Place	Shelter	Area 05	Classroom	교실	sub-area within School	
1	0	0	0	0	Place	Shelter	Border Zone	Tent	텐트	secondary/portable shelter	
1	0	0	0	0	Place	Shelter	Border Zone	Bunker	벙커	sub-area within Outpost	
0	0	0	0	0	Place	Shelter	Border Zone	Border	접경지대	Label for BGM preset of Border Zone	
0	0	0	0	0	Place	Shelter	Border Zone	Border	국경		
0	0	0	0	0	Place	Shelter	#Not Updated Yet	CDS	대피소	"Will be updated at ""Build 4 | Gunslinger"""	
0	0	0	0	0	NPC	Pet	Pet	Cat	고양이	rescuable companion	
0	0	0	0	0	NPC	Trader	ALL	Trader	상인	generic trader noun (NOT 상인 통계)	
0	0	0	0	0	NPC	Trader	Area 05	Generalist	잡화상	Village trader; handles general items	
0	0	0	0	0	NPC	Trader	Area 05	Doctor	의사	School trader; handles medical	
1	0	0	0	0	NPC	Trader	Border Zone	Gunsmith	건스미스	alternate (used in some event lines — prefer 총잡이 for consistency, see Events)	
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Driver	운전사	"Will be updated at ""Build 2 | Nomads"""	
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Grandma	할머니	"Will be updated at ""Build 3 | Signal"""	
1	0	0	0	0	NPC	Trader	#Not Updated Yet	Shaman	샤먼	"Will be updated at ""Build 5 | North"""	
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Fisherman	어부	"Will be updated at ""Build 6 | Abyss"""	
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Scientist	과학자	"Will be updated at ""Build 7 | Enigma"""	
1	0	0	0	0	Faction	Hostile	Area 05	Bandit	밴디트	Hostile NPC faction spawned in Area 05;	
0	0	0	0	0	Faction	Hostile	Border Zone	Guards	경비병	Hostile NPC faction spawned in Border Zone;	
0	0	0	0	0	Faction	Hostile	Vostok	Military	군대	Hostile NPC faction spawned in Vostok;	
0	0	0	0	0				Military	군용		
1	0	0	0	0	Faction	Hostile	Elite	Punisher	퍼니셔	Hostile Elite(Boss) NPC spawned in Area 05;	
1	0	0	0	0	Status	All	Header	Character	캐릭터	character in general	
1	0	0	0	0	Status	Vital	Type	Vital	바이탈	vitals system / status	
0	0	0	0	0	Status	Vital	HUD Setting	Vitals	바이탈	HUD Setting	
0	0	0	0	0	Status	Vital	Vital	Health	체력	Vital of Health (HP)	
