WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION
Main_Menu	/	Game Title	1	0	0	0	0	ignore									Road to Vostok	로드 투 보스토크	Subtitle(?) of the Game, that Displayed on Main Menu
Main_Menu	/	Game Subtitle	1	0	0	0	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access	얼리 엑세스	Subtitle(?) of the Game, that Displayed on Main Menu
			0	0	0	0	0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	호환 모드	Text that notice user is running the game as 'Compatibility Mode'
			0	0	0	0	0	substr									Compatibility	호환성	
			0	0	0	0	0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility	호환 모드	
			0	0	0	0	0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility	호환 모드	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	새 게임	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	불러오기	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	튜토리얼	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	"설정
"	
Main_Menu	/	Button	1	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	"로드맵
"	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	"정보
"	
Main_Menu	/	Button	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	"나가기
"	
Main_Menu	/	UI Title	0	0	0	0	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	변경사항	
