Transliteration	Transcreation	Machine translated	Confused	untranslatable	Category	Sub-Category	Class	text	translation	DESCRIPTION
0	0	0	0	1	PROPER	Game	Title	Road to Vostok		NEVER translate — official game title; preserve original Latin script (brand identity)
0	0	0	0	1	Proper	Game	Development	TBA		#N/A
1	0	0	0	0	Proper	Game	System	Player		the player character
0	0	0	0	0	Place	Area	Intro	Intro		
1	0	0	0	0	Place	Area	Tutorial	Tutorial		
0	0	0	0	0	Place	Area	Area 05	Area 05		event area label
0	0	0	0	0	Place	Map	Area 05	Village		starting area; trader Generalist resides here
0	0	0	0	0	Place	Map	Area 05	Highway		mid-zone; connects Village/School
0	0	0	0	0	Place	Map	Area 05	School		mid-zone; trader Doctor returns here
0	0	0	0	0	Place	Area	Border Zone	Border Zone		same as above
0	0	0	0	0	Place	Map	Border Zone	Outpost		east-side zone; trader Gunsmith returns here
0	0	0	0	0	Place	Map	Border Zone	Minefield		dangerous zone east of Outpost
1	0	0	0	0	Place	Area	Vostok	Vostok		end-game permadeath zone (proper noun)
0	0	0	0	0	Place	Map	Vostok	Apartments		late-game residential zone
0	0	0	0	0	Place	Map	Vostok	Terminal		end-of-route zone
0	0	0	0	0	Place	Shelter	Shelter	Shelter		player home/safe area (preferred over 피신처)
0	0	0	0	0	Place	Shelter	Area 05	Cabin		primary shelter (player base)
0	0	0	0	0	Place	Shelter	Area 05	Attic		sub-area
0	0	0	0	0	Place	Shelter	Area 05	Classroom		sub-area within School
1	0	0	0	0	Place	Shelter	Border Zone	Tent		secondary/portable shelter
1	0	0	0	0	Place	Shelter	Border Zone	Bunker		sub-area within Outpost
0	0	0	0	0	Place	Shelter	Border Zone	Border		Label for BGM preset of Border Zone
0	0	0	0	0	Place	Shelter	Border Zone	Border		
0	0	0	0	0	Place	Shelter	#Not Updated Yet	CDS		"Will be updated at ""Build 4 | Gunslinger"""
0	0	0	0	0	NPC	Pet	Pet	Cat		rescuable companion
0	0	0	0	0	NPC	Trader	ALL	Trader		generic trader noun (NOT 상인 통계)
0	0	0	0	0	NPC	Trader	Area 05	Generalist		Village trader; handles general items
0	0	0	0	0	NPC	Trader	Area 05	Doctor		School trader; handles medical
1	0	0	0	0	NPC	Trader	Border Zone	Gunsmith		alternate (used in some event lines — prefer 총잡이 for consistency, see Events)
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Driver		"Will be updated at ""Build 2 | Nomads"""
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Grandma		"Will be updated at ""Build 3 | Signal"""
1	0	0	0	0	NPC	Trader	#Not Updated Yet	Shaman		"Will be updated at ""Build 5 | North"""
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Fisherman		"Will be updated at ""Build 6 | Abyss"""
0	0	0	0	0	NPC	Trader	#Not Updated Yet	Scientist		"Will be updated at ""Build 7 | Enigma"""
1	0	0	0	0	Faction	Hostile	Area 05	Bandit		Hostile NPC faction spawned in Area 05;
0	0	0	0	0	Faction	Hostile	Border Zone	Guards		Hostile NPC faction spawned in Border Zone;
0	0	0	0	0	Faction	Hostile	Vostok	Military		Hostile NPC faction spawned in Vostok;
0	0	0	0	0				Military		
1	0	0	0	0	Faction	Hostile	Elite	Punisher		Hostile Elite(Boss) NPC spawned in Area 05;
1	0	0	0	0	Status	All	Header	Character		character in general
1	0	0	0	0	Status	Vital	Type	Vital		vitals system / status
0	0	0	0	0	Status	Vital	HUD Setting	Vitals		HUD Setting
0	0	0	0	0	Status	Vital	Vital	Health		Vital of Health (HP)
0	0	0	0	0	Status	Vital	Vital	Energy		Vital of stamina (Hunger)
0	0	0	0	0	Status	Vital	Vital	Hydration		Vital of Thirst
0	0	0	0	0	Status	Vital	Vital	Mental		Vital of Mental health
0	0	0	0	0	Status	Vital	Vital	Body Temp		Vital of Body Temperature
0	0	0	0	0	Status	Vital	Vital	Cat		Vital of Cat (HP)
0	0	0	0	0	Status	Medical	Type	Medical Condition		
0	0	0	0	0	Status	Medical	Medical	Overweight		
0	0	0	0	0	Status	Medical	Medical	Starvation		
0	0	0	0	0	Status	Medical	Medical	Dehydration		
0	0	0	0	0	Status	Medical	Medical	Bleeding		
0	0	0	0	0	Status	Medical	Medical	Fracture		
0	0	0	0	0	Status	Medical	Medical	Burn		
0	0	0	0	0	Status	Medical	Medical	Frostbite		
0	0	0	0	0	Status	Medical	Medical	Insanity		
