WHERE	SUB	KIND	Transliteration	Transcreation	Machine translated	Confused	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments
Events	PlaceHolder	Name	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Title	Label	text	2075173674	Generalist returns to Village		Place holder text. Don't need to Translate	
Events	PlaceHolder	Type	0	0	0	0	0	ignore									Trader		Place holder text. Don't need to Translate	
Events	PlaceHolder	Description	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Description	Label	text	1534808090	"Doctor is a trader specialized in medicine and holds an improvised clinic inside abandoned school building in Area 05.

After visiting the Grandma for an ""welfare check"", Doctor returns to this clinic and is ready to provide medical services for the injured ones."		Place holder text. Don't need to Translate	
Events	/	Button	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Show	Button	text	728466319	Show			
Events	/	Day	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Day	Label	text	826758355	Day 1			
Events	/	Day	0	0	0	0	0	pattern	Scripts/Event	gd			day.text	concat		35	Day {str}			
Events	/	Day Left	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Header	Status	Label	text	1150425844	In 10 days		Place holder text. Don't need to Translate. Use Pattern instead	
Events	/	Day Left	0	0	0	0	0	pattern	Scripts/Event	gd			status.text	concat		62	In {str} Days			
Events	/	Type	0	0	0	0	0	pattern	Scripts/Event	gd			type.text	concat		37	{type} Event			
Events	/	Type	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Type	Label	text	1058335921	Trader event		I don't know why is this string use lower case (event).	
Events	/	Type	0	0	0	0	0	substr									Trader Event			
Events	/	Type	0	0	0	0	0	substr									Dynamic Event			
Events	/	Type	0	0	0	0	0	substr									Special Event			
Events	/	Type	0	0	0	0	0	substr									Dynamic			
Events	/	Type	0	0	0	0	0	substr									Special			
Events	/	Type	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content	Location	Label	text	1817711349	Event location:			
Events	/	Location	0	0	0	0	0	literal	UI/Elements/Event	tscn	UI/Elements/Event	Margin/Elements/Content/Location	Value	Label	text	1530040464	Village			
