WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments		max_length
Message	Furniture		0	literal	UI/Elements/Message	tscn	UI/Elements/Message	Panel/Margin	Info	Label	text	1343187841	✓  New Furniture Added [Catalog]				PlaceHolder	
Message	Furniture		0	substr	Scripts/Interface	gd			Loader.Message	literal		1313	New Furniture Added [Catalog]					
Message	Furniture		0	ignore	Scripts/Interface	gd			Loader.Message	literal		1471	New Furniture Added [Catalog]					
Message	Boss		0	substr	Scripts/AI	gd			Loader.Message	literal		1587	Boss Killed					
Message	Sleep		0	pattern	Scripts/Bed	gd			Loader.Message	concat		42	You slept {str} hours					
Message	Sleep		0	ignore	Scripts/Interface	gd			Loader.Message	concat		3214	You slept {str} hours					
Message	Cat		0	pattern	Scripts/CatFeeder	gd			Loader.Message	concat		46	Cat Fed ({name})					
Message	Cat		0	substr	Scripts/CatRescue	gd			Loader.Message	literal		23	Cat Rescued					
Message	Cat		0	substr	Scripts/CatRescue	gd			Loader.Message	literal		24	Cat Vital Activated					
Message	Cat		0	substr	Scripts/Character	gd			Loader.Message	literal		145	Cat Died					
Message	Helicopter		0	substr	Scripts/Helicopter	gd			Loader.Message	literal		310	You have been spotted!		 I can't find when is this message appears yet, but maybe for a helicopter			
Message	Task		0	pattern	Scripts/Trader	gd			Loader.Message	concat		172	Task Completed: {name}					
Message	Killbox		0	pattern	Scripts/Killbox	gd			Loader.Message	concat		52	Item Returned: {name}		Added at 0.1.1.3, but I can't find when is this message appears			
Message	Killbox		0	substr	Scripts/Killbox	gd			Loader.Message	literal		74	Player Returned		Added at 0.1.1.3, but I can't find when is this message appears			
Message	Killbox		0	ignore	Scripts/Killbox	gd			Loader.Message	literal		87	Player Returned		Added at 0.1.1.3, but I can't find when is this message appears			
