WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Inventory	Item/Weapon/Button	Button	0	substr	Scripts/Actions	gd			unload.text	literal		51	Unload	Décharger		#Machine Translated	
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Actions	gd			unload.text	literal		58	Unload	Décharger		#Machine Translated	
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Context	gd			unloadButton.text	literal		87	Unload	Décharger		#Machine Translated	
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Context	gd			unloadButton.text	literal		94	Unload	Décharger		#Machine Translated	
Inventory	Item/Weapon/Button	Button	0	substr	Scripts/Context	gd			unloadButton.text	literal		101	Clear Chamber	Chambre transparente		#Machine Translated	
Inventory	Item/Equipments	Button	0	substr	Scripts/Actions	gd			equip.text	literal		92	Unequip	Déséquiper		#Machine Translated	
Inventory	Item/Equipments	Button	0	substr	Scripts/Actions	gd			equip.text	literal		94	Equip	Équiper		#Machine Translated	
Inventory	Item	Button	0	pattern	Scripts/Actions	gd			take.text	concat		77	Take ({str})	Take ({str})			
Inventory	Item	Button	0	ignore	Scripts/Context	gd			takeButton.text	concat		114	Take ({str})	Take ({str})			
Inventory	Event	Button	0	substr	Scripts/Event	gd			showButton.text	literal		81	Show	Afficher		#Machine Translated	
Inventory	Event	Button	0	substr	Scripts/Event	gd			showButton.text	literal		86	Hide	Masquer		#Machine Translated	
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		57	Activated	Activé		#Machine Translated	
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		93	Not active	Inactif		#Machine Translated	
Inventory	Event	String	0	substr	Scripts/Event	gd			location.get_child(0).text	literal		42	All maps & zones	Toutes les cartes et zones		#Machine Translated	
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		98	Active	Actif		#Machine Translated	
Inventory	Recipe	Button	0	ignore	Scripts/Recipe	gd			showButton.text	literal		256	Show	Afficher		#Machine Translated	
Inventory	Recipe	Button	0	ignore	Scripts/Recipe	gd			showButton.text	literal		261	Hide	Masquer		#Machine Translated	
Inventory	Recipe	ToolTip	0	substr	Scripts/Recipe	gd			completeButton.text	literal		63	Repair	Réparation		#Machine Translated	
Inventory	Recipe	ToolTip	0	substr	Scripts/Recipe	gd			completeButton.text	literal		65	Craft	Artisanat		#Machine Translated	
Inventory	Tasks	ToolTip	0	substr	Scripts/Task	gd			addButton.text	literal		219	Added	Ajouté		#Machine Translated	
Inventory	Tasks	ToolTip	0	ignore	Scripts/Task	gd			addButton.text	literal		240	Added	Ajouté		#Machine Translated	
Inventory	Tasks	String	0	substr	Scripts/Task	gd			removeButton.text	literal		235	Remove	Supprimer		#Machine Translated	
Inventory	Tasks	String	0	substr	Scripts/Task	gd			addButton.text	literal		247	Completed	Terminé		#Machine Translated	
Inventory	Tasks	String	0	substr	Scripts/Task	gd			addButton.text	literal		254	Add to Notes	Ajouter aux notes		#Machine Translated	
Inventory	Item/Ammo	ToolTip	0	pattern	Scripts/Tooltip	gd			penetration.get_child(0).text	concat		148	Level {str}	Level {str}			
Inventory	Item/Armor	ToolTip	0	ignore	Scripts/Tooltip	gd			protection.get_child(0).text	concat		169	Level {str}	Level {str}			
