WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments		max_length
Assets	Containers/Airdrop		0	substr	Assets/Airdrop/Airdrop	tscn	Assets/Airdrop/Airdrop		Airdrop	RigidBody3D	containerName	746632342	Airdrop	Distribution aérienne		#Machine Translated		
Assets	Containers/Airdrop_Container		0	ignore	Assets/Airdrop/Airdrop_Container	tscn	Assets/Airdrop/Airdrop_Container		Container	Node3D	containerName	2117731667	Airdrop	Distribution aérienne		#Machine Translated		
Assets	Containers/Billboard_Weapons		0	substr	Assets/Tutorial/Billboards/Billboard_Weapons	tscn	Assets/Tutorial/Billboards/Billboard_Weapons	.	Crate_Military		containerName	768748623	Tutorial Crate	Tutoriel Crate		#Machine Translated		
Assets	Containers/Billboard_Weapons		0	ignore	Assets/Tutorial/Billboards/Billboard_Weapons	tscn	Assets/Tutorial/Billboards/Billboard_Weapons	.	Crate_Military_2		containerName	338289279	Tutorial Crate	Tutoriel Crate		#Machine Translated		
Assets	Containers/Billboard_Weapons		0	ignore	Assets/Tutorial/Billboards/Billboard_Weapons	tscn	Assets/Tutorial/Billboards/Billboard_Weapons	.	Crate_Special		containerName	1043332703	Tutorial Crate	Tutoriel Crate		#Machine Translated		
Assets	Containers/Billboard_Weapons		0	ignore	Assets/Tutorial/Billboards/Billboard_Weapons	tscn	Assets/Tutorial/Billboards/Billboard_Weapons	.	Crate_Special_2		containerName	1992722119	Tutorial Crate	Tutoriel Crate		#Machine Translated		
Assets	Containers/Crate_Wood_Tutorial		0	ignore	Assets/Crate_Wood/Crate_Wood_Tutorial	tscn	Assets/Crate_Wood/Crate_Wood_Tutorial		Crate_Wood_Tutorial	Node3D	containerName	238444265	Tutorial Crate	Tutoriel Crate		#Machine Translated		
Assets	Containers/Box_Electric		0	substr	Assets/Box_Electric/Box_Electric	tscn	Assets/Box_Electric/Box_Electric		Box_Electric	Node3D	containerName	2095355101	Electric Box	Boîtier électrique		#Machine Translated		
Assets	Containers/Cabinet_Medical		0	substr	Assets/Cabinet_Medical/Cabinet_Medical	tscn	Assets/Cabinet_Medical/Cabinet_Medical		Cabinet_Medical	Node3D	containerName	1146557850	Medical Cabinet	Armoire à pharmacie		#Machine Translated		
Assets	Containers/Cabinet_Medical_F		0	ignore	Assets/Cabinet_Medical/Cabinet_Medical_F	tscn	Assets/Cabinet_Medical/Cabinet_Medical_F		Cabinet_Medical_F	Node3D	containerName	2092602420	Medical Cabinet	Armoire à pharmacie		#Machine Translated		
Assets	Containers/Cabinet_Office		0	substr	Assets/Cabinet_Office/Cabinet_Office	tscn	Assets/Cabinet_Office/Cabinet_Office		Cabinet_Office	Node3D	containerName	1131051434	Office Cabinet	Armoire de bureau		#Machine Translated		
Assets	Containers/Cabinet_Office_F		0	ignore	Assets/Cabinet_Office/Cabinet_Office_F	tscn	Assets/Cabinet_Office/Cabinet_Office_F		Cabinet_Office_F	Node3D	containerName	1131051434	Office Cabinet	Armoire de bureau		#Machine Translated		
Assets	Containers/Cabinet_Wood		0	substr	Assets/Cabinet_Wood/Cabinet_Wood	tscn	Assets/Cabinet_Wood/Cabinet_Wood		Cabinet_Wood	Node3D	containerName	1150379286	Cabinet	Armoire		#Machine Translated		
Assets	Containers/Cabinet_Wood_F		0	ignore	Assets/Cabinet_Wood/Cabinet_Wood_F	tscn	Assets/Cabinet_Wood/Cabinet_Wood_F		Cabinet_Wood_F	Node3D	containerName	403792679	Cabinet	Armoire		#Machine Translated		
Assets	Containers/AI_Container		0	substr	AI/Tools/AI_Container	tscn	AI/Tools/AI_Container		AI_Container	Node3D	containerName	699732925	Corpse	Cadavre		#Machine Translated		
Assets	Containers/Corpse_Bandit_Flat_A		0	substr	Assets/Corpse/Corpse_Bandit_Flat_A	tscn	Assets/Corpse/Corpse_Bandit_Flat_A		Corpse_Bandit_Flat_A	Node3D	containerName	1686496210	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Flat_B		0	ignore	Assets/Corpse/Corpse_Bandit_Flat_B	tscn	Assets/Corpse/Corpse_Bandit_Flat_B		Corpse_Bandit_Flat_B	Node3D	containerName	1269584548	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Flat_C		0	ignore	Assets/Corpse/Corpse_Bandit_Flat_C	tscn	Assets/Corpse/Corpse_Bandit_Flat_C		Corpse_Bandit_Flat_C	Node3D	containerName	1419056794	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Ledge_A		0	ignore	Assets/Corpse/Corpse_Bandit_Ledge_A	tscn	Assets/Corpse/Corpse_Bandit_Ledge_A		Corpse_Bandit_Ledge_A	Node3D	containerName	529336843	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Ledge_B		0	ignore	Assets/Corpse/Corpse_Bandit_Ledge_B	tscn	Assets/Corpse/Corpse_Bandit_Ledge_B		Corpse_Bandit_Ledge_B	Node3D	containerName	686653855	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Ledge_C		0	ignore	Assets/Corpse/Corpse_Bandit_Ledge_C	tscn	Assets/Corpse/Corpse_Bandit_Ledge_C		Corpse_Bandit_Ledge_C	Node3D	containerName	64577995	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Wall_A		0	ignore	Assets/Corpse/Corpse_Bandit_Wall_A	tscn	Assets/Corpse/Corpse_Bandit_Wall_A		Corpse_Bandit_Wall_A	Node3D	containerName	785157205	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Wall_B		0	ignore	Assets/Corpse/Corpse_Bandit_Wall_B	tscn	Assets/Corpse/Corpse_Bandit_Wall_B		Corpse_Bandit_Wall_B	Node3D	containerName	688220610	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Corpse_Bandit_Wall_C		0	ignore	Assets/Corpse/Corpse_Bandit_Wall_C	tscn	Assets/Corpse/Corpse_Bandit_Wall_C		Corpse_Bandit_Wall_C	Node3D	containerName	1035032452	Bandit Corpse	Cadavre de bandit		#Machine Translated		
Assets	Containers/Crate_Military		0	substr	Assets/Crate_Military/Crate_Military	tscn	Assets/Crate_Military/Crate_Military		Crate_Military	Node3D	containerName	768748623	Crate Military	Crate Military		#Machine Translated		
Assets	Containers/Crate_Military_F		0	ignore	Assets/Crate_Military/Crate_Military_F	tscn	Assets/Crate_Military/Crate_Military_F		Crate_Military_F	Node3D	containerName	824422604	Crate Military	Crate Military		#Machine Translated		
Assets	Containers/Crate_Special		0	substr	Assets/Crate_Special/Crate_Special	tscn	Assets/Crate_Special/Crate_Special		Crate_Special	Node3D	containerName	492335792	Crate Special	Offre spéciale sur les caisses		#Machine Translated		
Assets	Containers/Crate_Special_F		0	ignore	Assets/Crate_Special/Crate_Special_F	tscn	Assets/Crate_Special/Crate_Special_F		Crate_Special_F	Node3D	containerName	887499979	Crate Special	Offre spéciale sur les caisses		#Machine Translated		
Assets	Containers/Crate_Wood		0	substr	Assets/Crate_Wood/Crate_Wood	tscn	Assets/Crate_Wood/Crate_Wood		Crate_Wood	Node3D	containerName	1173126166	Wooden Crate	Caisse en bois		#Machine Translated		
Assets	Containers/Crate_Wood_Covered_B		0	ignore	Assets/Crate_Wood/Crate_Wood_Covered_B	tscn	Assets/Crate_Wood/Crate_Wood_Covered_B		Crate_Wood_Covered_B	Node3D	containerName	1131964192	Wooden Crate	Caisse en bois		#Machine Translated		
Assets	Containers/Crate_Wood_Covered_A		0	ignore	Assets/Crate_Wood/Crate_Wood_Covered_A	tscn	Assets/Crate_Wood/Crate_Wood_Covered_A		Crate_Wood_Covered_A	Node3D	containerName	1454109832	Wooden Crate	Caisse en bois		#Machine Translated		
Assets	Containers/Debris_Garbage_Corner_A		0	substr	Assets/Debris/Garbage/Debris_Garbage_Corner_A	tscn	Assets/Debris/Garbage/Debris_Garbage_Corner_A		Debris_Garbage_Corner_A	Node3D	containerName	858191461	Garbage	Déchets		#Machine Translated		
