WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	Kompatibilität	Text that notice user is running the game as 'Compatibility Mode'	
Main_Menu	Compatibility		0	substr									Compatibility	2032	Kompatibilität		
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility				
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility				
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	Neues Spiel		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	Spiel laden		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	Anleitung		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	Einstellungen		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	Fahrplan		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	Über		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	Beenden		
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	Änderungsprotokoll		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	Aus		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	Am		
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	Hardware-Prüfung		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	Aus		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	Am		
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	Intro ansehen		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	Aus		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	Am		
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	Menü Musik		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	Aus		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	Am		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	„Road to Vostok ®“ ist eine eingetragene Marke der Road to Vostok Ltd. Alle Rechte vorbehalten © 2026		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	Version: 0.1.1.3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."	
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	Änderungsprotokoll		
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"Folgende Änderungen wurden vorgenommen:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build-Name: Road – Build 1
Build-Version: 0.1.1.3
Build-Typ: Release
----------------------------------------
Hotfix [0.1.1.3]
[BEHOBEN] Kontextaktionen konnten zum Tod führen, wenn die Benutzeroberfläche im selben Frame geschlossen wurde (Kontext verwenden)
[BEHOBEN] Kontextaktionen konnten Gegenstände beschädigen, wenn die Benutzeroberfläche im selben Frame geschlossen wurde (Kontext entladen)
[BEHOBEN] Kontextaktionen konnten Möbel beschädigen, wenn die Benutzeroberfläche im selben Frame geschlossen wurde (Kontext platzieren)
----------------------------------------
[HINZUGEFÜGT] Startoption „Kompatibilität“ für Hardwareprobleme
[HINZUGEFÜGT] Erhöhter Pufferspeicher für GPU-Stalls/Timeouts
[HINZUGEFÜGT] Verteilung der CPU-Auslastung beim Laden einer Karte
[HINZUGEFÜGT] Engine-Version aus Stabilitätsgründen auf Godot 4.6.2 umgestellt
[HINZUGEFÜGT] SMAA-Anti-Aliasing-Option hinzugefügt (Einstellungen)
[HINZUGEFÜGT] Bildschärfe-Shader aus Stabilitätsgründen überarbeitet (Einstellungen)
[HINZUGEFÜGT] Das Zerstören von Möbeln nutzt eine Sicherheitsvorkehrung (LMB gedrückt halten) gegen Fehlklicks
[HINZUGEFÜGT] Luftabwürfe verwenden grüne Chemielichter für Sichtbarkeit bei Nacht
[HINZUGEFÜGT] Luftabwürfe unterstützen nun variable Beutetabellen [x3]
[HINZUGEFÜGT] Punisher unterstützt nun variable Beutetabellen [x3]
[HINZUGEFÜGT] Punisher-Beutetabellen wurden mit mehr Gegenständen verbessert
[HINZUGEFÜGT] Die Chance auf Beute von getöteten KI-Leichen wurde erhöht [25 % -> 75 %]
[HINZUGEFÜGT] Zusätzliche industrielle Beute-Spawns [Ölfilter]
[HINZUGEFÜGT] Das Terminal verfügt über mehr Spezialkisten und Beute-Spawns
[HINZUGEFÜGT] Spezialkisten können nun auch legendäre Gegenstände enthalten
[HINZUGEFÜGT] Neuer Gegenstand: Kaugummi
----------------------------------------
[BEHOBEN] Flackernde Lichter/Schatten in Schutzräumen und Händlerbereichen
[BEHOBEN] Das aktive Kontextmenü konnte beim Schließen der Benutzeroberfläche einfrieren
[BEHOBEN] Ein eingefrorenes Kontextmenü konnte zu beschädigten/schwebenden Gegenständen führen
[BEHOBEN] Die Rückgabe von Gegenständen im Schutzraum während der Verwendung von Gegenständen konnte zum Tod führen
[BEHOBEN] Patronen leuchteten bei der Munitionsprüfung bei schlechten Lichtverhältnissen
[BEHOBEN] Die KI konnte durch Kollisionskörper von Luftabwürfen navigieren/angreifen
[BEHOBEN] Die KI konnte durch Kollisionskörper von Hubschrauberabstürzen navigieren/angreifen
[BEHOBEN] Die KI konnte an Kollisionskörpern von Hubschrauberabstürzen hängen bleiben
[BEHOBEN] Der blockierte Autobahntunnel konnte ohne Schlüssel ausgenutzt werden
[BEHOBEN] Zufällige Spawn-Punkte für „Darkness“/„Ironman“ wurden zum Übergang (Schule/Autobahn) teleportiert
[BEHOBEN] Unstimmigkeiten bei der Schussgenauigkeit der KI und Fehlberechnungen
[BEHOBEN] Der Controller konnte an einem Gebäude im Dorf (Toilettentür) hängen bleiben
[BEHOBEN] Der Controller konnte an einem Traktor im Dorf (Scheune)
[BEHOBEN] Controller konnte an der Dorfgarage (Pappkartons) hängen bleiben
[BEHOBEN] Controller konnte am Schulgebäude (Handelstisch) hängen bleiben
[BEHOBEN] Controller konnte am Schulgebäude (mehrere Stühle) hängen bleiben
[BEHOBEN] Controller konnte am Autobahnmarkt (Regallücken) hängen bleiben
[BEHOBEN] Controller konnte am Autobahnmarkt (Einkaufswagen) hängen bleiben
[BEHOBEN] Der Controller konnte an den Treppen der Wohnungen hängen bleiben (Leichenkopf)
[BEHOBEN] Der Controller konnte an den Rampen des Terminals hängen bleiben (Bahnhofsgelände)
[BEHOBEN] Der Militär-BTR konnte bei hoher Geschwindigkeit im Kreis fahren und dabei stecken bleiben
[BEHOBEN] Die improvisierte Schiene heilte den Zustand „Fraktur“ nicht
[BEHOBEN] Der Arzt verkaufte eigene Aufgaben-Gegenstände [Antiseptikum]
[BEHOBEN] Der Büchsenmacher verkaufte eigene Questgegenstände [Skrama 200]
[BEHOBEN] Die Option „MSAA 8x“ wurde nicht in den Einstellungen gespeichert
[BEHOBEN] Die Kisten im Tutorial enthielten keine M78-Magazine
----------------------------------------
[GEÄNDERT] Wahrscheinlichkeit für kritischen Gesundheitszustand [Ruptur] gesenkt [5 % -> 3 %]
[GEÄNDERT] Wahrscheinlichkeit für kritischen Gesundheitszustand [Kopfschuss] gesenkt [5 % -> 3 %]
[GEÄNDERT] Geschwindigkeit des Flüssigkeitsverlusts des Charakters um [10 %] verlangsamt
[GEÄNDERT] Geschwindigkeit des mentalen Verfalls des Charakters um [10 %] verlangsamt
[GEÄNDERT] Die Abnahme der Lebenswerte der Katze wurde um [20 %] verlangsamt
[GEÄNDERT] Die Katze miaut und macht seltener Geräusche
[GEÄNDERT] Die Stimmen des Händlers (Start/Ende/Leerlauf) werden seltener aktiviert
[GEÄNDERT] Die Optionen für die Render-Auflösung wurden auf „Niedrig/Nativ“ geändert (weniger Verwirrung)
[GEÄNDERT] Gefallene Gegenstände werden vor dem Spieler statt im Inventar (Unterschlupf) abgelegt
----------------------------------------
[ENTFERNT] Alle Verweise auf AMD FSR von Drittanbietern/veraltete AMD FSR-Verweise aus Stabilitätsgründen
----------------------------------------"		
