Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	DESCRIPTION	max_length
AI			ignore			\AI\Bandit\Files	TX_Bandit_01_AL.png	4967228	5862a2f156788c9860059ff64095fa5248619f74d576a5f57b41ba49f3400357						
AI			ignore			\AI\Bandit\Files	TX_Bandit_02_AL.png	5141638	2b5001a8b0a2e16f49d2f39258447cab78c706abaeff105837f67c5ae4e5ae03						
AI			ignore			\AI\Bandit\Files	TX_Bandit_03_AL.png	4564615	238d90b8c4144d0e20664198276355d133fee2842611b145beae231617f253b6						
AI			ignore			\AI\Bandit\Files	TX_Bandit_04_AL.png	4354919	9851c7fd2d718e917242a36459757af6eee8182f730e62ec1cc147abfb238043						
AI			ignore			\AI\Bandit\Files	TX_Bandit_NR.png	7521321	1ce2d83e5008725c880bfa26c11e3b297c8a0c2ae45fbf43d9a735f46c835fee						
AI			ignore			\AI\Guard\Files	TX_Guard_AL.png	4142479	c7872252d71d498cba582999bfb775f8bd04f9cbfb3e4841f8bbbe2a22d09a7c						
AI			ignore			\AI\Guard\Files	TX_Guard_NR.png	5038103	76f7bf6715a93a770b501ed7ff2d29a31d8324fd298b25aed4ea379b3ff2cd3b						
AI			ignore			\AI\Military\Files	TX_Military_AL.png	5125712	f4bfeae0260e6effa7a5bef9d6502bc442899527a11f65fc7083619ae7ce1fb8						
AI			ignore			\AI\Military\Files	TX_Military_NR.png	5971684	2be8da3e94cf796c88e5e671b52ce91a9f2d3213b6fe860ad131e6b5d191b985						
AI			ignore			\AI\Punisher\Files	TX_Punisher_AL.png	4609438	437ec918a800195a7777cddaf892e95cb602af0b2f32db828b6cd063baa32b09						
AI			ignore			\AI\Punisher\Files	TX_Punisher_NR.png	5592379	4f4e49a950f2e385fb0ff89a14839ab2f9f5002243ce71985e0ec9d646d31491						
			ignore			\Editor	RTV_Background.png	3470561	3682b7700e1032e7e4b4efddd125a312d98e31a07e44d5e9468fa459ec70ea56					Reason for ignoring: Text unreadable in-game	
			ignore			\Editor	RTV_Icon.png	96463	8f2b9308aa1795a1fb6cc9dfdf7d9afa019c7acd686f15e18e23a53849fcea9e						
			ignore			\Editor	RTV_Loading.png	1755080	434ba08112a6f2338d1a336aa81c625b6557f52489ada0dd43ea69fd310dddd4						
			ignore			\Editor	RTV_Logo.png	34174	94eb47769ab4d3f1333aa8690e096870ac8f4f95822b1938e5bd15bfb2f1b2b5					Reson for ignoring: Title of the game	
			ignore			\Editor	RTV_Splash.png	3477553	fa6bcc80fb243d90bd92330b2f01c82d0a04d7d8385a65bed847236e9e2dce59						
			ignore			\Effects\Files	TX_Campfire.png	3092343	355a7dd8f366ae070b71c7ac2489151c295666cc56f642334ac0372bb2880926						
