Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	identifier	Reworked by	Contributors	Attribution	DESCRIPTION	max_length
Tutorial	Billboard	1. Settings	replace	"1. Settings

Welcome to Road to Vostok Tutorial

This Tutorial will guide you through the most
important game mechanics and controls

Let's start with settings

You can access Settings with [ESC]

Through these settings you can change inputs,
different system values and performance options

?? = Performance options"	"1. Játékbeállítások

Üdvözlünk a Road to Vostok oktatóanyagában!

Ebben az oktatóanyagban végigvezetünk a
legfontosabb irányításokon és játékmechanikákon.

Először nézzük meg a beállításokat.

A beállításokat az [ESC] billentyű megnyomásával érheti el.

A beállításokban módosíthatja a beviteli módot, a
különféle rendszerváltókat és a teljesítménybeállításokat.

?? = Teljesítménnyel kapcsolatos opciók"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Settings.png	97428	178dd2be533d477e3d81e7b729e86ae16e87f8e0cd32e2643a019812c3335afc	428					
Tutorial	Billboard	2. Interface	replace	"2. Interface

Interface is your main UI which contains elements
such as inventory, equipment, vitals and stats

You can access Interfae with [TAB]

If you want more information about an item, icon
or specific value, you can use Tooltip

Try Tooltip by opening Interface
and point the character health value"	"2. Felület

A felhasználói felület a fő felhasználói felület,
amely olyan elemeket tartalmaz, mint a leltár,
a felszerelés, az állapot és a statisztikák.

A felületet a [TAB] billentyű megnyomásával érheti el.

Ha részletes információkat szeretne kapni az
elemekről, ikonokról vagy adott értékekről,
az eszköztippek segítségével ellenőrizheti azokat.

Nyisd meg a felületet, és vidd az egérmutatót a
karakter állapotértéke fölé az eszköztipp megjelenítéséhez."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Interface.png	90866	3471fa6ac1e234e4ad0c5ed3658d3e07c259d383bc43d3791929da436303ee37	430					
Tutorial	Billboard	3. Loot & Items	replace	"3. Loot & Items

All objects that logically have storage space are 
interactable loot containers

Loot is generated to these containers and items 
are also physically scattered to the game world


You can open, pick and interact with [MMB]

When you have items available in Interface, you can 
choose item actions with Context Menu [RMB]

Open container and try Context Menu with items"	"3. Loot & Items

Minden tárolóhellyel rendelkező tárgy
interaktív zsákmányládák.

A zsákmány ezekben a ládákban keletkezik, és a tárgyak
fizikailag szétszórva vannak a világban (a földön stb.).

Nyomd meg az [egér görgő gombját] dobozok
kinyitásához, tárgyak felvételéhez vagy interakcióhoz.

Amikor egy tárgy megjelenik a felületen, a [Jobb egérgomb]
megnyomásával kiválaszthatja a tárgyhoz kapcsolódó műveleteket, 
például a használatot, a megszerzést vagy a felszerelést.

Nyisd ki a dobozt, és használd vagy szerezd meg a tárgyat."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Items.png	109793	675413455a413a690133e1579f09997829d5fa6a9bdff93322a333f9bf4af28a	432					
Tutorial	Billboard	4. Equipment	replace	"4. Equipment

Equipment are dedicated items slots 
and linked to several important character stats

Equipment can increase your Carry Capacity [CC] 
and give you abilities like flashlight and fire making


You can find equipment slots in Interface
You can activate equipment slots by 
moving compatible items to them

Open container and try equipping items"	"4. Berendezés

A Felszerelés egy erre a célra szolgáló helyen található
tárgy, amely különféle fontos karakterstatisztikákkal
van társítva.

A felszerelés viselése növeli a hordozási limit [CC], vagy
lehetővé teszi olyan funkciók használatát, mint a zseblámpák és a tűzgyújtás.

A berendezéshelyeket a felületen lehet ellenőrizni.

A felszerelés használatához egy kompatibilis
tárgyat kell elhelyezni az egyes felszerelési helyekre.

Nyisd ki a tartályt, és próbáld meg felszerelni a tárgyat."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Equipment.png	103322	63cc2673b82a91bc1e9ecb0220e431379f9e965d1e99736684edda3191175fd9	434					
Tutorial	Billboard	5. Medical & Conditions	replace	"5. Medical & Conditions

Medical system is based on conditions that 
negatively affect your character's vital stats

These conditions are presented as medical icons 
and you can find them in Interface and HUD


When a medical icon turns red, the condition is 
active and needs to be cured using a medical item

You can see causes, symptoms and cures with Tooltip

Open container and try using some medical items"	"5. Orvosi és állapotok

Az orvosi rendszer olyan állapotokon
alapul, amelyek negatívan befolyásolják
a karakter statisztikáit.

Ezeket az állapotokat orvosi ikonok jelzik, és
ellenőrizheti a kezelőfelületet és a HUD-ot.

Ha az orvosi ikon pirosra vált, az azt jelenti, hogy az állapot aktív és
negatív hatással bír, ezért orvosi eszközt kell használnod a kezelésére.

Az eszköztipp segítségével ellenőrizheti az okot, a tüneteket és a kezelést.

Nyisd ki a dobozt, és próbáld meg használni az orvosi eszközt."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Medical.png	114610	29640b5b62915aa772eb0feb9865b1632266528fed3282921c25a3a67f523fbf	436					
Tutorial	Billboard	6. Weapons	replace	"6. Weapons

Weapons are equipment and they use 
Primary, Secondary, Knife and Grenade slots

When a weapon is equipped you can draw 
and holster from slots with keys [1] [2] [3] [4] [5]


Every firearm can use Primary slot but only 
pistols and SMG's can utilize Secondary slot

Open container, equip a weapon and draw it
| [RMB] = Aim (ADS) | [F] = Firemode |
| [MMB] = Canted aim | [X]=Inspect weapon |
| [SCROLL] = Weapon position | [SCROLL] = Inspect rotation |"	"6. Fegyvertárgy

A fegyverek olyan felszerelések,
amelyek elsődleges fegyver, másodlagos fegyver, 
kés és gránát nyílásokat használnak.

Amikor fegyvert szerelsz fel, az [1] [2] [3] [4] [5] billentyűkkel
tarthatod vagy veheted a kezedbe a fegyvert a nyílásból.

Minden lőfegyver használhatja az elsődleges fegyvernyílást,
de csak a pisztolyok és géppisztolyok a másodlagos fegyvernyílást.

Nyisd ki a dobozt, szereld fel a fegyvert, majd vedd fel.

[Jobb kattintás] = Célzás (ADS)
[Görgőgomb] = Célzáshoz
[Görgetés] = Fegyver helye

[F] = Tüzelési mód váltása (egylövéses automata)
[X] = Fegyvervizsga
[X] + [Görgetés] = Fegyverforgatás"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Weapons.png	120113	501bb46461dbe98d0da71d9cb65f92a724e9720388ce255d36a4a1e84b8bb2ed	438					
Tutorial	Billboard	7. Ammo & Magazines	replace	"7. Ammo & Magazines

Weapon system uses seperated magazines
and caliber-based ammo types

You can load a magazine by moving a compatible
ammo type to the magazine with Interface

You can unload a magazine with Context Menu [RMB]

Magazines can be attached to weapons manually
or with [R] which fetches a loaded magazine for you

Open container, use Tooltip to identify the ammo
and magazine compatibility, Load -> Attach -> Fire

[LMB] = Fire [V] = ammo check [CTRL] -> [LMB] = Bullet insert (Bolts & Shotguns)"	"7. Lőszerek és folyóiratok

A fegyverrendszerek a fegyvertől függően különböző
kaliberű lőszert és tárakat igényelnek.
(pl. a PM5 géppisztoly PM5 tárakat és 9x19 kaliberű lőszert használ.)

Kompatibilis lőszert tölthetsz a tárba és újratöltheted
a fegyvert az interfészen keresztül.

A tárra vagy a fegyverre [Jobb gombbal]
kattintva eltávolíthatod a lőszert a tárból vagy a kamrából.

A tár manuálisan is betölthető, vagy az [R] billentyű
megnyomásával töltheti (újratöltheti) a tárat.

Nyiss ki egy dobozt vagy felszerelést, ellenőrizd a lőszer és
a tárak kompatibilitását a tooltip segítségével, majd töltsd meg
és szereld fel → tüzelj.

[Bal klikk] = Tüzelés,         [V] = Lőszer hiányának ellenőrzése, 
[CTRL] → [LMB] = Lőszer betöltése (zárás és sörétes puskával)"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Ammo.png	136812	9b83d174446ee3d6c286194c33deddd36239f3dc25deec2d77a26e60b58ff3d4	440					
Tutorial	Billboard	8. Attachments	replace	"8. Attachements

You can customize weapons by attaching 
suppressors, optics and lasers to them

You can add/swap attachments like magazines 
with Interface and remove using Context Menu


Open container, use Tooltip or item hover colors to 
identify attachment compatibility and try customizing
[HOLD CTRL] + [SCROLL] = Optic rail position
[SCROLL] = LPVO zoom level
[ALT] = Secondary optic
[T] = Laser toggle"	"8. Fegyvertartozékok

Testreszabhatod a fegyvereket hangtompítók,
távcsövek, lézerek és egyebek hozzáadásával.

A felületen keresztül hozzáadhatsz vagy kicserélhetsz kiegészítőket,
például tárakat, és eltávolíthatod őket a fegyverre
[Jobb gombbal] kattintva.

A kompatibilitást a doboz kinyitásával és az eszköztipp megtekintésével,
vagy a tartozékok fegyverre húzásával ellenőrizheted.

Nyisd ki a dobozt, vedd ki a tartozékokat, és szabd testre a fegyveredet.

[CTRL] + [Görgés] = Scope sin pozíciójának módosítása
[Görgés] = LPVO nagyítási szint módosítása
[ALT] = Másodlagos látómező engedélyezése/letiltása
[T] = Lézer aktiválása/deaktiválása"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Attachments.png	111354	ab59b8fe1bebc497a8108a0558837c9de63e625fb2613d45e62ee987a7d9f01f	442					
Tutorial	Billboard	9. Knives & Grenades	replace	"9. Knives & Grenades

When a knife is equipped, you can draw it with key [3]

You can use slash attack with [LMB] 
and stab attack with [RMB]


You have two grenades slots and you can draw 
grenades with keys [4] and [5]

You can prepare high throw with [LMB] 
and low throw with [RMB]

Second press executes and opposite button resets the throw"	"9. Kés és gránát

Ha felszereled a kést, akkor [3] kulccsal foghatod a kezedben.

A [Bal kattintás] gombbal lesújtasz, a
[Jobb kattintás] gombbal pedig döfő támadást hajthatsz végre.

Két gránátnyílás található rajta, 
melyeket a [4] és [5] billentyűkkel lehet kézben tartani.

A [Bal kattintás] gombbal magasra,
a [Jobb kattintás] gombbal pedig alacsonyra dobhatsz.

Nyomd meg kétszer a gránát dobásához, majd az ellenkező gombot a dobási készenlét visszaállításához."	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Grenades.png	107848	e5148a4c72c630ea886949ddf014d8bd89b3f7fd8cc145998fa0ddc81329d29f	444					
Tutorial	Billboard	10. Armor	replace	"10. Armor

Armor system is based on NIJ-rated (II-IV)
helmets, armor plates, and plate carriers (rigs)

Armor protection level is directly linked
to ammo/weapon penetration level which
both can be checked using Tooltip


Open container, equip helmet and plate carrier and
try attaching armor plate to the rig like attachments

|NIJ II = Level 1| 1. If protection matches penetration, armor can take 3-4 shots|
|NIJ IIA = Level2| 2. Each hit reduces armor condition, armor breaks at 0%|
|NIJ III = Level 3| 3. Higher lever penetration breaks the armor immediately|
|NIJ III+ = Level 4| 4. Helmets prevent critical medical condition Headshot|
|NIJ IV = Level 5| 5. Armor plates prevent critical medical condition Rupture|"	"10. Páncéltárgy

A páncélrendszer NIJ osztályú (II–IV)
sisakokon, ballisztikus lemezeken és
lemezhordozókon (mellényeken) alapul.

A páncélzat védelmi szintje közvetlenül összefügg
a lőszer/fegyver átütőerejével, és eszköztippek
segítségével ellenőrizhető.

Miután kinyitottad a dobozt és felszerelted a sisakot és
a plate carriert, próbáld meg rögzíteni a ballisztikus lemezeket
a mellényhez, akárcsak a fegyver tartozékait.

|NIJ II = 1. szint | 3–4 lövést bír ki, ha a védelmi szint és az átütőerő azonos.|
|NIJ IIA = 2. szint | A védelem csökken találat esetén, a páncél megszakad, amikor eléri a 0%-ot.|
|NIJ III = 3. szint | Ha az átütőerő nagyobb, a páncél azonnal megsemmisül.|
|NIJ III+ = 4. szint | A sisak megvédi a halálos sérüléseket (fejlövéseket).|
|NIJ IV = 5. szint | A golyóálló lemezek megakadályozzák a halálos sérüléseket (szakadások).|"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Armor.png	142342	34e1fed9502c316d573a33416794aa3b9ff8b50fa1ef551fa9d3b5aa70cd7e4b	446					
