WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	Kompatibilitás	Text that notice user is running the game as 'Compatibility Mode'	
Main_Menu	Compatibility		0	substr									Compatibility	2032	Kompatibilitás		
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility				
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility				
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	Új játék		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	Játék betöltése		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	Kiképzés		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	"Beállítások
"		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	"Ütemterv
"		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	"Névjegy
"		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	"Kilépés
"		
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	Változások		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	"Ki
"		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	"Be
"		
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	Hardver ellenőrzése		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	"Ki
"		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	"Be
"		
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	Bevezető megtekintése		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	"Ki
"		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	"Be
"		
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	Menüzene		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	"Ki
"		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	"Be
"		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	A Road to Vostok ® a Road to Vostok Ltd. bejegyzett védjegye. Minden jog fenntartva © 2026		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	Verzió: 0,1,1,3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."	
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	Változások		
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"A következő változások történtek:
Korai hozzáférés [0.1.0.0] -> Korai hozzáférés [0.1.1.3]
----------------------------------------
Build név: Road - Build 1
Build verzió: 0.1.1.3"	CHANGELOG for RTV	
