WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Weapon	Weapon	String	0	literal	UI/HUD	tscn	UI/HUD	Malfunction	Label	Label	text	1954678705	Weapon Jammed | Press [Reload]	2924	Fegyver meghibásodott | Nyomja meg a gombot[Újratöltés]		
Weapon	Weapon	Number	1	literal	UI/HUD	tscn	UI/HUD	Magazine/Panel	Count	Label	text	1565790634	0				
Weapon	Weapon	Number	1	literal	UI/HUD	tscn	UI/HUD	Chamber/Panel	Count	Label	text	343236737	0				
Interaction	/	String	0	literal	UI/HUD	tscn	UI/HUD	Tooltip	Label	Label	text	35341605	Interaction	2926	Kölcsönhatás		
Interaction	Fire	String	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		87	Fire [Ignite]	2928	Tűz [Megyújtás]		
Interaction	Fire	String	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		89	Fire [Matches not equipped]	2930	Tűz [Nincs gyufa]		
Interaction	Fire	String	0	literal	Scripts/Fire	gd			gameData.tooltip	literal		93	Fire [Extinguish]	2932	Tűz [eloltás]		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Switch	Label	text	566327047	[RMB] = Rotation Mode	2934	[RMB] = Forgatás		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Add	Label	text	1516803336	[MMB] = Add to Catalog	2936	[MMB] = Hozzáadás a katalógushoz		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Catalog	Label	text	945705906	[TAB] = Furniture Catalog	2938	[TAB] = Bútor katalógus		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Close	Label	text	299252101	[F1] = Close Decor Mode	2940	[F1] = Dekorációs mód bezárása		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements/Header	Label	Label	text	865843283	Decor Mode	2942	Dekorációs mód		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Place	Label	text	1770403458	[G] = Place Furniture	2944	[G] = Bútor elhelyezése		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Scroll	Label	text	431027796	[SCROLL] = Adjust / Rotate	2946	[SCROLL] = Beállítás / Forgatás		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Decor/Margin/Elements	Magnet	Label	text	813263933	[LMB] = Surface Magnet	2948	[LMB] = Felületi mágnes		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements/Header	Label	Label	text	1550753811	Item Placement	2950	Tárgyak elhelyezése		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Place	Label	text	652634587	[G] = Grab / Drop Item	2952	[G] = Tárgy felvétele / letétele		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Scroll	Label	text	734941771	[SCROLL] = Adjust / Rotate	2954	[SCROLL] = Beállítás / Forgatás		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Switch	Label	text	1302393483	[RMB] = Rotation Mode	2956	[RMB] = Forgatás		
Interaction	Placement	String	0	literal	UI/HUD	tscn	UI/HUD	Placement/Margin/Elements	Orientation	Label	text	14073674	[MMB] = Change Orientation	2958	[MMB] = Tájolás módosítása		
Transition	Transition	String	0	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Header	Destination	Label	text	1760777710	Village	2960	Falu		
Transition	Transition	String	0	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Header	Zone	Label	text	1044890688	Area 05	2962	Körzet 05		
Transition	Transition	Number	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Time	Value	Label	text	1758081540	+4h			Value(Integer) about the cost of Transition. Untranslatable.	
Transition	Transition	Number	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Energy	Value	Label	text	1436272038	-8			Value(Integer) about the cost of Transition. Untranslatable.	
Transition	Transition	Number	1	literal	UI/HUD	tscn	UI/HUD	Transition/Elements/Cost/Hydration	Value	Label	text	1947628226	-16			Value(Integer) about the cost of Transition. Untranslatable.	
