WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu		
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu		
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	互換性	Text that notice user is running the game as 'Compatibility Mode'		
Main_Menu	Compatibility		0	substr									Compatibility	2032	互換性			
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility					
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility					
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	新作ゲーム			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	ゲームを読み込む			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	チュートリアル			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	設定			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	ロードマップ			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	概要			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	終了			
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	変更履歴			
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	オフ			
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	について			
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	ハードウェアの確認			
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	オフ			
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	について			
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	イントロを見る			
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	オフ			
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	について			
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	メニュー 音楽			
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	オフ			
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	について			
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	「Road to Vostok ®」はRoad to Vostok Ltd.の登録商標です。無断転載を禁じます © 2026			
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	バージョン: 0.1.1.3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."		
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	変更履歴			
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"以下の変更が実施されました：
早期アクセス [0.1.0.0] → 早期アクセス [0.1.1.3]
----------------------------------------
ビルド名: Road - Build 1
ビルドバージョン: 0.1.1.3
ビルドタイプ: リリース
----------------------------------------
ホットフィックス [0.1.1.3]
[修正] コンテキストアクションの実行中にインターフェースを閉じた場合、死亡することがあった問題を修正 (コンテキスト使用)
[修正] 同じフレームでインターフェースを閉じた際、コンテキストアクションによりアイテムが破損する問題 (コンテキストアンロード)
[修正] 同じフレームでインターフェースを閉じた際、コンテキストアクションにより家具が破損する問題 (コンテキスト配置)
----------------------------------------
[追加] ハードウェアの問題に対する互換性起動オプション
[追加] GPUのストール/タイムアウトに対するバッファメモリの増量
[追加] マップ読み込み時のCPU負荷分散
[追加] 安定性向上のため、エンジンバージョンをGodot 4.6.2に変更
[追加] SMAAアンチエイリアシングオプションを追加（設定）
[追加] 安定性向上のため、画像シャープネスシェーダーを再実装 (設定)
[追加] 家具の破壊時に誤クリック防止のためセーフガード（左クリック長押し）を導入
[追加] 夜間でも視認できるよう、エアドロップに緑色のケミライトを使用
[追加] エアドロップが可変戦利品テーブルに対応 [x3]
[追加] パニッシャーが可変戦利品テーブルに対応 [x3]
[追加] パニッシャーの戦利品テーブルを改善し、アイテム数を増加
[追加] 倒したAIの死体からアイテムを入手できる確率を増加 [25%→75%]
[追加] 工業系アイテムのスポーンを追加 [オイルフィルター]
[追加] ターミナルに特殊なクレートとアイテムのスポーンを追加
[追加] 特殊なクレートからレジェンダリーアイテムも入手可能に
[追加] 新アイテム：チューインガム
----------------------------------------
[修正] シェルターおよびトレーダーエリアでの光や影のちらつき
[修正] インターフェースを閉じる際に、アクティブなコンテキストメニューがフリーズすることがあった
[修正] コンテキストメニューがフリーズすると、アイテムが破損したり浮いたりすることがあった
[修正] アイテム使用中にシェルターのアイテムが戻り、死亡する原因となることがあった
[修正] 弾薬チェック時に、暗い場所ではカートリッジが光っていた
[修正] AIがエアドロップのコライダーを通り抜けて移動・攻撃することがあった
[修正] AIがヘリ墜落現場のコライダーを通り抜けて移動・攻撃することがあった
[修正] AIがヘリ墜落現場のコライダーに引っかかって動けなくなることがあった
[修正] 鍵なしで封鎖された高速道路のトンネルを不正利用できた
[修正] ダークネス／アイアンマンモードのランダムスポーンがトランジション（学校／高速道路）にテレポートしていた
[修正] AIの射撃精度の不一致および計算ミス
[修正] コントローラーが村の建物（トイレのドア）に引っかかっていた
[修正] コントローラーが村のトラクター (納屋)
[修正済み] コントローラーが村のガレージ（段ボール箱）に引っかかることがある
[修正済み] コントローラーが学校の建物（商人のテーブル）に引っかかることがある
[修正済み] コントローラーが学校の建物（複数の椅子）に引っかかることがある
[修正済み] コントローラーがハイウェイの市場（棚の隙間）に引っかかることがある
[修正済み] コントローラーがハイウェイの市場（ショッピングカート）に引っかかることがある
[修正済み] アパートの階段でコントローラーが動かなくなることがあった（死体の頭）
[修正済み] ターミナルのスロープでコントローラーが動かなくなることがあった（車両基地エリア）
[修正済み] 軍用BTRが高速で円を描くように走り続けることがあった
[修正済み] 即席の副木で骨折状態が治癒しなかった
[修正済み] 医師が自身のクエストアイテム [消毒薬] を販売していた
[修正] 銃器職人が自身のタスクアイテム [Skrama 200] を販売していた
[修正] MSAA 8x オプションが設定に保存されなかった
[修正] チュートリアルの木箱に M78 のマガジンが入っていなかった
----------------------------------------
[変更] 重篤な状態 [破裂] の発生確率を低下 [5%→3%]
[変更] 重篤な状態 [ヘッドショット] の発生確率を低下 [5%→3%]
[変更] キャラクターの脱水速度を [10%] 低下
[変更] キャラクターの精神力減少速度を [10%] 低下
[変更] 猫のバイタル減少速度を [20%] 遅くしました
[変更] 猫の鳴き声や物音がする頻度を減らしました
[変更] トレーダー（開始/終了/待機）のボイスが再生される頻度を減らしました
[変更] レンダリング解像度のオプションを「Low/Native」に変更しました（混乱を軽減するため）
[変更] ドロップアイテムがインベントリではなくプレイヤーの正面に落ちるように変更しました（シェルター内）
----------------------------------------
[削除] 安定性向上のため、すべてのサードパーティ製および廃止されたAMD FSR関連の参照を削除
----------------------------------------"			
