WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Message	Furniture		0	literal	UI/Elements/Message	tscn	UI/Elements/Message	Panel/Margin	Info	Label	text	1343187841	✓  New Furniture Added [Catalog]	2666	✓  新しい家具を追加しました [カタログ]	PlaceHolder	
Message	Furniture		0	substr	Scripts/Interface	gd			Loader.Message	literal		1313	New Furniture Added [Catalog]	2668	新しい家具を追加しました [カタログ]		
Message	Furniture		0	ignore	Scripts/Interface	gd			Loader.Message	literal		1471	New Furniture Added [Catalog]				
Message	Boss		0	substr	Scripts/AI	gd			Loader.Message	literal		1587	Boss Killed	2670	ボスを倒した		
Message	Sleep		0	pattern	Scripts/Bed	gd			Loader.Message	concat		42	You slept {str} hours	2672	{str} 時間眠りました		
Message	Sleep		0	ignore	Scripts/Interface	gd			Loader.Message	concat		3214	You slept {str} hours				
Message	Cat		0	pattern	Scripts/CatFeeder	gd			Loader.Message	concat		46	Cat Fed ({name})	2674	猫の餌（{name}）		
Message	Cat		0	substr	Scripts/CatRescue	gd			Loader.Message	literal		23	Cat Rescued	2676	猫が救助された		
Message	Cat		0	substr	Scripts/CatRescue	gd			Loader.Message	literal		24	Cat Vital Activated	2678	猫のバイタル有効		
Message	Cat		0	substr	Scripts/Character	gd			Loader.Message	literal		145	Cat Died	2680	猫が死んでしまった		
Message	Helicopter		0	substr	Scripts/Helicopter	gd			Loader.Message	literal		310	You have been spotted!	2682	発見されました！	 I can't find when is this message appears yet, but maybe for a helicopter	
Message	Task		0	pattern	Scripts/Trader	gd			Loader.Message	concat		172	Task Completed: {name}	2684	タスク完了： {name}		
Message	Killbox		0	pattern	Scripts/Killbox	gd			Loader.Message	concat		52	Item Returned: {name}	2686	返されたアイテム： {name}	Added at v0.1.1.3. This is the message displayed when a player or item goes out of the map (e.g., Noclip).	
Message	Killbox		0	substr	Scripts/Killbox	gd			Loader.Message	literal		74	Player Returned	2688	プレイヤーが戻ってきた	Added at v0.1.1.3. This is the message displayed when a player or item goes out of the map (e.g., Noclip).	
Message	Killbox		0	ignore	Scripts/Killbox	gd			Loader.Message	literal		87	Player Returned			Added at v0.1.1.3. This is the message displayed when a player or item goes out of the map (e.g., Noclip).	
