Where	Sub	Type	method	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
Asset	Sign	Caution	blend	"СТОП МІНИ!
СТОП МИНЫ!"	"출입 금지!
지뢰 매설 구역"	\Assets\Sign_Mines\Files	TX_Sign_Mines_AL.png	MuteJack			"Caution Sign that notify the ""MineField"".
Placed at MineField"	
Asset	Sign	RoadSign	blend	"Yleinen tie
päättyy"	"사설 관리
도로 진입 구간"	\Assets\Sign_Public_Road\Files	TX_Sign_Public_Road_AL.png	MuteJack			"Road sign that notify the ""End of the Public Road"".
Placed at Village (front of the Cabin)"	
Asset	Sign	Caution	blend	"OULUN ALUEELLA
ASIATON OLESKELU JA
YMPÄRISTÖÄ HÄIRITSEVÄ KÄYTÖS
ILTAISIN JA ÖISIN KIELLETTY!
JÄRJESTYSLAKI 16§"	"학교 구역 내에서는
저녁 및 야간 시간대의
무단 출입 또는 체류 행위와
소란 행위 등을 금지합니다
- 공공질서유지법 제16조"	\Assets\Sign_School\Files	TX_Sign_School_AL.png	MuteJack				
Asset	Sign	RoadSign	blend	Töyssy	과속방지턱	\Assets\Sign_Speedbump\Files	TX_Sign_Speedbump_AL.png	MuteJack				
Asset	Sign	RoadSign	blend	"KESKUSTA 4
22 KOTKA"	"도심 까지 4km
22km 코트카 시"	\Assets\Sign_Village_Crossroads\Files	TX_Sign_Village_Crossroads_AL.png	MuteJack				
Asset	Sign	Caution	blend	"LAPPEENRANTA
TAAVETTI
HAMINA

PIETARI
ST PETERSBURG"	"라펜란타
타아베티
하미나

피에타리
상트페테르부르크"	\Assets\Sign_VT7\Files	TX_Sign_VT7_AL.png	MuteJack				
Asset	Sign	Caution	blend	"RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY"	"국경 통제 구역
관계자, 허가증 소지자 외 출입 금지"	\Assets\Sign_Border_Zone\Files	TX_Sign_Border_Zone_A_AL.png	MuteJack				
Asset	Sign	Caution	blend	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

접경 지대
관계자 외, 또는 적절한 허가를 받지 않은 자는 출입할 수 없습니다

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	\Assets\Sign_Border_Zone\Files	TX_Sign_Border_Zone_AL.png	MuteJack			"This is a sign displaying Finnish, Swedish, German, English, and Russian.

Please translate only one of these into your native language."	
Asset	Sign	Caution	blend	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

접경 지대
관계자 외, 또는 적절한 허가를 받지 않은 자는 출입할 수 없습니다

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	\Assets\Sign_Border_Zone\Files	TX_Sign_Border_Zone_B_AL.png	MuteJack			"This is a sign displaying Finnish, Swedish, German, English, and Russian.

Please translate only one of these into your native language."	
Asset	Sign	Caution	blend	"RAJAVYÖHYKE

GRÄNSZON, GRENZZONE, BORDER ZONE, ПОГРАНИЧНАЯ ЗОНА"	"RAJAVYÖHYKE

GRÄNSZON, 접경 지대 (국경), BORDER ZONE, ПОГРАНИЧНАЯ ЗОНА"	\Assets\Sign_Border_Zone\Files	TX_Sign_Border_Zone_C_AL.png	MuteJack				
