WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu	
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	Совместимость	Text that notice user is running the game as 'Compatibility Mode'	
Main_Menu	Compatibility		0	substr									Compatibility	2032	Совместимость		
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility				
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility				
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	Новая игра		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	Загрузить игру		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	Учебное пособие		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	Настройки		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	План действий		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	О нас		
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	Выйти		
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	Список изменений		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	Выкл.		
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	О		
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	Проверка оборудования		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	Выкл.		
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	О		
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	Вступительное видео		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	Выкл.		
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	О		
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	Меню Музыка		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	Выкл.		
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	О		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	«Road to Vostok ®» является зарегистрированным товарным знаком компании «Road to Vostok Ltd.». Все права защищены © 2026		
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	Версия: 0.1.1.3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."	
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	Список изменений		
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"Были внесены следующие изменения:
Ранний доступ [0.1.0.0] -> Ранний доступ [0.1.1.3]
----------------------------------------
Название сборки: Road - Build 1
Версия сборки: 0.1.1.3
Тип сборки: Релиз
----------------------------------------
Исправление [0.1.1.3]
[ИСПРАВЛЕНО] Контекстные действия могли приводить к гибели персонажа при закрытии интерфейса в том же кадре (Использование контекста)
[ИСПРАВЛЕНО] Контекстные действия могли повреждать предметы при закрытии интерфейса в том же кадре (Выгрузка контекста)
[ИСПРАВЛЕНО] Контекстные действия могли повреждать мебель при закрытии интерфейса в том же кадре (Размещение контекста)
----------------------------------------
[ДОБАВЛЕНО] Параметр запуска «Совместимость» для устранения аппаратных проблем
[ДОБАВЛЕНО] Увеличена буферная память для случаев остановки/таймаута графического процессора
[ДОБАВЛЕНО] Распределение нагрузки на процессор при загрузке карты
[ДОБАВЛЕНО] Версия движка изменена на Godot 4.6.2 для обеспечения стабильности
[ДОБАВЛЕНО] Добавлена опция сглаживания SMAA (Настройки)
[ДОБАВЛЕНО] Переработан шейдер резкости изображения для обеспечения стабильности (Настройки)
[ДОБАВЛЕНО] Уничтожение мебели использует защиту (удерживание ЛКМ) от случайных нажатий
[ДОБАВЛЕНО] Аэродесант использует зеленые химические фонари для видимости в ночное время
[ДОБАВЛЕНО] Аэродесант теперь поддерживает переменные таблицы добычи [x3]
[ДОБАВЛЕНО] Punisher теперь поддерживает переменные таблицы добычи [x3]
[ДОБАВЛЕНО] Таблицы добычи Punisher улучшены за счет добавления большего количества предметов
[ДОБАВЛЕНО] Увеличена вероятность добычи с трупов убитых ИИ [25%->75%]
[ДОБАВЛЕНО] Дополнительные появления промышленной добычи [Масляный фильтр]
[ДОБАВЛЕНО] В терминале появилось больше специальных ящиков и появлений добычи
[ДОБАВЛЕНО] Из специальных ящиков также могут появляться легендарные предметы
[ДОБАВЛЕНО] Новый предмет: Жевательная резинка
----------------------------------------
[ИСПРАВЛЕНО] Мерцание света/теней в убежищах и зонах торговцев
[ИСПРАВЛЕНО] Активное контекстное меню могло зависать при закрытии интерфейса
[ИСПРАВЛЕНО] Зависшее контекстное меню могло приводить к повреждению/парению предметов
[ИСПРАВЛЕНО] Возврат предметов в убежище во время использования предметов мог привести к смерти
[ИСПРАВЛЕНО] Патроны во время проверки боеприпасов светились при слабом освещении
[ИСПРАВЛЕНО] ИИ мог перемещаться/атаковать через коллайдеры сброса с воздуха
[ИСПРАВЛЕНО] ИИ мог перемещаться/атаковать через коллайдеры крушения вертолета
[ИСПРАВЛЕНО] ИИ мог застревать на коллайдерах крушения вертолета
[ИСПРАВЛЕНО] Заблокированный туннель на шоссе можно было использовать без ключа
[ИСПРАВЛЕНО] Случайное появление в режимах «Темнота»/«Айронмен» телепортировалось в переходную зону (Школа/Шоссе)
[ИСПРАВЛЕНО] Непоследовательность и просчеты в точности стрельбы ИИ
[ИСПРАВЛЕНО] Контроллер мог застревать на здании в Деревне (дверь туалета)
[ИСПРАВЛЕНО] Контроллер мог застревать на тракторе в Деревне (сарай)
[ИСПРАВЛЕНО] Контроллер мог застревать на гараже в деревне (картонные коробки)
[ИСПРАВЛЕНО] Контроллер мог застревать на здании школы (торговый стол)
[ИСПРАВЛЕНО] Контроллер мог застревать на здании школы (несколько стульев)
[ИСПРАВЛЕНО] Контроллер мог застревать на рынке на шоссе (промежутки между полками)
[ИСПРАВЛЕНО] Контроллер мог застревать на рынке на шоссе (тележки для покупок)
[ИСПРАВЛЕНО] Контроллер мог застревать на лестницах в квартирах (голова трупа)
[ИСПРАВЛЕНО] Контроллер мог застревать на пандусах терминала (зона железнодорожной станции)
[ИСПРАВЛЕНО] Военный БТР мог застревать, двигаясь по кругу на высокой скорости
[ИСПРАВЛЕНО] Импровизированная шина не лечила состояние «Перелом»
[ИСПРАВЛЕНО] Врач продавал предметы собственных заданий [Антисептик]
[ИСПРАВЛЕНО] Оружейник продавал предметы собственного задания [Skrama 200]
[ИСПРАВЛЕНО] Настройка MSAA 8x не сохранялась в настройках
[ИСПРАВЛЕНО] Ящики в учебном пособии не содержали магазины для M78
----------------------------------------
[ИЗМЕНЕНО] Вероятность критического медицинского состояния [Разрыв] снижена [5%->3%]
[ИЗМЕНЕНО] Вероятность критического медицинского состояния [Выстрел в голову] снижена [5%->3%]
[ИЗМЕНЕНО] Скорость снижения уровня гидратации персонажа замедлена на [10%]
[ИЗМЕНЕНО] Скорость снижения уровня психического здоровья персонажа замедлена на [10%]
[ИЗМЕНЕНО] Скорость снижения жизненных показателей кошки замедлена на [20%]
[ИЗМЕНЕНО] Кошка мяукает и издает звуки реже
[ИЗМЕНЕНО] Голоса торговца (Старт/Конец/Бездействие) активируются реже
[ИЗМЕНЕНО] Параметры разрешения рендеринга изменены на Низкое/Нативное (меньше путаницы)
[ИЗМЕНЕНО] Выпавшие предметы появляются перед игроком, а не в инвентаре (Убежище)
----------------------------------------
[УДАЛЕНО] Все сторонние/устаревшие ссылки на AMD FSR для обеспечения стабильности
----------------------------------------"		
