Where	Sub	Type	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
Tutorial	Billboard	1. Settings	"1. Settings

Welcome to Road to Vostok Tutorial

This Tutorial will guide you through the most
important game mechanics and controls

Let's start with settings

You can access Settings with [ESC]

Through these settings you can change inputs,
different system values and performance options

?? = Performance options"	"1. Configuración

Bienvenido al tutorial de Road to Vostok

Este tutorial te guiará a través de las
mecánicas y controles más importantes del juego

Empecemos por la configuración

Puedes acceder a la configuración con [ESC]

A través de esta configuración puedes modificar las entradas,
diferentes valores del sistema y las opciones de rendimiento

?? = Opciones de rendimiento"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Settings.png			Performance Icon: Hand-crafted (Reconstruction)		
Tutorial	Billboard	2. Interface	"2. Interface

Interface is your main UI which contains elements
such as inventory, equipment, vitals and stats

You can access Interfae with [TAB]

If you want more information about an item, icon
or specific value, you can use Tooltip

Try Tooltip by opening Interface
and point the character health value"	"2. Interfaz

La interfaz es tu interfaz de usuario principal, que contiene elementos
como el inventario, el equipamiento, los signos vitales y las estadísticas

Puedes acceder a la interfaz con la tecla [TAB]

Si quieres más información sobre un objeto, un ícono
o un valor específico, puedes usar la ventana emergente

Prueba la ventana emergente abriendo la interfaz
y colocando el cursor sobre el valor de salud del personaje"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Interface.png					
Tutorial	Billboard	3. Loot & Items	"3. Loot & Items

All objects that logically have storage space are 
interactable loot containers

Loot is generated to these containers and items 
are also physically scattered to the game world


You can open, pick and interact with [MMB]

When you have items available in Interface, you can 
choose item actions with Context Menu [RMB]

Open container and try Context Menu with items"	"3. Botín y objetos

Todos los objetos que, lógicamente, cuentan con espacio de almacenamiento son 
contenedores de botín con los que se puede interactuar

El botín se genera en estos contenedores y los objetos 
también se distribuyen físicamente por el mundo del juego


Puedes abrir, recoger e interactuar con [botón central del ratón]

Cuando tengas objetos disponibles en la interfaz, podrás 
seleccionar acciones para los objetos mediante el menú contextual [botón derecho del ratón]

Abre un contenedor y prueba el menú contextual con los objetos"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Items.png					
Tutorial	Billboard	4. Equipment	"4. Equipment

Equipment are dedicated items slots 
and linked to several important character stats

Equipment can increase your Carry Capacity [CC] 
and give you abilities like flashlight and fire making


You can find equipment slots in Interface
You can activate equipment slots by 
moving compatible items to them

Open container and try equipping items"	"4. Equipo

Las ranuras de equipo son espacios destinados a objetos específicos 
y están vinculadas a varias estadísticas importantes del personaje

El equipo puede aumentar tu capacidad de carga [CC] 
y otorgarte habilidades como la linterna y la de hacer fuego


Puedes encontrar las ranuras de equipo en la interfaz
Puedes activar las ranuras de equipo 
arrastrando objetos compatibles a ellas

Abre el contenedor e intenta equipar objetos"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Equipment.png					
Tutorial	Billboard	5. Medical & Conditions	"5. Medical & Conditions

Medical system is based on conditions that 
negatively affect your character's vital stats

These conditions are presented as medical icons 
and you can find them in Interface and HUD


When a medical icon turns red, the condition is 
active and needs to be cured using a medical item

You can see causes, symptoms and cures with Tooltip

Open container and try using some medical items"	"5. Medicina y afecciones

El sistema médico se basa en afecciones que 
afectan negativamente a las estadísticas vitales de tu personaje

Estas afecciones se representan mediante iconos médicos 
y puedes encontrarlas en la interfaz y el HUD


Cuando un icono médico se vuelve rojo, la afección está 
activa y debe curarse con un objeto médico

Puedes ver las causas, los síntomas y los tratamientos en la descripción emergente

Abre el inventario y prueba a usar algunos objetos médicos"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Medical.png					
Tutorial	Billboard	6. Weapons	"6. Weapons

Weapons are equipment and they use 
Primary, Secondary, Knife and Grenade slots

When a weapon is equipped you can draw 
and holster from slots with keys [1] [2] [3] [4] [5]


Every firearm can use Primary slot but only 
pistols and SMG's can utilize Secondary slot

Open container, equip a weapon and draw it
| [RMB] = Aim (ADS) | [F] = Firemode |
| [MMB] = Canted aim | [X]=Inspect weapon |
| [SCROLL] = Weapon position | [SCROLL] = Inspect rotation |"	"6. Armas

Las armas son parte del equipamiento y ocupan 
las ranuras de arma principal, arma secundaria, cuchillo y granadas

Cuando se equipa un arma, puedes desenfundarla 
y volver a enfundarla desde las ranuras con las teclas [1] [2] [3] [4] [5]


Todas las armas de fuego pueden ocupar la ranura de arma principal, pero solo 
las pistolas y las metralletas pueden ocupar la ranura de arma secundaria

Abre el contenedor, equipa un arma y desenfúndala
| [Botón derecho del ratón] = Apuntar (ADS) | [F] = Modo de disparo |
| [Botón central del ratón] = Apuntar inclinado | [X] = Inspeccionar arma |
| [Rueda del ratón] = Posición del arma | [Rueda del ratón] = Inspeccionar rotación |"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Weapons.png					
Tutorial	Billboard	7. Ammo & Magazines	"7. Ammo & Magazines

Weapon system uses seperated magazines
and caliber-based ammo types

You can load a magazine by moving a compatible
ammo type to the magazine with Interface

You can unload a magazine with Context Menu [RMB]

Magazines can be attached to weapons manually
or with [R] which fetches a loaded magazine for you

Open container, use Tooltip to identify the ammo
and magazine compatibility, Load -> Attach -> Fire

[LMB] = Fire [V] = ammo check [CTRL] -> [LMB] = Bullet insert (Bolts & Shotguns)"	"7. Munición y cargadores

El sistema de armas utiliza cargadores independientes
y tipos de munición según el calibre

Puedes cargar un cargador moviendo un tipo de munición compatible
al cargador mediante la interfaz

Puedes descargar un cargador con el menú contextual [botón derecho del ratón]

Los cargadores se pueden acoplar a las armas manualmente
o con [R], lo que te proporciona un cargador cargado

Abre el contenedor, usa la información sobre herramientas para identificar
la compatibilidad de la munición y el cargador, Cargar -> Acoplar -> Disparar

[Botón izquierdo del ratón] = Disparar [V] = Comprobación de munición [CTRL] -> [Botón izquierdo del ratón] = Inserción de bala (rifles y escopetas)"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Ammo.png					
Tutorial	Billboard	8. Attachments	"8. Attachements

You can customize weapons by attaching 
suppressors, optics and lasers to them

You can add/swap attachments like magazines 
with Interface and remove using Context Menu


Open container, use Tooltip or item hover colors to 
identify attachment compatibility and try customizing
[HOLD CTRL] + [SCROLL] = Optic rail position
[SCROLL] = LPVO zoom level
[ALT] = Secondary optic
[T] = Laser toggle"	"8. Accesorios

Puedes personalizar las armas acoplándoles 
silenciadores, miras ópticas y láseres

Puedes añadir o cambiar accesorios, como cargadores, 
a través de la interfaz, y quitarlos mediante el menú contextual


Abre el contenedor, usa la información sobre herramientas o los colores al pasar el cursor sobre los objetos para 
identificar la compatibilidad de los accesorios e intenta personalizarlos
[MANTENER CTRL] + [RUEDA DEL RATÓN] = Posición del riel óptico
[RUEDA DEL RATÓN] = Nivel de zoom del LPVO
[ALT] = Óptica secundaria
[T] = Activar/desactivar el láser"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Attachments.png					
Tutorial	Billboard	9. Knives & Grenades	"9. Knives & Grenades

When a knife is equipped, you can draw it with key [3]

You can use slash attack with [LMB] 
and stab attack with [RMB]


You have two grenades slots and you can draw 
grenades with keys [4] and [5]

You can prepare high throw with [LMB] 
and low throw with [RMB]

Second press executes and opposite button resets the throw"	"9. Cuchillos y granadas

Cuando llevas un cuchillo equipado, puedes desenfundarlo con la tecla [3]

Puedes realizar un ataque de corte con [botón izquierdo del ratón] 
y un ataque de puñalada con [botón derecho del ratón]


Tienes dos ranuras para granadas y puedes sacar 
las granadas con las teclas [4] y [5]

Puedes preparar un lanzamiento alto con [botón izquierdo del ratón] 
y un lanzamiento bajo con [botón derecho del ratón]

Al presionar por segunda vez se ejecuta el lanzamiento y al presionar el botón opuesto se reinicia"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Grenades.png					
Tutorial	Billboard	10. Armor	"10. Armor

Armor system is based on NIJ-rated (II-IV)
helmets, armor plates, and plate carriers (rigs)

Armor protection level is directly linked
to ammo/weapon penetration level which
both can be checked using Tooltip


Open container, equip helmet and plate carrier and
try attaching armor plate to the rig like attachments

|NIJ II = Level 1| 1. If protection matches penetration, armor can take 3-4 shots|
|NIJ IIA = Level2| 2. Each hit reduces armor condition, armor breaks at 0%|
|NIJ III = Level 3| 3. Higher lever penetration breaks the armor immediately|
|NIJ III+ = Level 4| 4. Helmets prevent critical medical condition Headshot|
|NIJ IV = Level 5| 5. Armor plates prevent critical medical condition Rupture|"	"10. Armadura

El sistema de armadura se basa en cascos, placas de armadura y chalecos portaplacas (rigs) con clasificación NIJ (II-IV)

El nivel de protección de la armadura está directamente vinculado
al nivel de penetración de la munición/arma, lo cual
se puede consultar mediante la información sobre herramientas


Abre el contenedor, equípate con el casco y el portaplacas y
intenta acoplar la placa de armadura al rig como si fuera un accesorio

|NIJ II = Nivel 1| 1. Si la protección iguala la penetración, la armadura puede soportar 3-4 disparos|
|NIJ IIA = Nivel 2| 2. Cada impacto reduce el estado de la armadura; la armadura se rompe al 0 %|
|NIJ III = Nivel 3| 3. Una penetración de nivel superior rompe la armadura inmediatamente|
|NIJ III+ = Nivel 4| 4. Los cascos previenen la condición médica crítica «Disparo en la cabeza»|
|NIJ IV = Nivel 5| 5. Las placas de blindaje previenen la condición médica crítica «Ruptura»|"	\Assets\Tutorial\Billboards\Files	TX_Tutorial_Armor.png					
