WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	identifier	translation	DESCRIPTION	Comments	max_length
Main_Menu	/	Game Title	0	ignore									Road to Vostok			Subtitle(?) of the Game, that Displayed on Main Menu		
Main_Menu	/	Game Subtitle	0	ignore	Scenes/Menu	tscn	Scenes/Menu	Main	Title	Label	text	1369510248	Early Access			Subtitle(?) of the Game, that Displayed on Main Menu		
Main_Menu	Compatibility		0	static	Scenes/Menu	tscn	Scenes/Menu	.	Compatibility	Label	text	727651195	Compatibility	2030	Compatibilidad	Text that notice user is running the game as 'Compatibility Mode'		
Main_Menu	Compatibility		0	substr									Compatibility	2032	Compatibilidad			
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOff.text	literal		166	Compatibility					
Main_Menu	Compatibility		0	ignore	Scripts/Settings	gd			AOOn.text	literal		167	Compatibility					
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	New	Button	text	593764434	New game	2034	Nuevo juego			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Load	Button	text	731048714	Load game	2036	Cargar partida			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Tutorial	Button	text	462892253	Tutorial	2038	Tutorial			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Settings	Button	text	363940271	"Settings
"	2040	Configuración			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Roadmap	Button	text	768378158	"Roadmap
"	2042	Hoja de ruta			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	About	Button	text	1342929674	"About
"	2044	Acerca de			
Main_Menu	Main Button	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Main/Buttons	Quit	Button	text	1206295517	"Quit
"	2046	Salir			
Main_Menu	ChangeLog	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log	Header	Label	text	346683200	Changelog	2048	Registro de cambios			
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_Off	Button	text	110288235	"Off
"	2050	Desactivado			
Main_Menu	ChangeLog	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Log/Buttons	Log_On	Button	text	1072724058	"On
"	2052	El			
Main_Menu	Hardware Check	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware	Header	Label	text	698499361	Hardware Check	2054	Comprobación del hardware			
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_Off	Button	text	968786773	"Off
"	2056	Desactivado			
Main_Menu	Hardware Check	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Hardware/Buttons	HW_On	Button	text	2039876731	"On
"	2058	El			
Main_Menu	Watch Intro	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro	Header	Label	text	1070243629	Watch Intro	2060	Ver introducción			
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_Off	Button	text	1424495460	"Off
"	2062	Desactivado			
Main_Menu	Watch Intro	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Intro/Buttons	Intro_On	Button	text	685964068	"On
"	2064	El			
Main_Menu	Menu Music	UI Title	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music	Header	Label	text	1387396245	Menu Music	2066	Menú Música			
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_Off	Button	text	560697430	"Off
"	2068	Desactivado			
Main_Menu	Menu Music	Button	0	literal	Scenes/Menu	tscn	Scenes/Menu	Music/Buttons	Music_On	Button	text	676969840	"On
"	2070	El			
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Copyright	Label	text	1615618777	Road to Vostok ® is registered trademark of Road to Vostok Ltd. All rights reserved © 2026	2072	Road to Vostok ® es una marca registrada de Road to Vostok Ltd. Todos los derechos reservados © 2026			
Main_Menu	Bottom	String	0	literal	Scenes/Menu	tscn	Scenes/Menu	.	Version	Label	text	982652429	Version: 0.1.1.3	2074	Versión: 0.1.1.3	"Will not use pattern matching. 
It will act as the ""canaria (bird)"" for the outdated translation."		
Main_Menu	ChangeLog	UI_Label	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Header	Label	Label	text	618671450	Changelog	2076	Registro de cambios			
Main_Menu	ChangeLog	Scrollable String	0	literal	Scenes/Menu	tscn	Scenes/Menu	Changelog/Panel/Margin/Scroll	Content	Label	text	881677409	"Following changes were made from:
Early Access [0.1.0.0] -> Early Access [0.1.1.3]
----------------------------------------
Build name: Road - Build 1
Build version: 0.1.1.3
Build type: Release
----------------------------------------
Hotfix [0.1.1.3]
[FIXED] Context actions could cause death when closing Interface at the same frame (Context Use)
[FIXED] Context actions could corrupt items when closing Interface at the same frame (Context Unload)
[FIXED] Context actions could corrupt furniture when closing Interface at the same frame (Context Place)
----------------------------------------
[ADDED] Compatibility launch option for hardware issues
[ADDED] Increased buffer memory for GPU stalls/timeouts
[ADDED] CPU-load distribution when loading into a map
[ADDED] Engine version switched to Godot 4.6.2 for stability
[ADDED] Added SMAA anti-aliasing option (Settings)
[ADDED] Reworked image sharpness shader for stability (Settings)
[ADDED] Furniture destroy uses safeguard (LMB hold) for misclicks
[ADDED] Airdrops use green chemlights for night time visibility
[ADDED] Airdrops now support variable loot tables [x3]
[ADDED] Punisher now support variable loot tables [x3]
[ADDED] Punisher loot tables improved with more items
[ADDED] Killed AI corpse loot possibility increased [25%->75%]
[ADDED] Additional industrial loot spawns [Oil Filter]
[ADDED] Terminal has more special crates and loot spawns
[ADDED] Special crates can also spawn Legendary items
[ADDED] New item: Chewing Gum
----------------------------------------
[FIXED] Flickering lights/shadows in shelters and trader areas
[FIXED] Active context menu could freeze when closing the Interface
[FIXED] Frozen context menu could lead to corrupted/floating items
[FIXED] Shelter item return while using items could cause death
[FIXED] Cartridges during ammo check were glowing in low lighting
[FIXED] AI could navigate/attack through airdrop colliders
[FIXED] AI could navigate/attack through heli crash colliders
[FIXED] AI could get stuck on heli crash colliders
[FIXED] Blocked Highway tunnel could be exploited without a key
[FIXED] Darkness/Ironman random spawn teleported to transition (School/Highway)
[FIXED] AI firing accuracy inconsistency and miscalculations
[FIXED] Controller could get stuck on Village building (toilet door)
[FIXED] Controller could get stuck on Village tractor (barn)
[FIXED] Controller could get stuck on Village garage (cardboard boxes)
[FIXED] Controller could get stuck on School building (trader table)
[FIXED] Controller could get stuck on School building (multiple chairs)
[FIXED] Controller could get stuck on Highway market (shelf gaps)
[FIXED] Controller could get stuck on Highway market (shopping carts)
[FIXED] Controller could get stuck on Apartments staircases (corpse head)
[FIXED] Controller could get stuck on Terminal ramps (trainyard area)
[FIXED] Military BTR could stuck driving in circles at fast speed
[FIXED] Improvised splint didn't heal Fracture condition
[FIXED] Doctor sold own task items [Antiseptic]
[FIXED] Gunsmith sold own task items [Skrama 200]
[FIXED] MSAA 8x option didn't save to preferences
[FIXED] Tutorial crates didn't contain M78 magazines
----------------------------------------
[CHANGED] Critical medical condition [Rupture] possibility lowered [5%->3%]
[CHANGED] Critical medical condition [Headshot] possibility lowered [5%->3%]
[CHANGED] Character hydration decrease speed slowed by [10%]
[CHANGED] Character mental decrease speed slowed by [10%]
[CHANGED] Cat vital decrease speed slowed by [20%]
[CHANGED] Cat meows and makes noises less often
[CHANGED] Trader (Start/End/Idle) voices activate less often
[CHANGED] Render resolution options changed to Low/Native (less confusion)
[CHANGED] Fallen items drop front of the player vs. inventory (Shelter)
----------------------------------------
[REMOVED] All third-party/obsolete AMD FSR references for stability
----------------------------------------"	2078	"Se han realizado los siguientes cambios:
Acceso anticipado [0.1.0.0] -> Acceso anticipado [0.1.1.3]
----------------------------------------
Nombre de la compilación: Road - Compilación 1
Versión de la compilación: 0.1.1.3
Tipo de compilación: Lanzamiento
----------------------------------------
Corrección [0.1.1.3]
[CORREGIDO] Las acciones contextuales podían provocar la muerte al cerrar la interfaz en el mismo fotograma (Uso de contexto)
[CORREGIDO] Las acciones de contexto podían dañar los objetos al cerrar la interfaz en el mismo fotograma (Descarga de contexto)
[CORREGIDO] Las acciones de contexto podían dañar los muebles al cerrar la interfaz en el mismo fotograma (Colocación de contexto)
----------------------------------------
[AÑADIDO] Opción de inicio de compatibilidad para problemas de hardware
[AÑADIDO] Aumento de la memoria de búfer para bloqueos/tiempos de espera de la GPU
[AÑADIDO] Distribución de la carga de la CPU al cargar un mapa
[AÑADIDO] Cambio de la versión del motor a Godot 4.6.2 para mayor estabilidad
[AÑADIDO] Añadida la opción de antialiasing SMAA (Configuración)
[AÑADIDO] Rediseñado el sombreador de nitidez de imagen para mayor estabilidad (Configuración)
[AÑADIDO] La destrucción de muebles utiliza una protección (mantener pulsado el botón izquierdo del ratón) para evitar clics accidentales
[AÑADIDO] Los lanzamientos aéreos utilizan luces químicas verdes para mejorar la visibilidad nocturna
[AÑADIDO] Los lanzamientos aéreos ahora admiten tablas de botín variables [x3]
[AÑADIDO] Punisher ahora admite tablas de botín variables [x3]
[AÑADIDO] Se han mejorado las tablas de botín de Punisher con más objetos
[AÑADIDO] Se ha aumentado la posibilidad de obtener botín de los cadáveres de IA eliminados [25 %->75 %]
[AÑADIDO] Aparecen objetos industriales adicionales [Filtro de aceite]
[AÑADIDO] La terminal tiene más cajas especiales y objetos que aparecen
[AÑADIDO] Las cajas especiales también pueden contener objetos legendarios
[AÑADIDO] Nuevo objeto: Chicle
----------------------------------------
[CORREGIDO] Parpadeo de luces/sombras en refugios y áreas de comerciantes
[CORREGIDO] El menú contextual activo podía congelarse al cerrar la interfaz
[CORREGIDO] El menú contextual congelado podía provocar que los objetos se corrompieran o flotaran
[CORREGIDO] La devolución de objetos del refugio mientras se usaban otros objetos podía causar la muerte
[CORREGIDO] Los cartuchos brillaban con poca luz durante la comprobación de munición
[CORREGIDO] La IA podía moverse/atacar a través de los colisionadores de los lanzamientos aéreos
[CORREGIDO] La IA podía moverse/atacar a través de los colisionadores de los accidentes de helicóptero
[CORREGIDO] La IA podía quedarse atascada en los colisionadores de los accidentes de helicóptero
[CORREGIDO] El túnel de la autopista bloqueado se podía explotar sin una llave
[CORREGIDO] La aparición aleatoria de Darkness/Ironman se teletransportaba a la transición (escuela/autopista)
[CORREGIDO] Inconsistencias en la precisión de disparo de la IA y errores de cálculo
[CORREGIDO] El controlador se podía atascar en el edificio de la aldea (puerta del baño)
[CORREGIDO] El controlador se podía atascar en el tractor de la aldea (granero)
[CORREGIDO] El controlador podía atascarse en el garaje de la aldea (cajas de cartón)
[CORREGIDO] El controlador podía atascarse en el edificio de la escuela (mesa del comerciante)
[CORREGIDO] El controlador podía atascarse en el edificio de la escuela (varias sillas)
[CORREGIDO] El controlador podía atascarse en el mercado de la autopista (huecos entre estantes)
[CORREGIDO] El controlador podía atascarse en el mercado de la autopista (carritos de compras)
[CORREGIDO] El control podía atascarse en las escaleras de los apartamentos (cabeza de cadáver)
[CORREGIDO] El control podía atascarse en las rampas de la terminal (área de la estación de tren)
[CORREGIDO] El BTR militar podía quedarse atascado dando vueltas a gran velocidad
[CORREGIDO] La férula improvisada no curaba la condición de fractura
[CORREGIDO] El médico vendía sus propios objetos de tarea [Antiséptico]
[CORREGIDO] El armero vendía sus propios objetos de misión [Skrama 200]
[CORREGIDO] La opción MSAA 8x no se guardaba en las preferencias
[CORREGIDO] Las cajas del tutorial no contenían cargadores M78
----------------------------------------
[MODIFICADO] Se redujo la probabilidad de la condición médica crítica [Ruptura] [5 % -> 3 %]
[MODIFICADO] Se redujo la probabilidad de la condición médica crítica [Disparo en la cabeza] [5 % -> 3 %]
[MODIFICADO] Se redujo la velocidad de disminución de la hidratación del personaje en un [10 %]
[MODIFICADO] Se redujo la velocidad de disminución de la salud mental del personaje en un [10 %]
[MODIFICADO] La velocidad de disminución de la salud del gato se ha reducido en un [20 %]
[MODIFICADO] El gato maúlla y hace ruidos con menos frecuencia
[MODIFICADO] Las voces del comerciante (Inicio/Fin/Inactivo) se activan con menos frecuencia
[MODIFICADO] Las opciones de resolución de renderizado se han cambiado a Baja/Nativa (menos confusión)
[MODIFICADO] Los objetos caídos aparecen delante del jugador en lugar de en el inventario (Refugio)
----------------------------------------
[ELIMINADO] Se han eliminado todas las referencias a AMD FSR de terceros u obsoletas para mejorar la estabilidad
----------------------------------------"			
