Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			pending			\Items\0 - Shared	TX_Canned_Food_AL.png	2355818	9dde638d4aedbfa59e6ab2e04593aaa22b746b13efb771ddb85d5eff6f22d7e6					
			ignore			\Items\0 - Shared	TX_Fleece_Tactical_Sleeves_NR.png	1338214	d6a32e933e2635b07ca0ee3e4abc11dd0d7d4c32e7842214e1669fb3dfa5273f					
			ignore			\Items\0 - Shared	TX_Jacket_Winter_Sleeves_NR.png	1093380	2ce7f9b7df79667d49dbfb6eb53c47c4741dd6574de75f316e2f975acc4c0789					
			ignore			\Items\0 - Shared	TX_Windbreaker_Sleeves_NR.png	998642	24cd85d82c7b056b321d67360b6feca7b0a06d987d54129fef1ba674d8478f23					
			ignore			\Items\Ammo\Ammo_12x70\Files	Icon_Ammo_12x70.png	11692	023a76fa978c0bfb2f420757015437521989dbb612a84f5c12ea0e9539bf603f				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_12x70\Files	TX_Ammo_12x70_AL.png	174004	bb8db4de0034b5f97456bf3bca9781b045147d54aba9c0f4c290130ba1069124				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_223\Files	Icon_Ammo_223.png	11364	14a6306934e9b100152b7c4e8184c4097820927491d6e5444dd59f09e95d310f				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_223\Files	TX_Ammo_223_AL.png	186283	bdcff6f2ccb8ce2657e5b95bdbeed6b420909b5237cb55c6c9231b9909192af3				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_308\Files	Icon_Ammo_308.png	10658	2b38962d2da600173513153f8151caa90a9943c3aa94b4ba86b3048cbf01a5cf				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_308\Files	TX_Ammo_308_AL.png	158696	46dcb252f8995a51738b001d596f4ef233920903726a3be040878a3d1a2b9e64				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_45ACP\Files	Icon_Ammo_45ACP.png	10043	6234d7102b9c56c86fab0b55b958766af35c669522ec0c1f7f1908e5e5b4a255				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_45ACP\Files	TX_Ammo_45ACP_AL.png	154814	7b832714f8afad6a323f1c1f459ad9e67c2936b621190ed23a206cc1012d5bd3				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_46x30\Files	Icon_Ammo_46x30.png	11437	3c7eb1901c0a28eb0c101581d95d1b59b0e3f570b3e61958120bb986e720d142				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_46x30\Files	TX_Ammo_46x30_AL.png	161294	34d045403ed1aabf0b657943108601e08085f42bb084f49a5129b4626282cb18				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_545x39\Files	Icon_Ammo_545x39.png	9952	fec2e604dd96924596f810686e2d0f6584a1b74beff5badfef3883821d76f203				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_545x39\Files	TX_Ammo_545x39_AL.png	152870	88158afae6d7faa4508447f13021f448cfbf08eb54d71e8543cb9b6006f4f311				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Ammo\Ammo_762x39\Files	Icon_Ammo_762x39.png	11270	95702806b52f2acf77dab4cf7b477725d779e83f7014355569946ee844084c2a				Reason for ignoring: Translation is unnecessary	
