Where	Sub	Type	method	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
AI			ignore			\AI\Bandit\Files	TX_Bandit_01_AL.png					
AI			ignore			\AI\Bandit\Files	TX_Bandit_02_AL.png					
AI			ignore			\AI\Bandit\Files	TX_Bandit_03_AL.png					
AI			ignore			\AI\Bandit\Files	TX_Bandit_04_AL.png					
AI			ignore			\AI\Bandit\Files	TX_Bandit_NR.png					
AI			ignore			\AI\Guard\Files	TX_Guard_AL.png					
AI			ignore			\AI\Guard\Files	TX_Guard_NR.png					
AI			ignore			\AI\Military\Files	TX_Military_AL.png					
AI			ignore			\AI\Military\Files	TX_Military_NR.png					
AI			ignore			\AI\Punisher\Files	TX_Punisher_AL.png					
AI			ignore			\AI\Punisher\Files	TX_Punisher_NR.png					
			ignore			\Editor	RTV_Background.png				Reason for ignoring: Text unreadable in-game	
			ignore			\Editor	RTV_Icon.png					
			ignore			\Editor	RTV_Loading.png					
			ignore			\Editor	RTV_Logo.png				Reson for ignoring: Title of the game	
			ignore			\Editor	RTV_Splash.png					
			ignore			\Effects\Files	TX_Campfire.png					
			ignore			\Effects\Files	TX_Decal_Blood.png					
			ignore			\Effects\Files	TX_Decal_Hit.png					
			ignore			\Effects\Files	TX_Decal_Knife.png					
			ignore			\Effects\Files	TX_Explosion.png					
			ignore			\Effects\Files	TX_Muzzle_Flash.png					
			ignore			\Effects\Files	TX_Particle.png					
			ignore			\Effects\Files	TX_Smoke.png					
			ignore			\Environment\Textures	Aurora.png					
			ignore			\Environment\Textures	Clouds.png					
			ignore			\Environment\Textures	Moon.png					
			ignore			\Environment\Textures	Overcast.png					
			ignore			\Environment\Water\Files	TX_Water_A_NR.png					
			ignore			\Environment\Water\Files	TX_Water_B_NR.png					
UI			ignore			\UI\Sprites	Grabber.png					
UI			ignore			\UI\Sprites	Icon_Agility.png					
UI			ignore			\UI\Sprites	Icon_Arm_Stamina.png					
UI			ignore			\UI\Sprites	Icon_Armor.png					
UI			ignore			\UI\Sprites	Icon_Bleeding.png					
UI			ignore			\UI\Sprites	Icon_Burn.png					
UI			ignore			\UI\Sprites	Icon_Capacity.png					
UI			ignore			\UI\Sprites	Icon_Coffee.png					
UI			ignore			\UI\Sprites	Icon_Combine.png					
UI			ignore			\UI\Sprites	Icon_Combine_Charge.png					
UI			ignore			\UI\Sprites	Icon_Combine_Load.png					
UI			ignore			\UI\Sprites	Icon_Dehydration.png					
UI			ignore			\UI\Sprites	Icon_Dexterity.png					
UI			ignore			\UI\Sprites	Icon_Dice.png					
UI			ignore			\UI\Sprites	Icon_DirectX.png					
UI			ignore			\UI\Sprites	Icon_Electronics.png					
UI			ignore			\UI\Sprites	Icon_Energy.png					
UI			ignore			\UI\Sprites	Icon_Exit.png					
UI			ignore			\UI\Sprites	Icon_Fracture.png					
UI			ignore			\UI\Sprites	Icon_Frostbite.png					
UI			ignore			\UI\Sprites	Icon_Frozen.png					
UI			ignore			\UI\Sprites	Icon_Headshot.png					
UI			ignore			\UI\Sprites	Icon_Health.png					
UI			ignore			\UI\Sprites	Icon_Heat.png					
UI			ignore			\UI\Sprites	Icon_Hide.png					
UI			ignore			\UI\Sprites	Icon_Insanity.png					
UI			ignore			\UI\Sprites	Icon_Insulation.png					
UI			ignore			\UI\Sprites	Icon_Items.png					
UI			ignore			\UI\Sprites	Icon_Loading.png					
UI			ignore			\UI\Sprites	Icon_Locked.png					
UI			ignore			\UI\Sprites	Icon_Magnet.png					
UI			ignore			\UI\Sprites	Icon_Malfunction.png					
UI			ignore			\UI\Sprites	Icon_Menace.png					
UI			ignore			\UI\Sprites	Icon_Object.png					
UI			ignore			\UI\Sprites	Icon_Overweight.png					
UI			ignore			\UI\Sprites	Icon_Performance.png					
UI			ignore			\UI\Sprites	Icon_Poisoning.png					
UI			ignore			\UI\Sprites	Icon_Protection.png					
UI			ignore			\UI\Sprites	Icon_Radiation.png					
UI			ignore			\UI\Sprites	Icon_Returns.png					
UI			ignore			\UI\Sprites	Icon_Rupture.png					
UI			ignore			\UI\Sprites	Icon_Shelter.png					
UI			ignore			\UI\Sprites	Icon_Show.png					
UI			ignore			\UI\Sprites	Icon_Skull_Half.png					
UI			ignore			\UI\Sprites	Icon_Skull_Red.png					
UI			ignore			\UI\Sprites	Icon_Skull_White.png					
UI			ignore			\UI\Sprites	Icon_Spawn.png					
UI			ignore			\UI\Sprites	Icon_Starvation.png					
UI			ignore			\UI\Sprites	Icon_Status.png					
UI			ignore			\UI\Sprites	Icon_Testbench.png					
UI			ignore			\UI\Sprites	Icon_Time.png					
UI			ignore			\UI\Sprites	Icon_Unlocked.png					
UI			ignore			\UI\Sprites	Icon_Value.png					
UI			ignore			\UI\Sprites	Icon_Vulkan.png					
UI			ignore			\UI\Sprites	Icon_Weapon.png					
UI			ignore			\UI\Sprites	Icon_Weight.png					
UI			ignore			\UI\Sprites	Icon_Workbench.png					
UI			ignore			\UI\Sprites	Tile.png					
			ignore			\Modular\Textures	TX_Checker.png					
			ignore			\Modular\Textures	TX_Flashlight.png					
			ignore			\Modular\Textures	TX_Frost.png					
			ignore			\Modular\Textures	TX_Perlin_Noise_A.png					
			ignore			\Modular\Textures	TX_Perlin_Noise_B.png					
			ignore			\Modular\Textures	TX_Perlin_Noise_C.png					
			ignore			\Modular\Textures	TX_Perlin_Noise_D.png					
			ignore			\Modular\Textures	TX_Planks_AL.png					
			ignore			\Modular\Textures	TX_Ripples.png					
			ignore			\Modular\Textures	TX_Specular.png					
			ignore			\Modular\Textures	TX_Tarp_A_AL.png					
			ignore			\Modular\Textures	TX_Tarp_B_AL.png					
			ignore			\Nature\Grass\Files	TX_Grass_NR.png					
			ignore			\Nature\Logs\Files	TX_Log_AL.png					
			ignore			\Nature\Logs\Files	TX_Log_NR.png					
			ignore			\Nature\Rocks\Files	TX_Moss_AL.png					
			ignore			\Nature\Rocks\Files	TX_Rock_AL.png					
			ignore			\Nature\Rocks\Files	TX_Rock_NR.png					
			ignore			\Nature\Shrubs\Files	TX_Shrub_NR.png					
			ignore			\Nature\Sticks\Files	TX_Sticks_NR.png					
			ignore			\Nature\Stones\Files	TX_Stone_AL.png					
			ignore			\Nature\Stones\Files	TX_Stone_NR.png					
			ignore			\Nature\Stumps\Files	TX_Stump_AL.png					
			ignore			\Nature\Stumps\Files	TX_Stump_NR.png					
			ignore			\Nature\Trees\Files	TX_Tree_Damaged_AL.png					
			ignore			\Nature\Trees\Files	TX_Tree_Damaged_NR.png					
			ignore			\Nature\Trees\Files	TX_Tree_Trunk_AL.png					
			ignore			\Nature\Trees\Files	TX_Tree_Trunk_NR.png					
			ignore			\Terrains\Apartments\Files	TX_Apartments_Roads.png					
			ignore			\Terrains\Highway\Files	TX_Highway_Roads.png					
			ignore			\Terrains\Minefield\Files	TX_Minefield_Roads.png					
			ignore			\Terrains\Outpost\Files	TX_Outpost_Roads.png					
			ignore			\Terrains\School\Files	TX_School_Rampart_AL.png					
			ignore			\Terrains\School\Files	TX_School_Rampart_NR.png					
			ignore			\Terrains\School\Files	TX_School_Roads.png					
			ignore			\Terrains\Terminal\Files	TX_Terminal_Pool_AL.png					
			ignore			\Terrains\Terminal\Files	TX_Terminal_Roads.png					
			ignore			\Terrains\Textures	TX_Asphalt_AL.png					
			ignore			\Terrains\Textures	TX_Asphalt_Cracks_AL.png					
			ignore			\Terrains\Textures	TX_Asphalt_Cracks_NR.png					
			ignore			\Terrains\Textures	TX_Asphalt_NR.png					
			ignore			\Terrains\Textures	TX_Baseball_Field_AL.png					
			ignore			\Terrains\Textures	TX_Bump_NR.png					
			ignore			\Terrains\Textures	TX_Dirt_AL.png					
			ignore			\Terrains\Textures	TX_Dirt_NR.png					
			ignore			\Terrains\Textures	TX_Field_AL.png					
			ignore			\Terrains\Textures	TX_Field_NR.png					
			ignore			\Terrains\Textures	TX_Grass_AL.png					
			ignore			\Terrains\Textures	TX_Grass_Far_AL.png					
			ignore			\Terrains\Textures	TX_Grass_NR.png					
			ignore			\Terrains\Textures	TX_Gravel_AL.png					
			ignore			\Terrains\Textures	TX_Gravel_NR.png					
			ignore			\Terrains\Textures	TX_Ground_AL.png					
			ignore			\Terrains\Textures	TX_Ground_NR.png					
			ignore			\Terrains\Textures	TX_Hay_AL.png					
			ignore			\Terrains\Textures	TX_Hay_Far_AL.png					
			ignore			\Terrains\Textures	TX_Hay_NR.png					
			ignore			\Terrains\Textures	TX_Mask_Noise.png					
			ignore			\Terrains\Textures	TX_Mask_Overlay.png					
			ignore			\Terrains\Textures	TX_Mud_AL.png					
			ignore			\Terrains\Textures	TX_Mud_NR.png					
			ignore			\Terrains\Textures	TX_Puddle_NR.png					
			ignore			\Terrains\Textures	TX_Rocks_AL.png					
			ignore			\Terrains\Textures	TX_Rocks_NR.png					
			ignore			\Terrains\Textures	TX_Roots_AL.png					
			ignore			\Terrains\Textures	TX_Roots_NR.png					
			ignore			\Terrains\Textures	TX_Rubble_AL.png					
			ignore			\Terrains\Textures	TX_Rubble_NR.png					
			ignore			\Terrains\Textures	TX_Slabs_AL.png					
			ignore			\Terrains\Textures	TX_Slabs_NR.png					
			ignore			\Terrains\Textures	TX_Snow_NR.png					
			ignore			\Terrains\Village\Files	TX_Village_Roads.png					
			ignore			\Traders\Doctor\Files	Icon_Doctor.png					
			ignore			\Traders\Doctor\Files	TX_Doctor_AL.png					
			ignore			\Traders\Doctor\Files	TX_Doctor_NR.png					
			ignore			\Traders\Generalist\Files	Icon_Generalist.png					
			ignore			\Traders\Generalist\Files	TX_Generalist_AL.png					
			ignore			\Traders\Generalist\Files	TX_Generalist_NR.png					
			ignore			\Traders\Gunsmith\Files	Icon_Gunsmith.png					
			ignore			\Traders\Gunsmith\Files	TX_Gunsmith_AL.png					
			ignore			\Traders\Gunsmith\Files	TX_Gunsmith_NR.png					
			ignore			\Assets\Airdrop\Files	TX_Parachute_AL.png					
			ignore			\Assets\Airdrop\Files	TX_Parachute_NR.png					
			ignore			\Assets\Airduct\Files	TX_Airduct_AL.png					
			ignore			\Assets\Artillery\Files	TX_Artillery_Base_AL.png					
			ignore			\Assets\Artillery\Files	TX_Artillery_Cannon_AL.png					
			ignore			\Assets\Attic\Files	TX_Attic_Interior_AL.png					
			ignore			\Assets\Attic\Files	TX_Attic_Plywood_AL.png					
			ignore			\Assets\Attic\Files	TX_Attic_Structure_AL.png					
			ignore			\Assets\BTR\Files	TX_BTR_Chassis_AL.png					
			ignore			\Assets\BTR\Files	TX_BTR_Chassis_NR.png					
			ignore			\Assets\BTR\Files	TX_BTR_Details_AL.png					
			ignore			\Assets\BTR\Files	TX_BTR_Details_NR.png					
			ignore			\Assets\BTR\Files	TX_BTR_Tires_AL.png					
			ignore			\Assets\BTR\Files	TX_BTR_Tires_NR.png					
			ignore			\Assets\Barn_Village\Files	TX_Barn_Village_Main_AL.png					
			ignore			\Assets\Barrel_Metal\Files	TX_Barrel_Metal_AL.png					
			ignore			\Assets\Barrier_Construction\Files	TX_Barrier_Construction_AL.png					
			ignore			\Assets\Barrier_Highway\Files	TX_Barrier_Highway_AL.png					
			ignore			\Assets\Basket_Firewood\Files	TX_Basket_Firewood_AL.png					
			ignore			\Assets\Basketball_Hoop\Files	TX_Basketball_Hoop_Indoor_AL.png					
			ignore			\Assets\Basketball_Hoop\Files	TX_Basketball_Hoop_Outdoor_AL.png					
			ignore			\Assets\Bathtub\Files	TX_Bathtub_AL.png					
			ignore			\Assets\Beam_Highway\Files	TX_Beam_Highway_AL.png					
			ignore			\Assets\Beam_Road\Files	TX_Beam_Road.png					
			ignore			\Assets\Bed_Civilian\Files	Icon_Bed_Civilian.png					
			ignore			\Assets\Bed_Frame\Files	TX_Bed_Frame_AL.png					
			ignore			\Assets\Bed_Military\Files	TX_Bed_Military_AL.png					
			ignore			\Assets\Bed_Military\Files	TX_Bed_Military_NR.png					
			ignore			\Assets\Bed_Nomad\Files	Icon_Bed_Nomad.png					
			ignore			\Assets\Bench\Files	TX_Bench_A_AL.png					
			ignore			\Assets\Bench\Files	TX_Bench_B_AL.png					
			ignore			\Assets\Bookshelf\Files	TX_Bookshelf_AL.png					
			ignore			\Assets\Box_Planter\Files	TX_Box_Planter_AL.png					
			ignore			\Assets\Brick_Pile\Files	TX_Brick_Pile_AL.png					
			ignore			\Assets\Bridge_Highway\Files	TX_Bridge_Highway_AL.png					
			ignore			\Assets\Bridge_Outpost\Files	TX_Bridge_Outpost_AL.png					
			ignore			\Assets\Bridge_Rail\Files	TX_Bridge_Rail_AL.png					
			ignore			\Assets\Bridge_School\Files	TX_Bridge_School_AL.png					
			ignore			\Assets\Bridge_Village\Files	TX_Bridge_Village_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Divider_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Floor_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Floor_NR.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Pipes_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Planks_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Plywood_AL.png					
			ignore			\Assets\Bunker\Files	TX_Bunker_Well_AL.png					
			ignore			\Assets\Bunker_Concrete\Files	TX_Bunker_Concrete_AL.png					
			ignore			\Assets\CASA\Files	TX_CASA_AL.png					
			ignore			\Assets\Cabin\Files	TX_Cabin_Details_AL.png					
			ignore			\Assets\Cabin\Files	TX_Cabin_Exterior_AL.png					
			ignore			\Assets\Cabin\Files	TX_Cabin_Interior_AL.png					
			ignore			\Assets\Cabin\Files	TX_Cabin_Porch_AL.png					
			ignore			\Assets\Cabin\Files	TX_Cabin_Roof_AL.png					
			ignore			\Assets\Cabinet_Medical\Files	Icon_Cabinet_Medical.png					
			ignore			\Assets\Cabinet_Medical\Files	TX_Cabinet_Medical_AL.png					
			ignore			\Assets\Cabinet_Office\Files	Icon_Cabinet_Office.png					
			ignore			\Assets\Cabinet_Office\Files	TX_Cabinet_Office_AL.png					
			ignore			\Assets\Cabinet_Wood\Files	Icon_Cabinet_Wood.png					
			ignore			\Assets\Cabinet_Wood\Files	TX_Cabinet_Wood_AL.png					
			ignore			\Assets\Cable\Files	TX_Cable_AL.png					
			ignore			\Assets\Cable_Reel\Files	TX_Cable_Reel_AL.png					
			ignore			\Assets\Candle\Files	TX_Candle_AL.png					
			ignore			\Assets\Canteen\Files	TX_Canteen_Counter_AL.png					
			ignore			\Assets\Canteen\Files	TX_Canteen_Exterior_AL.png					
			ignore			\Assets\Canteen\Files	TX_Canteen_Interior_AL.png					
			ignore			\Assets\Canteen\Files	TX_Canteen_Roof_AL.png					
			ignore			\Assets\Canteen\Files	TX_Canteen_Steps_AL.png					
			ignore			\Assets\Carpet\Files	Icon_Carpet_Persian.png					
			ignore			\Assets\Carpet\Files	Icon_Carpet_Rag.png					
			ignore			\Assets\Carpet\Files	TX_Carpet_Persian_AL.png					
			ignore			\Assets\Carpet\Files	TX_Carpet_Rag_AL.png					
			ignore			\Assets\Cellar_Village\Files	TX_Cellar_Village_Exterior_AL.png					
			ignore			\Assets\Cellar_Village\Files	TX_Cellar_Village_Interior_AL.png					
			ignore			\Assets\Cellar_Village\Files	TX_Cellar_Village_Roof_AL.png					
			ignore			\Assets\Cellar_Village\Files	TX_Cellar_Village_Steps_AL.png					
			ignore			\Assets\Chair_Coffee\Files	TX_Chair_Coffee_AL.png					
			ignore			\Assets\Chair_Office\Files	Icon_Chair_Office.png					
			ignore			\Assets\Chair_Office\Files	TX_Chair_Office_AL.png					
			ignore			\Assets\Chair_School\Files	Icon_Chair_School.png					
			ignore			\Assets\Chair_School\Files	TX_Chair_School_AL.png					
			ignore			\Assets\Chair_Sun\Files	Icon_Chair_Sun.png					
			ignore			\Assets\Chair_Sun\Files	TX_Chair_Sun_AL.png					
			ignore			\Assets\Chalkboard\Files	TX_Chalkboard_A_AL.png					
			ignore			\Assets\Chapel\Files	TX_Chapel_Exterior_AL.png					
			ignore			\Assets\Chapel\Files	TX_Chapel_Interior_AL.png					
			ignore			\Assets\Clock_School\Files	TX_Clock_School_AL.png					
			ignore			\Assets\Clothing_Line\Files	TX_Clothing_Line_AL.png					
			ignore			\Assets\Composter\Files	TX_Composter_AL.png					
			ignore			\Assets\Computer\Files	TX_Computer_AL.png					
			ignore			\Assets\Container_Garbage\Files	TX_Container_Garbage_AL.png					
			ignore			\Assets\Container_Shipping\Files	TX_Container_Shipping_NR.png					
			ignore			\Assets\Crate_Military\Files	Icon_Crate_Military.png					
			ignore			\Assets\Crate_Military\Files	TX_Crate_Military_AL.png					
			ignore			\Assets\Crate_Special\Files	Icon_Crate_Special.png					
			ignore			\Assets\Crate_Special\Files	TX_Crate_Special_AL.png					
			ignore			\Assets\Crate_Wood\Files	TX_Crate_Wood_AL.png					
			ignore			\Assets\Cupboard\Files	Icon_Cupboard.png					
			ignore			\Assets\Cupboard\Files	TX_Cupboard_AL.png					
			ignore			\Assets\Curbs\Files	TX_Curb_AL.png					
			ignore			\Assets\Curtains\Files	Icon_Curtain_Long.png					
			ignore			\Assets\Curtains\Files	Icon_Curtain_Mini.png					
			ignore			\Assets\Curtains\Files	TX_Curtain_Long_AL.png					
			ignore			\Assets\Curtains\Files	TX_Curtain_Rail_AL.png					
			ignore			\Assets\Curtains\Files	TX_Curtain_Short_AL.png					
			ignore			\Assets\Dartboard\Files	Icon_Dartboard.png					
			ignore			\Assets\Dartboard\Files	TX_Dartboard_AL.png					
			ignore			\Assets\Debris\Garbage\Files	TX_Debris_Garbage_AL.png					
			ignore			\Assets\Debris\Garbage\Files	TX_Debris_Garbage_NR.png					
			ignore			\Assets\Debris\Metal\Files	TX_Debris_Metal_AL.png					
			ignore			\Assets\Debris\Rope\Files	TX_Debris_Rope_AL.png					
			ignore			\Assets\Debris\Wood\Files	TX_Debris_Wood_AL.png					
