Where	Sub	Type	method	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Black.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Brown.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_Green.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	Icon_Backpack_Jaeger_M05.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Black_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Brown_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_Green_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Jaeger\Files	TX_Backpack_Jaeger_M05_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Nomad\Files	Icon_Backpack_Nomad.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Nomad\Files	TX_Backpack_Nomad_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Patrol\Files	Icon_Backpack_Patrol.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Backpack_Patrol\Files	TX_Backpack_Patrol_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Duffel_Retro\Files	Icon_Duffel_Retro.png				Reason for ignoring: Low resolution	
Items	Equipments	Backpack	pending			\Items\Backpacks\Duffel_Retro\Files	TX_Duffel_Retro_AL.png				Reason for ignoring: Low resolution	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Black.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Brown.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_Green.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	Icon_Kukkaro_M05.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Black_AL.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Brown_AL.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_Green_AL.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Equipments	Belts	ignore			\Items\Belts\Kukkaro\Files	TX_Kukkaro_M05_AL.png				Reason for ignoring: Name of the Actual Brand (Proper-Noun)	
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Children.png					
Items	Misc	Books	pending	"KOTIRUOKA

KEITTOKIRJA KOTIA
JA KOILUA VARTEN"		\Items\Books\Files	Icon_Book_Cooking.png					
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Fishing.png					
Items	Misc	Books	ignore			\Items\Books\Files	Icon_Book_Religion.png					
Items	Misc	Books	ignore			\Items\Books\Files	TX_Book_Children_AL.png					
