Where	Sub	Type	method	Text	Translation	File Directory	File Name	Reworked by	Contributors	Attribution	Comments	max_length
						\AI\Bandit\Files	TX_Bandit_01_AL.png					
						\AI\Bandit\Files	TX_Bandit_02_AL.png					
						\AI\Bandit\Files	TX_Bandit_03_AL.png					
						\AI\Bandit\Files	TX_Bandit_04_AL.png					
						\AI\Bandit\Files	TX_Bandit_NR.png					
						\AI\Guard\Files	TX_Guard_AL.png					
						\AI\Guard\Files	TX_Guard_NR.png					
						\AI\Military\Files	TX_Military_AL.png					
						\AI\Military\Files	TX_Military_NR.png					
						\AI\Punisher\Files	TX_Punisher_AL.png					
						\AI\Punisher\Files	TX_Punisher_NR.png					
						\Assets\Airdrop\Files	TX_Airdrop_AL.png					
						\Assets\Airdrop\Files	TX_Parachute_AL.png					
						\Assets\Airdrop\Files	TX_Parachute_NR.png					
						\Assets\Airduct\Files	TX_Airduct_AL.png					
						\Assets\Artillery\Files	TX_Artillery_Base_AL.png					
						\Assets\Artillery\Files	TX_Artillery_Cannon_AL.png					
						\Assets\Attic\Files	TX_Attic_Interior_AL.png					
						\Assets\Attic\Files	TX_Attic_Plywood_AL.png					
						\Assets\Attic\Files	TX_Attic_Structure_AL.png					
						\Assets\BTR\Files	TX_BTR_Chassis_AL.png					
						\Assets\BTR\Files	TX_BTR_Chassis_NR.png					
						\Assets\BTR\Files	TX_BTR_Details_AL.png					
						\Assets\BTR\Files	TX_BTR_Details_NR.png					
						\Assets\BTR\Files	TX_BTR_Tires_AL.png					
						\Assets\BTR\Files	TX_BTR_Tires_NR.png					
						\Assets\Barn_Village\Files	TX_Barn_Village_Main_AL.png					
						\Assets\Barrel_Metal\Files	TX_Barrel_Metal_AL.png					
						\Assets\Barrier_Construction\Files	TX_Barrier_Construction_AL.png					
						\Assets\Barrier_Highway\Files	TX_Barrier_Highway_AL.png					
						\Assets\Basket_Firewood\Files	TX_Basket_Firewood_AL.png					
						\Assets\Basketball_Hoop\Files	TX_Basketball_Hoop_Indoor_AL.png					
						\Assets\Basketball_Hoop\Files	TX_Basketball_Hoop_Outdoor_AL.png					
						\Assets\Bathtub\Files	TX_Bathtub_AL.png					
						\Assets\Beam_Highway\Files	TX_Beam_Highway_AL.png					
						\Assets\Beam_Road\Files	TX_Beam_Road.png					
						\Assets\Bed_Civilian\Files	Icon_Bed_Civilian.png					
						\Assets\Bed_Frame\Files	TX_Bed_Frame_AL.png					
						\Assets\Bed_Military\Files	TX_Bed_Military_AL.png					
						\Assets\Bed_Military\Files	TX_Bed_Military_NR.png					
						\Assets\Bed_Nomad\Files	Icon_Bed_Nomad.png					
						\Assets\Bench\Files	TX_Bench_A_AL.png					
						\Assets\Bench\Files	TX_Bench_B_AL.png					
						\Assets\Boiler\Files	TX_Boiler_AL.png					
						\Assets\Bookshelf\Files	TX_Bookshelf_AL.png					
						\Assets\Box_Planter\Files	TX_Box_Planter_AL.png					
						\Assets\Brick_Pile\Files	TX_Brick_Pile_AL.png					
						\Assets\Bridge_Highway\Files	TX_Bridge_Highway_AL.png					
						\Assets\Bridge_Outpost\Files	TX_Bridge_Outpost_AL.png					
						\Assets\Bridge_Rail\Files	TX_Bridge_Rail_AL.png					
						\Assets\Bridge_School\Files	TX_Bridge_School_AL.png					
						\Assets\Bridge_Village\Files	TX_Bridge_Village_AL.png					
						\Assets\Bunker\Files	TX_Bunker_Divider_AL.png					
						\Assets\Bunker\Files	TX_Bunker_Door_AL.png					
						\Assets\Bunker\Files	TX_Bunker_Floor_AL.png					
						\Assets\Bunker\Files	TX_Bunker_Floor_NR.png					
						\Assets\Bunker\Files	TX_Bunker_Pipes_AL.png					
