location	parent	name	type	text	translation
Scenes/Menu	.	Compatibility	Label	Compatibility	Kompatibilis mód
UI/Settings	Settings/Row_01/Image	Image	Label	UI Scaling [Coming Soon]	UI Méretezés [hamarosan elérhető]
UI/Interface	Equipment/Hints	Knife	Label	Knife	Kés
UI/Interface	Equipment/Hints	Grenade_A	Label	Grenade	Gránát 1
UI/Interface	Equipment/Hints	Grenade_B	Label	Grenade	Gránát 2
UI/Interface	Inventory/Header/Capacity	Info		Carry Capacity	Teherbírás
UI/Interface	Inventory/Header/Capacity	Info		A capacity value (kg) of all equipment items.	Ez az összes felszerelési tárgy hordozási kapacitásának (kg) felső határa.
UI/Interface	Inventory/Header/Capacity	Info		Inventory Stat	Készletstatisztikák
UI/Interface	Inventory/Header/Weight	Info		Inventory Weight	A tárgyak súlya
UI/Interface	Inventory/Header/Weight	Info		A weight value (kg) of all inventory items.	Ez az összes tárgy súlya (kg) a készletben.
UI/Interface	Inventory/Header/Weight	Info		Inventory Stat	Készletstatisztikák
UI/Interface	Inventory/Header/Value	Info		Inventory Value	Készletérték
UI/Interface	Inventory/Header/Value	Info		A price value (€) of all inventory items.	Ez az összes tárgy értékének (€) összege a készletben.
UI/Interface	Inventory/Header/Value	Info		Inventory Stat	Készletstatisztikák
UI/Interface	Container/Header/Weight	Info		Container Weight	A tároló súlya
UI/Interface	Container/Header/Weight	Info		A weight value (kg) of all container items.	A tárolóban található összes tárgy súlyának (kg) összege.
UI/Interface	Container/Header/Weight	Info		Container Stat	A tároló statisztikái
UI/Interface	Container/Header/Value	Info		Container Value	A tároló értéke
UI/Interface	Container/Header/Value	Info		A price value (€) of all container items.	Ez a tárolóban található összes tárgy értékének (€) összege.
UI/Interface	Container/Header/Value	Info		Container Stat	A tároló statisztikái
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Carry Capacity	Tartási korlát
UI/Interface	Equipment/Stats/Elements/Capacity	Info		"A weight capacity value (kg) of how much inventory weight you can carry.

Carry Capacity increases when you equip items such as backpacks, rigs or clothing with a positive capacity stat.

Carry Capacity by default is 10kg"	"Ez a csomag maximális súlyát (kg) jelzi.

Ha olyan tárgyakat viselsz, amelyek növelik a hordozható tárgyak mennyiségét – például hátizsákot, felszerelést vagy ruházatot –, akkor a hordozható tárgyak maximális súlya megnő.

A kézipoggyász maximális súlya 10 kg."
UI/Interface	Equipment/Stats/Elements/Capacity	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Value	A felszerelés értéke
UI/Interface	Equipment/Stats/Elements/Value	Info		A price value (€) of all equipment items.	Ez az összes felszerelt felszerelés tárgy értékének ((€)) összege.
UI/Interface	Equipment/Stats/Elements/Value	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Insulation	Hőszigetelő képesség
UI/Interface	Equipment/Stats/Elements/Insulation	Info		"A clothing-based thermal protection value against cold.

Insulation is linked to Body Temp vital, where Insulation reduces Body Temp decrease speed in Winter.

Insulation increases when you equip clothing items with a positive insulation stat.

Insulation examples:
[100] = B. Temp decrease fully stopped
[50] = B. Temp decrease slowed by 50%
[0] = B. Temp decreases at default rate"	"Ez a ruházat által biztosított hőszigetelési érték a hideg ellen.

A hőszigetelő képesség szorosan összefügg a testhőmérséklettel, és lassítja a testhőmérséklet csökkenését télen.

Ha hőmegtartó ruhát viselünk, javul a hőmegtartás.

Hőszigetelési példák:
[100] = A testhőmérséklet csökkenése teljesen leáll
[50] = A testhőmérséklet 50%-os csökkenése
[0] = Normál testhőmérséklet fenntartása"
UI/Interface	Equipment/Stats/Elements/Insulation	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Dexterity	Mozgékonyság
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		"An inertia-based value of how quickly you can move and do certain actions.

Dexterity is linked to movement speed and weapon handling such as aiming and reloading.

Dexterity decreases when you equip heavy or unergonomic items with a negative dexterity stat."	"A mozgékonyság a tehetetlenségen alapuló érték, amely a mozgási sebességet és az egyes mozdulatok végrehajtásának sebességét jelzi.

A mozgékonyság a mozgási sebességgel és a fegyverek kezelésével (célzás, újratöltés stb.) függ össze.

Ha olyan nehéz vagy ergonómiailag nem megfelelő tárgyat viselsz, amelynek agilitásértéke negatív, az agilitásod csökken."
UI/Interface	Equipment/Stats/Elements/Dexterity	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Equipment/Stats/Elements/Menace	Info		Menace	Fenyegetettségi szint
UI/Interface	Equipment/Stats/Elements/Menace	Info		"An intimidation value of how threatening AI sees your character and equipment.

When you have a high Menace value, AI is less likely to use aggressive or attack-based behaviors against you.

Menace increases when you equip items such as special clothing with a positive Menace stat.

Menace only affects low-tier AI (Bandits)."	"Ez az a fenyegetési érték, amely azt mutatja, hogy az AI mennyire veszélyesnek ítéli meg a karakteredet és a felszerelésedet.

Minél magasabb a fenyegetettségi szint, annál kevésbé viselkedik agresszívan az AI.

A fenyegetési érték megnő, ha olyan tárgyakat viselsz, mint például a speciális ruhák, amelyeknek magas a fenyegetési értéke.

A fenyegetés csak az alacsonyabb szintű AI-kre (pl. banditákra) hat."
UI/Interface	Equipment/Stats/Elements/Menace	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Equipment/Stats/Elements/CBRN	Info		CBRN	KBSN-értékek
UI/Interface	Equipment/Stats/Elements/CBRN	Info		"A protection value against chemical, biological, radiological and nuclear threats.

CBRN is linked to Health vital, where CBRN reduces the Health decrease speed when you are exposed to hazardous areas or materials.

CBRN increases when you equip items such as special clothing or protective masks with a positive CBRN stat."	"A Kémiai, Biológiai, Sugárzási és Nukleáris fenyegetések elleni védelem szintje.

A KBSN az egészséghez kapcsolódik, és csökkenti az egészségromlás mértékét, ha valaki veszélyes területeken tartózkodik vagy veszélyes anyagoknak van kitéve.

A KBSN-érték emelkedik, ha olyan tárgyakat viselünk, amelyek magas KBSN-értékkel rendelkeznek, például speciális ruházatot vagy védőálarcot."
UI/Interface	Equipment/Stats/Elements/CBRN	Info		Equipment Stat	Felszerelés statisztikák
UI/Interface	Character/Vitals/Elements/Health	Info		Health	Egészség
UI/Interface	Character/Vitals/Elements/Health	Info		"Your main vital for staying alive.

Health decreases with damages and active medical conditions.

Health increases with certain medical items such as Bandages and Medkits.

Health [0] -> Character dies"	"Ez a túlélés legfontosabb tényezője.

Az állóképesség csökken, ha sérülést szenvedünk vagy megbetegszünk.
Bizonyos orvosi tárgyak, például kötszerek vagy elsősegélydobozok használatával növelhető az életerő.

Életerő [0] -> A karakter meghal"
