"identifier"	"source_phrase"	"translation"	"context"	"labels"	"max_length"
"X:TX_Sign_Mines_AL.png:1b82d33f"	"СТОП МІНИ!
СТОП МИНЫ!"	"СТОП МІНИ!
СТОП МИНЫ!"	"\Assets\Sign_Mines\Files"	"Asset;Sign;Caution"	""
"X:TX_Sign_Public_Road_AL.png:6237f865"	"Yleinen tie
päättyy"	"Yleinen tie
päättyy"	"\Assets\Sign_Public_Road\Files"	"Asset;Sign;RoadSign"	""
"X:TX_Sign_School_AL.png:e5a56e65"	"OULUN ALUEELLA
ASIATON OLESKELU JA
YMPÄRISTÖÄ HÄIRITSEVÄ KÄYTÖS
ILTAISIN JA ÖISIN KIELLETTY!
JÄRJESTYSLAKI 16§"	"OULUN ALUEELLA
ASIATON OLESKELU JA
YMPÄRISTÖÄ HÄIRITSEVÄ KÄYTÖS
ILTAISIN JA ÖISIN KIELLETTY!
JÄRJESTYSLAKI 16§"	"\Assets\Sign_School\Files"	"Asset;Sign;Caution"	""
"X:TX_Sign_Speedbump_AL.png:b67b2a16"	"Töyssy"	"Töyssy"	"\Assets\Sign_Speedbump\Files"	"Asset;Sign;RoadSign"	""
"X:TX_Sign_Village_Crossroads_AL.png:347b1f82"	"KESKUSTA 4
22 KOTKA"	"KESKUSTA 4
22 KOTKA"	"\Assets\Sign_Village_Crossroads\Files"	"Asset;Sign;RoadSign"	""
"X:TX_Sign_VT7_AL.png:77404d94"	"LAPPEENRANTA
TAAVETTI
HAMINA

PIETARI
ST PETERSBURG"	"LAPPEENRANTA
TAAVETTI
HAMINA

PIETARI
ST PETERSBURG"	"\Assets\Sign_VT7\Files"	"Asset;Sign;Caution"	""
"X:TX_Frame_Highway_Sign_AL.png:77404d94"	"LAPPEENRANTA
TAAVETTI
HAMINA

PIETARI
ST PETERSBURG"	"LAPPEENRANTA
TAAVETTI
HAMINA

PIETARI
ST PETERSBURG"	"\Assets\Frame_Highway\Files"	"Asset;Sign;Caution"	""
"X:TX_Sign_Border_Zone_A_AL.png:c25329c4"	"RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY"	"RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY"	"\Assets\Sign_Border_Zone\Files"	"Asset;Sign;Caution"	""
"X:TX_Sign_Border_Zone_AL.png:f645ba6d"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"\Assets\Sign_Border_Zone\Files"	"Asset;Sign;Caution"	""
"X:TX_Sign_Border_Zone_B_AL.png:f645ba6d"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"SEIS
STOP

RAJAVYÖHYKE
PÄÄSY ILMAN LUPAA KIELLETTY

GRÄNSZON
TILLTRÄDE UTAN TILLSTÅND FÖRBJUDET

GRENZZONE
EINTRITT OHNE ENTSPRECHENDE ERLAUBNIS VERBOTEN

BORDER ZONE
NO ENTRY WITHOUT SPECIAL PERMIT

ПОГРАНИЧНАЯ ЗОНА
ВЪЕЗД БЕЗ РАЗРЕШЕНИЯ ЗАПРЕЩАЕТСЯ"	"\Assets\Sign_Border_Zone\Files"	"Asset;Sign;Caution"	""
